condition	Utterance	Probability	YMax	YMin	ModelType
item12	basic	0.283720930232558	0.327906976744186	0.241860465116279	empirical
item22	basic	0.550209205020921	0.594142259414226	0.50831589958159	empirical
item23	basic	0.524896265560166	0.568464730290456	0.479253112033195	empirical
item33	basic	0.598752598752599	0.642411642411642	0.552962577962578	empirical
item12	sub	0.711627906976744	0.753488372093023	0.669767441860465	empirical
item22	sub	0.441422594142259	0.49163179916318	0.395397489539749	empirical
item23	sub	0.466804979253112	0.512448132780083	0.425311203319502	empirical
item33	sub	0.378378378378378	0.41995841995842	0.336746361746362	empirical
item12	super	0.00465116279069767	0.0116279069767442	0	empirical
item22	super	0.00836820083682008	0.0167364016736402	0.00209205020920502	empirical
item23	super	0.00829875518672199	0.016597510373444	0.0020746887966805	empirical
item33	super	0.0228690228690229	0.0374220374220374	0.0124740124740125	empirical
