"","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","alt3Name","alt3TargetStatus","alt3SpLocs","alt3LisLocs","alt3Basiclevel","alt3superdomain","alt4Name","alt4TargetStatus","alt4SpLocs","alt4LisLocs","alt4Basiclevel","alt4superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","clickedType","clickedSize","clickedColor","column1","column2","column3","column4","column5"
"4","4452-5",1449254458217,4,"subSuperTrial","distr33","catfish","target",3,2,"fish","animal","blackStimulus",NA,1,1,NA,NA,"rosemary","distrClass3",4,4,NA,"plant","blackStimulus",NA,5,5,NA,NA,"cookies","distrClass3",2,3,NA,"snack",2,1,1,"fish (catfish"," i think)","i can see colors"," just some shades fade togherther","1449254447776___1449254456106","fish (catfish"," i think)","False","False","False","catfish",NA,NA,"",""
"5","4452-5",1449254465801,5,"subSuperTrial","distr12","jellyBeans","target",3,3,"candy","snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"candyCorn","distrClass1",2,4,"candy","snack","popcorn","distrClass2",4,2,NA,"snack",1,1,0,"jellybeans","","1449254463671","jellybeans","False","False","False","jellyBeans",NA,NA,"","","","",""
"6","4452-5",1449254471698,6,"subSuperTrial","distr22","tulip","target",4,2,"flower","plant","blackStimulus",NA,1,1,NA,NA,"ivy","distrClass2",2,4,NA,"plant","blackStimulus",NA,5,5,NA,NA,"rosemary","distrClass2",3,3,NA,"plant",1,1,0,"tulip","","1449254469921","tulip","False","False","True","tulip",NA,NA,"","","","",""
"8","4452-5",1449254490792,8,"subSuperTrial","distr33","skittles","target",2,4,"candy","snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"bathrobe","distrClass3",4,2,NA,"clothing","gloves","distrClass3",3,3,NA,"clothing",1,1,0,"skittles","","1449254489124","skittles","False","False","True","skittles",NA,NA,"","","","",""
"15","4452-5",1449254560191,15,"subSuperTrial","distr12","husky","target",3,3,"dog","animal","blackStimulus",NA,1,1,NA,NA,"greyhound","distrClass1",2,4,"dog","animal","snake","distrClass2",4,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"husky","","1449254558272","husky","False","False","True","husky",NA,NA,"","","","",""
"19","4452-5",1449254605582,19,"subSuperTrial","distr33","hummingBird","target",3,4,"bird","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"train","distrClass3",4,3,NA,"vehicle","firetruck","distrClass3",2,2,NA,"vehicle",1,1,0,"bird","","1449254601522","bird","False","False","False","hummingBird",NA,NA,"","","","",""
"24","4452-5",1449254650260,24,"subSuperTrial","distr22","parrot","target",2,2,"bird","animal","blackStimulus",NA,5,5,NA,NA,"lion","distrClass2",3,4,NA,"animal","crocodile","distrClass2",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"parrot","","1449254648415","parrot","False","False","True","parrot",NA,NA,"","","","",""
"25","4452-5",1449254654715,25,"subSuperTrial","distr22","minivan","target",3,3,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"firetruck","distrClass2",4,4,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"motorcycle","distrClass2",2,2,NA,"vehicle",1,1,0,"van","","1449254653036","van","False","False","False","minivan",NA,NA,"","","","",""
"26","4452-5",1449254667332,26,"subSuperTrial","distr12","sportsCar","target",4,2,"car","vehicle","blackStimulus",NA,5,5,NA,NA,"sedan","distrClass1",3,4,"car","vehicle","firetruck","distrClass2",2,3,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,1,1,0,"silver sportscar","","1449254665248","silver sportscar","False","False","False","sportsCar",NA,NA,"","","","",""
"27","4452-5",1449254673946,27,"subSuperTrial","distr22","pug","target",4,4,"dog","animal","blackStimulus",NA,5,5,NA,NA,"chick","distrClass2",2,2,NA,"animal","iguana","distrClass2",3,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"pug","","1449254672347","pug","False","False","True","pug",NA,NA,"","","","",""
"28","4452-5",1449254678352,28,"subSuperTrial","distr33","grizzlyBear","target",3,2,"bear","animal","blackStimulus",NA,5,5,NA,NA,"bathrobe","distrClass3",2,4,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"bookcase","distrClass3",4,3,NA,"furniture",1,1,0,"bear","","1449254676563","bear","False","False","False","grizzlyBear",NA,NA,"","","","",""
"29","4452-5",1449254683748,29,"subSuperTrial","distr12","dalmatian","target",2,2,"dog","animal","squirrel","distrClass2",3,4,NA,"animal","greyhound","distrClass1",4,3,"dog","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"dalmation","","1449254682059","dalmation","False","False","False","dalmatian",NA,NA,"","","","",""
