"","X.1","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","otherFeatureMentioned","typeAttributeMentioned","noAttrOrLevelMentioned","noLevelMentioned","basiclevelAttributeMentioned","basiclevelMentioned","superClassMentioned","superclassattributeMentioned","utteranceContracted","oneMentioned","theMentioned","clickedType","clickedSize","clickedColor","colorPreNominal","sizePreNominal","X","notes"
"490",574,"5628-2",1.45e+12,6,"subSuperTrial","distr23","germanShepherd","target",3,3,"dog","animal","lamp","distrClass3",2,2,NA,"furniture","iguana","distrClass2",4,4,NA,"animal",1,1,0,"doggie","","1450000000000","doggie",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"germanShepherd",NA,NA,NA,NA,NA,""
"491",575,"5975-e",1.45e+12,64,"subSuperTrial","distr23","sunflower","target",2,4,"flower","plant","pottedPlant","distrClass2",3,3,NA,"plant","lamp","distrClass3",4,2,NA,"furniture",1,1,0,"flower","","1450000000000","flower",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"sunflower",NA,NA,NA,NA,NA,""
"492",576,"0198-d",1.45e+12,22,"subSuperTrial","distr23","bedsideTable","target",2,3,"table","furniture","pottedPlant","distrClass3",3,4,NA,"plant","lamp","distrClass2",4,2,NA,"furniture",1,1,0,"dresser","","1450000000000","dresser",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"bedsideTable",NA,NA,NA,NA,NA,""
"493",577,"5934-3",1.45e+12,62,"subSuperTrial","distr23","hawaiiShirt","target",4,3,"shirt","clothing","socks","distrClass2",2,4,NA,"clothing","lamp","distrClass3",3,2,NA,"furniture",1,1,0,"shirt","","1450000000000","shirt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"hawaiiShirt",NA,NA,NA,NA,NA,""
"494",579,"7111-e",1.45e+12,62,"subSuperTrial","distr23","catfish","target",4,4,"fish","animal","pretzels","distrClass3",2,3,NA,"snack","lobster","distrClass2",3,2,NA,"animal",1,1,0,"fish","","1450000000000","fish",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"catfish",NA,NA,NA,NA,NA,""
"495",580,"2919-a",1.45e+12,45,"subSuperTrial","distr23","sportsCar","target",3,3,"car","vehicle","train","distrClass2",4,2,NA,"vehicle","lobster","distrClass3",2,4,NA,"animal",1,1,0,"car","","1450000000000","car",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"sportsCar",NA,NA,NA,NA,NA,""
"496",581,"4517-f",1.45e+12,63,"subSuperTrial","distr23","tShirt","target",4,2,"shirt","clothing","dress","distrClass2",3,3,NA,"clothing","motorcycle","distrClass3",2,4,NA,"vehicle",3,3,0,"blue___sry___tshirt","","1449255463628___1449255466506___1449255467440","blue",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"tShirt",NA,NA,NA,NA,NA,""
"497",582,"7830-a",1.45e+12,52,"subSuperTrial","distr23","pandaBear","target",4,2,"bear","animal","dress","distrClass3",2,4,NA,"clothing","pig","distrClass2",3,3,NA,"animal",1,1,0,"panda!","","1450000000000","panda!",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"pandaBear",NA,NA,NA,NA,NA,""
"498",583,"3504-8",1.45e+12,14,"subSuperTrial","distr23","husky","target",4,4,"dog","animal","crocodile","distrClass2",2,3,NA,"animal","popcorn","distrClass3",3,2,NA,"snack",1,1,0,"dog","","1450000000000","dog",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"husky",NA,NA,NA,NA,NA,""
"500",585,"8684-3",1.45e+12,34,"subSuperTrial","distr23","mnMs","target",3,4,"candy","snack","sheep","distrClass3",4,3,NA,"animal","popcorn","distrClass2",2,2,NA,"snack",1,1,0,"candy","","1450000000000","candy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"mnMs",NA,NA,NA,NA,NA,""
"501",586,"3504-8",1.45e+12,16,"subSuperTrial","distr23","coffeeTable","target",2,4,"table","furniture","wardrobe","distrClass2",4,2,NA,"furniture","popcorn","distrClass3",3,3,NA,"snack",1,1,0,"table","","1450000000000","table",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"coffeeTable",NA,NA,NA,NA,NA,""
"502",587,"3695-5",1.45e+12,22,"subSuperTrial","distr23","coffeeTable","target",3,2,"table","furniture","wardrobe","distrClass2",4,3,NA,"furniture","popcorn","distrClass3",2,4,NA,"snack",1,1,0,"table","","1450000000000","table",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"coffeeTable",NA,NA,NA,NA,NA,""
"503",588,"3293-5",1.45e+12,1,"subSuperTrial","distr23","clownFish","target",2,2,"fish","animal","bison","distrClass2",3,3,NA,"animal","pottedPlant","distrClass3",4,4,NA,"plant",1,1,0,"fish","","1450000000000","fish",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"clownFish",NA,NA,NA,NA,NA,"bald eagle -> being even more specific"
