gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain
3884-2,1448897440528,28,colorSizeTrial,sizeOnly4Distr2Same,small_purple_billiardball,target,1,1,NA,NA,big_purple_billiardball,distractor,3,3,NA,NA,big_orange_billiardball,distractor,4,4,NA,NA,big_purple_billiardball,distractor,5,2,NA,NA,big_orange_billiardball,distractor,2,5,NA,NA
3884-2,1448897447333,29,colorSizeTrial,colorOnly4Distr4Same,big_green_rock,target,3,3,NA,NA,big_purple_rock,distractor,2,4,NA,NA,big_purple_rock,distractor,1,5,NA,NA,big_purple_rock,distractor,5,2,NA,NA,big_purple_rock,distractor,4,1,NA,NA
3884-2,1448897453911,30,subSuperTrial,distr22,bookcase,target,4,4,furniture,object,walkietalkie,distrClass2,2,3,NA,object,blackStimulus,NA,1,1,NA,NA,binoculars,distrClass2,3,2,NA,object,blackStimulus,NA,5,5,NA,NA
3884-2,1448897458773,31,subSuperTrial,distr12,daisy,target,4,2,flower,plant,blackStimulus,NA,1,1,NA,NA,hibiscus,distrClass1,2,4,flower,plant,bambus,distrClass2,3,3,NA,plant,blackStimulus,NA,5,5,NA,NA
3884-2,1448897467662,32,colorSizeTrial,colorOnly4Distr3Same,big_blue_comb,target,5,3,NA,NA,big_black_comb,distractor,2,5,NA,NA,big_black_comb,distractor,4,2,NA,NA,small_black_comb,distractor,1,1,NA,NA,big_black_comb,distractor,3,4,NA,NA
3884-2,1448897477122,33,subSuperTrial,distr23,corn,target,3,2,vegetable,food,rice,distrClass2,2,4,NA,food,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,teddybear,distrClass3,4,3,NA,object
3884-2,1448897483536,34,subSuperTrial,distr33,wardrobe,target,4,3,furniture,object,blackStimulus,NA,1,1,NA,NA,horse,distrClass3,3,4,NA,animal,burger,distrClass3,2,2,NA,food,blackStimulus,NA,5,5,NA,NA
3884-2,1448897489093,35,subSuperTrial,distr22,ambulance,target,4,2,vehicle,object,basketball,distrClass2,2,3,NA,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,baseballmitt,distrClass2,3,4,NA,object
3884-2,1448897497019,36,colorSizeTrial,sizeOnly4Distr2Same,small_brown_belt,target,2,2,NA,NA,big_brown_belt,distractor,1,3,NA,NA,big_black_belt,distractor,5,1,NA,NA,big_brown_belt,distractor,4,5,NA,NA,big_black_belt,distractor,3,4,NA,NA
3884-2,1448897502095,37,subSuperTrial,distr23,belt2,target,2,4,clothing,object,egg,distrClass3,3,3,NA,food,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,firehydrant,distrClass2,4,2,NA,object
3884-2,1448897506471,38,colorSizeTrial,sizeOnly2Distr2Same,big_purple_bike,target,4,4,NA,NA,small_purple_bike,distractor,2,3,NA,NA,blackStimulus,NA,5,5,NA,NA,small_purple_bike,distractor,3,2,NA,NA,blackStimulus,NA,1,1,NA,NA
3884-2,1448897512127,39,subSuperTrial,distr23,boat,target,2,2,vehicle,object,bambus,distrClass3,3,4,NA,plant,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,teddybear,distrClass2,4,3,NA,object
3884-2,1448897517221,40,subSuperTrial,distr12,piano,target,3,4,instrument,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,guitar2,distrClass1,2,3,instrument,object,tooth,distrClass2,4,2,NA,object
3884-2,1448897522809,41,subSuperTrial,distr12,eggplant,target,3,3,vegetable,food,blackStimulus,NA,5,5,NA,NA,egg,distrClass2,2,2,NA,food,blackStimulus,NA,1,1,NA,NA,broccoli,distrClass1,4,4,vegetable,food
3884-2,1448897527943,42,subSuperTrial,distr12,saxophone,target,4,2,instrument,object,blackStimulus,NA,1,1,NA,NA,football,distrClass2,3,4,NA,object,blackStimulus,NA,5,5,NA,NA,trumpet,distrClass1,2,3,instrument,object
3884-2,1448897531912,43,subSuperTrial,distr33,lamp,target,3,3,furniture,object,blackStimulus,NA,1,1,NA,NA,grasses,distrClass3,2,4,NA,plant,rhino,distrClass3,4,2,NA,animal,blackStimulus,NA,5,5,NA,NA
3884-2,1448897536992,44,subSuperTrial,distr23,swimsuit,target,2,2,clothing,object,grasses,distrClass3,4,3,NA,plant,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,tennisball,distrClass2,3,4,NA,object
3884-2,1448897540967,45,subSuperTrial,distr22,lime,target,3,3,fruit,food,cheese,distrClass2,2,4,NA,food,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,pancake,distrClass2,4,2,NA,food
3884-2,1448897545137,46,colorSizeTrial,sizeOnly2Distr1Same,big_purple_flower,target,3,4,NA,NA,small_red_flower,distractor,2,3,NA,NA,small_purple_flower,distractor,4,2,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
3884-2,1448897549480,47,subSuperTrial,distr33,sunflower,target,4,2,flower,plant,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,lion,distrClass3,3,3,NA,animal,tire,distrClass3,2,4,NA,object
3884-2,1448897553817,48,colorSizeTrial,colorOnly4Distr1Same,small_white_shoe,target,4,3,NA,NA,big_yellow_shoe,distractor,1,2,NA,NA,big_yellow_shoe,distractor,3,5,NA,NA,big_yellow_shoe,distractor,2,1,NA,NA,small_yellow_shoe,distractor,5,4,NA,NA
3884-2,1448897559402,49,subSuperTrial,distr12,dalmatian,target,2,4,dog,animal,horse,distrClass2,4,2,NA,animal,greyhound,distrClass1,3,3,dog,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
3884-2,1448897563632,50,colorSizeTrial,sizeOnly4Distr3Same,big_green_binder,target,3,4,NA,NA,small_blue_binder,distractor,1,1,NA,NA,small_green_binder,distractor,5,3,NA,NA,small_green_binder,distractor,2,5,NA,NA,small_green_binder,distractor,4,2,NA,NA
3884-2,1448897567857,51,colorSizeTrial,sizeOnly4Distr1Same,small_blue_cap,target,4,5,NA,NA,big_orange_cap,distractor,3,3,NA,NA,big_blue_cap,distractor,2,1,NA,NA,big_orange_cap,distractor,5,4,NA,NA,big_orange_cap,distractor,1,2,NA,NA
3884-2,1448897572783,52,colorSizeTrial,sizeOnly2Distr1Same,big_purple_bracelet,target,4,4,NA,NA,small_green_bracelet,distractor,3,3,NA,NA,small_purple_bracelet,distractor,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
3884-2,1448897576544,53,colorSizeTrial,sizeOnly2Distr2Same,small_blue_guitar,target,3,4,NA,NA,big_blue_guitar,distractor,2,2,NA,NA,blackStimulus,NA,1,1,NA,NA,big_blue_guitar,distractor,4,3,NA,NA,blackStimulus,NA,5,5,NA,NA
3884-2,1448897580981,54,subSuperTrial,distr23,bed,target,3,4,furniture,object,blackStimulus,NA,5,5,NA,NA,record,distrClass2,4,3,NA,object,blackStimulus,NA,1,1,NA,NA,rice,distrClass3,2,2,NA,food
3884-2,1448897586008,55,subSuperTrial,distr12,kiwi,target,4,2,fruit,food,cookies,distrClass2,3,3,NA,food,blackStimulus,NA,5,5,NA,NA,peach,distrClass1,2,4,fruit,food,blackStimulus,NA,1,1,NA,NA
3884-2,1448897590848,56,colorSizeTrial,colorOnly2Distr2Same,small_pink_hairdryer,target,4,3,NA,NA,small_purple_hairdryer,distractor,2,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_purple_hairdryer,distractor,3,2,NA,NA,blackStimulus,NA,1,1,NA,NA
3884-2,1448897596689,57,colorSizeTrial,colorOnly4Distr2Same,small_green_pepper,target,1,5,NA,NA,big_red_pepper,distractor,2,2,NA,NA,small_red_pepper,distractor,3,1,NA,NA,small_red_pepper,distractor,4,4,NA,NA,big_red_pepper,distractor,5,3,NA,NA
3884-2,1448897605875,58,colorSizeTrial,colorOnly4Distr1Same,big_purple_rug,target,1,2,NA,NA,big_blue_rug,distractor,3,3,NA,NA,small_blue_rug,distractor,5,1,NA,NA,small_blue_rug,distractor,4,5,NA,NA,small_blue_rug,distractor,2,4,NA,NA
3884-2,1448897614026,59,subSuperTrial,distr12,igloo,target,4,4,house,place,hut,distrClass1,2,2,house,place,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,church,distrClass2,3,3,NA,place
3884-2,1448897618401,60,colorSizeTrial,sizeOnly2Distr2Same,small_pink_framee,target,2,3,NA,NA,blackStimulus,NA,5,5,NA,NA,big_pink_framee,distractor,4,2,NA,NA,blackStimulus,NA,1,1,NA,NA,big_pink_framee,distractor,3,4,NA,NA
3884-2,1448897622929,61,subSuperTrial,distr23,tent,target,2,3,house,place,backpack,distrClass3,4,2,NA,object,mosque,distrClass2,3,4,NA,place,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
3884-2,1448897627264,62,colorSizeTrial,sizeOnly4Distr1Same,big_blue_tack,target,2,4,NA,NA,small_blue_tack,distractor,4,5,NA,NA,small_red_tack,distractor,1,3,NA,NA,small_red_tack,distractor,3,2,NA,NA,small_red_tack,distractor,5,1,NA,NA
3884-2,1448897631982,63,subSuperTrial,distr33,bra,target,2,4,clothing,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,fir,distrClass3,3,2,NA,plant,muffin,distrClass3,4,3,NA,food
3884-2,1448897637722,64,subSuperTrial,distr23,bathrobe,target,3,2,clothing,object,firemanhat,distrClass2,2,3,NA,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,burger,distrClass3,4,4,NA,food
3884-2,1448897642426,65,subSuperTrial,distr33,cottage,target,3,4,house,place,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,rosemary,distrClass3,4,3,NA,plant,pizza,distrClass3,2,2,NA,food
3884-2,1448897647714,66,colorSizeTrial,colorOnly4Distr3Same,small_red_chair,target,5,1,NA,NA,big_green_chair,distractor,3,3,NA,NA,small_green_chair,distractor,4,4,NA,NA,small_green_chair,distractor,1,5,NA,NA,small_green_chair,distractor,2,2,NA,NA
3884-2,1448897652627,67,subSuperTrial,distr22,firetruck,target,4,3,vehicle,object,blackStimulus,NA,5,5,NA,NA,camera,distrClass2,3,2,NA,object,blackStimulus,NA,1,1,NA,NA,rubberduck,distrClass2,2,4,NA,object
3884-2,1448897659994,68,colorSizeTrial,sizeOnly4Distr4Same,big_orange_napkin,target,5,4,NA,NA,small_orange_napkin,distractor,2,3,NA,NA,small_orange_napkin,distractor,3,1,NA,NA,small_orange_napkin,distractor,1,2,NA,NA,small_orange_napkin,distractor,4,5,NA,NA
3884-2,1448897665502,69,subSuperTrial,distr22,tulip,target,3,3,flower,plant,grasses,distrClass2,4,4,NA,plant,blackStimulus,NA,5,5,NA,NA,ivy,distrClass2,2,2,NA,plant,blackStimulus,NA,1,1,NA,NA
3884-2,1448897669594,70,colorSizeTrial,sizeOnly4Distr1Same,big_purple_yarn,target,3,3,NA,NA,small_purple_yarn,distractor,1,4,NA,NA,small_red_yarn,distractor,2,1,NA,NA,small_red_yarn,distractor,4,2,NA,NA,small_red_yarn,distractor,5,5,NA,NA
3884-2,1448897673978,71,colorSizeTrial,colorOnly2Distr1Same,big_red_stapler,target,3,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_purple_stapler,distractor,2,3,NA,NA,big_purple_stapler,distractor,4,2,NA,NA,blackStimulus,NA,1,1,NA,NA
3884-2,1448897679705,72,subSuperTrial,distr12,pineapple,target,3,2,fruit,food,blackStimulus,NA,1,1,NA,NA,pasta,distrClass2,2,3,NA,food,blackStimulus,NA,5,5,NA,NA,cherries,distrClass1,4,4,fruit,food
