gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain
9463-9,1448898161434,48,colorSizeTrial,colorOnly4Distr4Same,big_red_tack,target,2,5,NA,NA,big_blue_tack,distractor,4,2,NA,NA,big_blue_tack,distractor,1,1,NA,NA,big_blue_tack,distractor,5,4,NA,NA,big_blue_tack,distractor,3,3,NA,NA
9463-9,1448898169698,49,colorSizeTrial,sizeOnly4Distr4Same,big_blue_rug,target,3,1,NA,NA,small_blue_rug,distractor,1,4,NA,NA,small_blue_rug,distractor,5,5,NA,NA,small_blue_rug,distractor,2,3,NA,NA,small_blue_rug,distractor,4,2,NA,NA
9463-9,1448898174053,50,colorSizeTrial,colorOnly4Distr4Same,big_white_shoe,target,4,5,NA,NA,big_yellow_shoe,distractor,1,1,NA,NA,big_yellow_shoe,distractor,5,2,NA,NA,big_yellow_shoe,distractor,2,3,NA,NA,big_yellow_shoe,distractor,3,4,NA,NA
9463-9,1448898180033,51,subSuperTrial,distr23,piano,target,4,4,instrument,object,teddybear,distrClass2,2,2,NA,object,cookies,distrClass3,3,3,NA,food,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
9463-9,1448898185204,52,subSuperTrial,distr33,kiwi,target,2,2,fruit,food,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,trafficcone,distrClass3,4,4,NA,object,bambus,distrClass3,3,3,NA,plant
9463-9,1448898189868,53,subSuperTrial,distr22,lamp,target,2,2,furniture,object,washingmachine,distrClass2,3,3,NA,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,mailbox,distrClass2,4,4,NA,object
9463-9,1448898195004,54,colorSizeTrial,colorOnly2Distr1Same,small_red_pepper,target,4,3,NA,NA,blackStimulus,NA,1,1,NA,NA,small_green_pepper,distractor,2,4,NA,NA,blackStimulus,NA,5,5,NA,NA,big_green_pepper,distractor,3,2,NA,NA
9463-9,1448898199269,55,colorSizeTrial,sizeOnly4Distr3Same,big_red_bucket,target,4,1,NA,NA,small_red_bucket,distractor,5,5,NA,NA,small_red_bucket,distractor,3,4,NA,NA,small_pink_bucket,distractor,1,3,NA,NA,small_red_bucket,distractor,2,2,NA,NA
9463-9,1448898203540,56,subSuperTrial,distr33,bed,target,4,3,furniture,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,ivy,distrClass3,3,2,NA,plant,sushi,distrClass3,2,4,NA,food
9463-9,1448898208988,57,colorSizeTrial,sizeOnly4Distr1Same,small_red_stapler,target,4,5,NA,NA,big_purple_stapler,distractor,5,2,NA,NA,big_purple_stapler,distractor,2,4,NA,NA,big_red_stapler,distractor,1,1,NA,NA,big_purple_stapler,distractor,3,3,NA,NA
9463-9,1448898213268,58,subSuperTrial,distr23,firetruck,target,2,4,vehicle,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,ivy,distrClass3,4,2,NA,plant,smokedetector,distrClass2,3,3,NA,object
9463-9,1448898218630,59,colorSizeTrial,colorOnly2Distr2Same,big_brown_jacket,target,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA,big_green_jacket,distractor,4,3,NA,NA,blackStimulus,NA,1,1,NA,NA,big_green_jacket,distractor,3,4,NA,NA
9463-9,1448898224241,60,colorSizeTrial,sizeOnly4Distr2Same,big_blue_cap,target,3,3,NA,NA,small_blue_cap,distractor,5,2,NA,NA,small_orange_cap,distractor,2,4,NA,NA,small_orange_cap,distractor,4,5,NA,NA,small_blue_cap,distractor,1,1,NA,NA
9463-9,1448898228748,61,subSuperTrial,distr23,bathrobe,target,3,4,clothing,object,penguin,distrClass3,2,3,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,crosswalksign,distrClass2,4,2,NA,object
9463-9,1448898232852,62,colorSizeTrial,sizeOnly2Distr2Same,small_green_framee,target,2,2,NA,NA,big_green_framee,distractor,3,3,NA,NA,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_green_framee,distractor,4,4,NA,NA
9463-9,1448898240395,63,subSuperTrial,distr33,saxophone,target,3,3,instrument,object,rosemary,distrClass3,2,2,NA,plant,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,chocolate,distrClass3,4,4,NA,food
9463-9,1448898244900,64,subSuperTrial,distr12,carrot,target,2,4,vegetable,food,broccoli,distrClass1,4,2,vegetable,food,cheese,distrClass2,3,3,NA,food,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
9463-9,1448898250431,65,subSuperTrial,distr33,tent,target,3,2,house,place,blackStimulus,NA,5,5,NA,NA,chive,distrClass3,2,3,NA,plant,lion,distrClass3,4,4,NA,animal,blackStimulus,NA,1,1,NA,NA
9463-9,1448898255084,66,subSuperTrial,distr23,igloo,target,4,4,house,place,airport,distrClass2,2,2,NA,place,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,garbagecan,distrClass3,3,3,NA,object
9463-9,1448898259876,67,colorSizeTrial,sizeOnly4Distr2Same,big_white_teacup,target,3,3,NA,NA,small_pink_teacup,distractor,1,5,NA,NA,small_white_teacup,distractor,5,4,NA,NA,small_white_teacup,distractor,2,1,NA,NA,small_pink_teacup,distractor,4,2,NA,NA
9463-9,1448898264485,68,subSuperTrial,distr22,belt2,target,3,2,clothing,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,anvil,distrClass2,4,3,NA,object,rubberduck,distrClass2,2,4,NA,object
9463-9,1448898270189,69,colorSizeTrial,sizeOnly4Distr1Same,big_purple_bracelet,target,1,1,NA,NA,small_green_bracelet,distractor,5,2,NA,NA,small_green_bracelet,distractor,3,5,NA,NA,small_green_bracelet,distractor,2,4,NA,NA,small_purple_bracelet,distractor,4,3,NA,NA
9463-9,1448898276427,70,subSuperTrial,distr33,mushroom,target,3,4,vegetable,food,blackStimulus,NA,5,5,NA,NA,museum,distrClass3,4,2,NA,place,crocodile,distrClass3,2,3,NA,animal,blackStimulus,NA,1,1,NA,NA
9463-9,1448898284509,71,subSuperTrial,distr12,swimsuit,target,3,3,clothing,object,dress,distrClass1,2,4,clothing,object,blackStimulus,NA,1,1,NA,NA,cigar,distrClass2,4,2,NA,object,blackStimulus,NA,5,5,NA,NA
9463-9,1448898289461,72,colorSizeTrial,sizeOnly2Distr2Same,small_purple_rock,target,3,3,NA,NA,blackStimulus,NA,1,1,NA,NA,big_purple_rock,distractor,2,4,NA,NA,blackStimulus,NA,5,5,NA,NA,big_purple_rock,distractor,4,2,NA,NA
