gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
0000-b,1449198985096,11,subSuperTrial,distr12,lily,distrClass1,4,4,flower,plant,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,daisy,target,3,3,flower,plant,ivy,distrClass2,2,2,NA,plant
0000-b,1449198987646,12,subSuperTrial,distr22,catfish,target,4,4,fish,animal,crocodile,distrClass2,3,2,NA,animal,blackStimulus,NA,5,5,NA,NA,lobster,distrClass2,2,3,NA,animal,blackStimulus,NA,1,1,NA,NA
0000-b,1449198990378,13,subSuperTrial,distr22,husky,target,3,4,dog,animal,blackStimulus,NA,5,5,NA,NA,lion,distrClass2,2,2,NA,animal,snake,distrClass2,4,3,NA,animal,blackStimulus,NA,1,1,NA,NA
0000-b,1449198992954,14,colorSizeTrial,colorOnly2Distr1Same,small_red_toothbrush,target,4,4,NA,NA,big_blue_toothbrush,distractor,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,small_blue_toothbrush,distractor,3,3,NA,NA
0000-b,1449198996905,15,colorSizeTrial,colorOnly3Distr1Same,small_black_comb,distractor,3,4,NA,NA,big_black_comb,distractor,2,1,NA,NA,small_blue_comb,target,4,2,NA,NA,blackStimulus,NA,5,5,NA,NA,big_black_comb,distractor,1,3,NA,NA
0000-b,1449198999580,16,subSuperTrial,distr12,sportsCar,target,3,4,car,vehicle,sedan,distrClass1,2,2,car,vehicle,blackStimulus,NA,5,5,NA,NA,ambulance,distrClass2,4,3,NA,vehicle,blackStimulus,NA,1,1,NA,NA
0000-b,1449199002140,17,subSuperTrial,distr22,sheep,distrClass2,4,4,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,cow,distrClass2,2,2,NA,animal,hummingBird,target,3,3,bird,animal
0000-b,1449199004674,18,subSuperTrial,distr22,firetruck,distrClass2,2,4,NA,vehicle,blackStimulus,NA,5,5,NA,NA,motorcycle,distrClass2,3,2,NA,vehicle,blackStimulus,NA,1,1,NA,NA,minivan,target,4,3,car,vehicle
0000-b,1449199007309,19,colorSizeTrial,colorOnly3Distr1Same,big_pink_balloon,distractor,2,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_pink_balloon,distractor,4,2,NA,NA,big_yellow_balloon,target,1,1,NA,NA,small_pink_balloon,distractor,3,3,NA,NA
0000-b,1449199009955,20,colorSizeTrial,sizeOnly4Distr3Same,big_red_flower,distractor,5,4,NA,NA,big_purple_flower,distractor,4,5,NA,NA,big_red_flower,distractor,2,2,NA,NA,big_red_flower,distractor,3,1,NA,NA,small_red_flower,target,1,3,NA,NA
0000-b,1449199012499,21,subSuperTrial,distr12,discusFish,distrClass1,4,4,fish,animal,blackStimulus,NA,1,1,NA,NA,rabbit,distrClass3,3,3,NA,animal,swordFish,target,2,2,fish,animal,blackStimulus,NA,5,5,NA,NA
0000-b,1449199014949,22,colorSizeTrial,sizeOnly4Distr1Same,big_blue_rug,distractor,5,4,NA,NA,big_blue_rug,distractor,2,1,NA,NA,big_blue_rug,distractor,1,3,NA,NA,small_purple_rug,target,3,2,NA,NA,big_purple_rug,distractor,4,5,NA,NA
0000-b,1449199017397,23,subSuperTrial,distr33,parrot,target,4,4,bird,animal,pottedPlant,distrClass3,3,2,NA,plant,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,lamp,distrClass3,2,3,NA,furniture
