noun,average_length,level
animal,6,super
bear,4,basic
bedsidetable,8.31,sub
bird,4.01,basic
blackbear,9.88,sub
candy,5.05,basic
car,3.01,basic
catfish,6.64,sub
clothing,8,super
clownfish,9.11,sub
coffeetable,9.08,sub
convertible,11.19,sub
daisy,5.91,sub
dalmatian,8.8,sub
diningtable,12,sub
dog,3.05,basic
dressshirt,11,sub
eagle,4.91,sub
fish,4,basic
flower,5.98,basic
furniture,9,super
germanshepherd,13.13,sub
goldfish,7.87,sub
grizzlybear,9,sub
gummybears,8.53,sub
hawaiishirt,12.62,sub
hummingbird,10.08,sub
husky,4.68,sub
jellybeans,9.34,sub
mnms,4.41,sub
minivan,5.71,sub
pandabear,5.48,sub
parrot,6.14,sub
picnictable,9.73,sub
pigeon,5.87,sub
plant,5,super
polarbear,8.83,sub
poloshirt,6.7,sub
pug,3.04,sub
rose,4,sub
shirt,5,basic
skittles,6.87,sub
snack,5,super
sportscar,9.82,sub
sunflower,8.95,sub
suv,3,sub
swordfish,8.03,sub
tshirt,6.36,sub
table,4.99,basic
tulip,4.39,sub
vehicle,7,super
