Item	Color	rescaledTypicality
avocado	black	0.965406976744186
avocado	green	0.934707540521494
balloon	pink	0.931653746770026
balloon	yellow	0.90968992248062
belt	black	0.97646229739253
belt	brown	0.89155592469546
bike	purple	0.800193798449612
bike	red	0.878682170542636
billiardball	orange	0.901291989664083
billiardball	purple	0.809560723514212
binder	blue	0.810206718346253
binder	green	0.775484496124031
book	black	0.849165175909362
book	blue	0.877436323366556
bracelet	green	0.826356589147287
bracelet	purple	0.811337209302325
bucket	pink	0.728972868217054
bucket	red	0.867884828349945
butterfly	blue	0.802131782945736
butterfly	purple	0.853682170542636
candle	blue	0.79031007751938
candle	red	0.932945736434108
cap	blue	0.754651162790698
cap	orange	0.806678592725104
chair	green	0.674709302325581
chair	red	0.831007751937984
coathanger	orange	0.611240310077519
coathanger	purple	0.673449612403101
comb	black	0.967829457364341
comb	blue	0.880267794221283
cushion	blue	0.84335122242099
cushion	orange	0.831443798449612
flower	purple	0.87328349944629
flower	red	0.918410852713178
framee	green	0.701679586563307
framee	pink	0.696996124031008
golfball	blue	0.983914728682171
golfball	pink	0.663953488372093
guitar	blue	0.798654810761514
guitar	green	0.802131782945736
hairdryer	pink	0.779521963824289
hairdryer	purple	0.713711240310077
jacket	brown	0.768798449612403
jacket	green	0.808914728682171
napkin	orange	0.856153100775194
napkin	yellow	0.798449612403101
ornament	blue	0.96531007751938
ornament	purple	0.907751937984496
pepper	green	0.95281007751938
pepper	red	0.929761904761905
phone	pink	0.635326688815061
phone	white	0.633769379844961
rock	green	0.52984496124031
rock	purple	0.593798449612403
rug	blue	0.823713883016209
rug	purple	0.772369878183832
shoe	white	0.827083333333333
shoe	yellow	0.719767441860465
stapler	purple	0.845090439276486
stapler	red	0.782428940568475
tack	blue	0.945957918050941
tack	red	0.922286821705426
teacup	pink	0.77984496124031
teacup	white	0.967054263565891
toothbrush	blue	0.902768549280177
toothbrush	red	0.79562569213732
turtle	black	0.750193798449612
turtle	brown	0.906166314305849
weddingcake	pink	0.694573643410853
weddingcake	white	0.870184853905784
yarn	purple	0.871124031007752
yarn	red	0.931007751937984
