condition,t_t_sub,t_d1_sub,t_d2_sub,t_t_basic,t_d1_basic,t_d2_basic,t_t_super,t_d1_super,t_d2_super,freq_sub,freq_sub_label,freq_basic,freq_basic_label,freq_super,freq_super_label,p_s_sub,p_s_basic,p_s_super
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,1.59E-010,LOW,0.000309774,HIGH,0.0000221,MED,0.2781772024,0.7163573542,0.0054654433
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,1.59E-010,LOW,0.000309774,HIGH,0.0000221,MED,0.2615909236,0.7041610725,0.034248004
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,1.59E-010,LOW,0.000309774,HIGH,0.0000221,MED,0.1926080535,0.5425213852,0.2648705612
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.0000221,MED,1.59E-010,LOW,1.59E-010,LOW,0.9722063091,0.0247785674,0.0030151235
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.0000221,MED,1.59E-010,LOW,1.59E-010,LOW,0.8381403148,0.1603095025,0.0015501826
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.0000221,MED,1.59E-010,LOW,1.59E-010,LOW,0.8249073909,0.1649259078,0.0101667013
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.0000221,MED,1.59E-010,LOW,1.59E-010,LOW,0.7470139589,0.156280749,0.0967052921
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.0000221,MED,1.59E-010,LOW,0.0000221,MED,0.9644442122,0.0245807353,0.0109750525
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.0000221,MED,1.59E-010,LOW,0.0000221,MED,0.8346864679,0.1596488918,0.0056646403
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.0000221,MED,1.59E-010,LOW,0.0000221,MED,0.8031125687,0.1605684116,0.0363190197
