t_t,t_d1,t_d2,p_l_t,p_l_d1,p_l_d2,p_s_sub,p_s_basic,p_s_super
1,0.01,0.01,0.98,0.01,0.01,1,0,0
1,0.2,0.2,0.71,0.14,0.14,0.9,0.1,0
1,0.4,0.4,0.55,0.22,0.22,0.39,0.6,0.01
1,0.6,0.6,0.45,0.27,0.27,0.07,0.92,0.01
1,0.8,0.8,0.38,0.31,0.31,0.01,0.98,0.01
1,1,1,0.33,0.33,0.33,0,0.99,0.01
0.8,0.01,0.01,0.98,0.01,0.01,0.99,0,0
0.8,0.2,0.2,0.67,0.17,0.17,0.82,0.18,0
0.8,0.4,0.4,0.5,0.25,0.25,0.17,0.82,0.01
0.8,0.6,0.6,0.4,0.3,0.3,0.02,0.97,0.01
0.8,0.8,0.8,0.33,0.33,0.33,0,0.99,0.01
0.8,1,1,0.29,0.36,0.36,0,0.99,0.01
0.6,0.01,0.01,0.97,0.02,0.02,0.99,0,0
0.6,0.2,0.2,0.6,0.2,0.2,0.59,0.4,0
0.6,0.4,0.4,0.43,0.29,0.29,0.04,0.95,0.01
0.6,0.6,0.6,0.33,0.33,0.33,0,0.99,0.01
0.6,0.8,0.8,0.27,0.36,0.36,0,0.99,0.01
0.6,1,1,0.23,0.38,0.38,0,0.99,0.01
0.4,0.01,0.01,0.95,0.02,0.02,0.99,0,0
0.4,0.2,0.2,0.5,0.25,0.25,0.17,0.82,0.01
0.4,0.4,0.4,0.33,0.33,0.33,0,0.99,0.01
0.4,0.6,0.6,0.25,0.37,0.37,0,0.99,0.01
0.4,0.8,0.8,0.2,0.4,0.4,0,0.99,0.01
0.4,1,1,0.17,0.42,0.42,0,0.99,0.01
0.2,0.01,0.01,0.91,0.05,0.05,0.99,0.01,0
0.2,0.2,0.2,0.33,0.33,0.33,0,0.99,0.01
0.2,0.4,0.4,0.2,0.4,0.4,0,0.99,0.01
0.2,0.6,0.6,0.14,0.43,0.43,0,0.99,0.01
0.2,0.8,0.8,0.11,0.44,0.44,0,0.99,0.01
0.2,1,1,0.09,0.45,0.45,0,0.99,0.01
0.01,0.01,0.01,0.33,0.33,0.33,0,0.99,0.01
0.01,0.2,0.2,0.02,0.49,0.49,0,0.99,0.01
0.01,0.4,0.4,0.01,0.49,0.49,0,0.99,0.01
0.01,0.6,0.6,0.01,0.5,0.5,0,0.99,0.01
0.01,0.8,0.8,0.01,0.5,0.5,0,0.99,0.01
0.01,1,1,0,0.5,0.5,0,0.99,0.01
