condition,t_t_sub,t_d1_sub,t_d2_sub,t_t_basic,t_d1_basic,t_d2_basic,t_t_super,t_d1_super,t_d2_super,length_sub,length_sub_label,length_basic,length_basic_label,length_super,length_super_label,p_s_sub,p_s_basic,p_s_super
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,3,LOW,7.029412,MED,13.13,HIGH,0.9656888849,0.0334090652,0.0009020498
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,3,LOW,7.029412,MED,13.13,HIGH,0.793534108,0.2060238349,0.0004420571
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,3,LOW,7.029412,MED,13.13,HIGH,0.7842512294,0.2128375394,0.0029112312
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,3,LOW,7.029412,MED,13.13,HIGH,0.7558748924,0.2146525337,0.0294725739
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,3,LOW,13.13,HIGH,7.029412,MED,0.9882533568,0.0075863466,0.0041602967
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,3,LOW,13.13,HIGH,7.029412,MED,0.9432899446,0.0543418429,0.0023682125
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,3,LOW,13.13,HIGH,7.029412,MED,0.928549853,0.0559159279,0.0155342191
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,3,LOW,13.13,HIGH,7.029412,MED,0.8072745594,0.0508679991,0.1418574415
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,3,LOW,3,LOW,0.4389951918,0.5001457169,0.0608590913
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,3,LOW,3,LOW,0.1038142653,0.8876026736,0.0085830611
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,3,LOW,3,LOW,0.095345678,0.8521258326,0.0525284894
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,3,LOW,3,LOW,0.0619630883,0.5794671931,0.3585697186
