condition,label,constantFreq,constantLength,t_t,t_t_label,t_d1,t_d1_label,t_d2,t_d2_label,p_s_sub,p_s_basic,p_s_super
item22,sub,0.00000167,7.559444,0.82375,LOW,0.00375,LOW,0.00375,LOW,,,
item22,sub,0.00000167,7.559444,0.82375,LOW,0.00375,LOW,0.04424588,MED,,,
item22,sub,0.00000167,7.559444,0.82375,LOW,0.00375,LOW,0.26375,HIGH,,,
item22,sub,0.00000167,7.559444,0.82375,LOW,0.04424588,MED,0.04424588,MED,,,
item22,sub,0.00000167,7.559444,0.82375,LOW,0.26375,HIGH,0.26375,HIGH,,,
item22,sub,0.00000167,7.559444,0.82375,LOW,0.04424588,MED,0.00375,LOW,,,
item22,sub,0.00000167,7.559444,0.82375,LOW,0.26375,HIGH,0.00375,LOW,,,
item22,sub,0.00000167,7.559444,0.82375,LOW,0.04424588,MED,0.26375,HIGH,,,
item22,sub,0.00000167,7.559444,0.82375,LOW,0.26375,HIGH,0.04424588,MED,,,
item22,sub,0.00000167,7.559444,0.9369443,MED,0.00375,LOW,0.00375,LOW,,,
item22,sub,0.00000167,7.559444,0.9369443,MED,0.00375,LOW,0.04424588,MED,,,
item22,sub,0.00000167,7.559444,0.9369443,MED,0.00375,LOW,0.26375,HIGH,,,
item22,sub,0.00000167,7.559444,0.9369443,MED,0.04424588,MED,0.04424588,MED,,,
item22,sub,0.00000167,7.559444,0.9369443,MED,0.26375,HIGH,0.26375,HIGH,,,
item22,sub,0.00000167,7.559444,0.9369443,MED,0.04424588,MED,0.00375,LOW,,,
item22,sub,0.00000167,7.559444,0.9369443,MED,0.26375,HIGH,0.00375,LOW,,,
item22,sub,0.00000167,7.559444,0.9369443,MED,0.04424588,MED,0.26375,HIGH,,,
item22,sub,0.00000167,7.559444,0.9369443,MED,0.26375,HIGH,0.04424588,MED,,,
item22,sub,0.00000167,7.559444,0.9872222,HIGH,0.00375,LOW,0.00375,LOW,,,
item22,sub,0.00000167,7.559444,0.9872222,HIGH,0.00375,LOW,0.04424588,MED,,,
item22,sub,0.00000167,7.559444,0.9872222,HIGH,0.00375,LOW,0.26375,HIGH,,,
item22,sub,0.00000167,7.559444,0.9872222,HIGH,0.04424588,MED,0.04424588,MED,,,
item22,sub,0.00000167,7.559444,0.9872222,HIGH,0.26375,HIGH,0.26375,HIGH,,,
item22,sub,0.00000167,7.559444,0.9872222,HIGH,0.04424588,MED,0.00375,LOW,,,
item22,sub,0.00000167,7.559444,0.9872222,HIGH,0.26375,HIGH,0.00375,LOW,,,
item22,sub,0.00000167,7.559444,0.9872222,HIGH,0.04424588,MED,0.26375,HIGH,,,
item22,sub,0.00000167,7.559444,0.9872222,HIGH,0.26375,HIGH,0.04424588,MED,,,
item23,sub,0.00000167,7.559444,0.82375,LOW,0.00375,LOW,0,LOW,,,
item23,sub,0.00000167,7.559444,0.82375,LOW,0.00375,LOW,0,MED,,,
item23,sub,0.00000167,7.559444,0.82375,LOW,0.00375,LOW,0,HIGH,,,
item23,sub,0.00000167,7.559444,0.82375,LOW,0.04424588,MED,0,MED,,,
item23,sub,0.00000167,7.559444,0.82375,LOW,0.26375,HIGH,0,HIGH,,,
item23,sub,0.00000167,7.559444,0.82375,LOW,0.04424588,MED,0,LOW,,,
item23,sub,0.00000167,7.559444,0.82375,LOW,0.26375,HIGH,0,LOW,,,
item23,sub,0.00000167,7.559444,0.82375,LOW,0.04424588,MED,0,HIGH,,,
item23,sub,0.00000167,7.559444,0.82375,LOW,0.26375,HIGH,0,MED,,,
item23,sub,0.00000167,7.559444,0.9369443,MED,0.00375,LOW,0,LOW,,,
item23,sub,0.00000167,7.559444,0.9369443,MED,0.00375,LOW,0,MED,,,
item23,sub,0.00000167,7.559444,0.9369443,MED,0.00375,LOW,0,HIGH,,,
item23,sub,0.00000167,7.559444,0.9369443,MED,0.04424588,MED,0,MED,,,
item23,sub,0.00000167,7.559444,0.9369443,MED,0.26375,HIGH,0,HIGH,,,
item23,sub,0.00000167,7.559444,0.9369443,MED,0.04424588,MED,0,LOW,,,
item23,sub,0.00000167,7.559444,0.9369443,MED,0.26375,HIGH,0,LOW,,,
item23,sub,0.00000167,7.559444,0.9369443,MED,0.04424588,MED,0,HIGH,,,
item23,sub,0.00000167,7.559444,0.9369443,MED,0.26375,HIGH,0,MED,,,
item23,sub,0.00000167,7.559444,0.9872222,HIGH,0.00375,LOW,0,LOW,,,
item23,sub,0.00000167,7.559444,0.9872222,HIGH,0.00375,LOW,0,MED,,,
item23,sub,0.00000167,7.559444,0.9872222,HIGH,0.00375,LOW,0,HIGH,,,
item23,sub,0.00000167,7.559444,0.9872222,HIGH,0.04424588,MED,0,MED,,,
item23,sub,0.00000167,7.559444,0.9872222,HIGH,0.26375,HIGH,0,HIGH,,,
item23,sub,0.00000167,7.559444,0.9872222,HIGH,0.04424588,MED,0,LOW,,,
item23,sub,0.00000167,7.559444,0.9872222,HIGH,0.26375,HIGH,0,LOW,,,
item23,sub,0.00000167,7.559444,0.9872222,HIGH,0.04424588,MED,0,HIGH,,,
item23,sub,0.00000167,7.559444,0.9872222,HIGH,0.26375,HIGH,0,MED,,,
item33,sub,0.00000167,7.559444,0.82375,LOW,0,LOW,0,LOW,,,
item33,sub,0.00000167,7.559444,0.82375,LOW,0,LOW,0,MED,,,
item33,sub,0.00000167,7.559444,0.82375,LOW,0,LOW,0,HIGH,,,
item33,sub,0.00000167,7.559444,0.82375,LOW,0,MED,0,MED,,,
item33,sub,0.00000167,7.559444,0.82375,LOW,0,HIGH,0,HIGH,,,
item33,sub,0.00000167,7.559444,0.82375,LOW,0,MED,0,LOW,,,
item33,sub,0.00000167,7.559444,0.82375,LOW,0,HIGH,0,LOW,,,
item33,sub,0.00000167,7.559444,0.82375,LOW,0,MED,0,HIGH,,,
item33,sub,0.00000167,7.559444,0.82375,LOW,0,HIGH,0,MED,,,
item33,sub,0.00000167,7.559444,0.9369443,MED,0,LOW,0,LOW,,,
item33,sub,0.00000167,7.559444,0.9369443,MED,0,LOW,0,MED,,,
item33,sub,0.00000167,7.559444,0.9369443,MED,0,LOW,0,HIGH,,,
item33,sub,0.00000167,7.559444,0.9369443,MED,0,MED,0,MED,,,
item33,sub,0.00000167,7.559444,0.9369443,MED,0,HIGH,0,HIGH,,,
item33,sub,0.00000167,7.559444,0.9369443,MED,0,MED,0,LOW,,,
item33,sub,0.00000167,7.559444,0.9369443,MED,0,HIGH,0,LOW,,,
item33,sub,0.00000167,7.559444,0.9369443,MED,0,MED,0,HIGH,,,
item33,sub,0.00000167,7.559444,0.9369443,MED,0,HIGH,0,MED,,,
item33,sub,0.00000167,7.559444,0.9872222,HIGH,0,LOW,0,LOW,,,
item33,sub,0.00000167,7.559444,0.9872222,HIGH,0,LOW,0,MED,,,
item33,sub,0.00000167,7.559444,0.9872222,HIGH,0,LOW,0,HIGH,,,
item33,sub,0.00000167,7.559444,0.9872222,HIGH,0,MED,0,MED,,,
item33,sub,0.00000167,7.559444,0.9872222,HIGH,0,HIGH,0,HIGH,,,
item33,sub,0.00000167,7.559444,0.9872222,HIGH,0,MED,0,LOW,,,
