Item	Color	rescaledTypicality
avocado	black	0.810936973373778
avocado	green	0.938873689010488
balloon	pink	0.839834390415786
balloon	yellow	0.821188630490956
belt	black	0.965385911695315
belt	brown	0.942977656178751
bike	purple	0.639728682170542
bike	red	0.941472868217054
billiardball	orange	0.918115942028986
billiardball	purple	0.811992704058368
binder	blue	0.881912144702843
binder	green	0.778787878787879
book	black	0.933149734802122
book	blue	0.831893687707641
bracelet	green	0.735976039464412
bracelet	purple	0.764987080103359
bucket	pink	0.641428145497913
bucket	red	0.90359911406423
butterfly	blue	0.812892696858425
butterfly	purple	0.663842746400885
candle	blue	0.724289405684754
candle	red	0.862297392529951
cap	blue	0.668038163387001
cap	orange	0.655598621877691
chair	green	0.532292941656466
chair	red	0.789258028792912
coathanger	orange	0.545994832041344
coathanger	purple	0.548079633544749
comb	black	0.981623347013224
comb	blue	0.830401078530502
cushion	blue	0.796317829457364
cushion	orange	0.800920542635659
flower	purple	0.909905254091301
flower	red	0.924746571258199
framee	green	0.573449612403101
framee	pink	0.587984496124031
golfball	blue	0.880377906976744
golfball	pink	0.54437984496124
guitar	blue	0.74312525499796
guitar	green	0.614285714285714
hairdryer	pink	0.609786821705426
hairdryer	purple	0.62984496124031
jacket	brown	0.845615310077519
jacket	green	0.719525193798449
napkin	orange	0.706791371755983
napkin	yellow	0.63860009119927
ornament	blue	0.902549979600163
ornament	purple	0.829125138427464
pepper	green	0.944452519379845
pepper	red	0.973401162790698
phone	pink	0.59563443492452
phone	white	0.909136212624584
rock	green	0.541240310077519
rock	purple	0.5
rug	blue	0.788412892696858
rug	purple	0.604318936877076
shoe	white	0.83827519379845
shoe	yellow	0.615600775193798
stapler	purple	0.626744186046512
stapler	red	0.745573235414116
tack	blue	0.847068798449612
tack	red	0.891279069767442
teacup	pink	0.549970184853906
teacup	white	0.932515073212748
toothbrush	blue	0.888168094655243
toothbrush	red	0.874252491694352
turtle	black	0.501081191350469
turtle	brown	0.940697674418605
weddingcake	pink	0.669622093023256
weddingcake	white	0.952083333333333
yarn	purple	0.785130373502466
yarn	red	0.869638242894057
