Utterance,condition,target,alt1,alt2,Probability,YMax,YMin
basic,item12,bedsidetable,sidetable,wardrobe,0.119622662951092,0.119622662951092,0.119622662951092
basic,item12,blackbear,bison,koalabear,0.498603192655306,0.498603192655306,0.498603192655306
basic,item12,blackbear,cow,koalabear,0.530452389921731,0.530452389921731,0.530452389921731
basic,item12,blackbear,koalabear,lobster,0.523417066747758,0.523417066747758,0.523417066747758
basic,item12,catfish,cow,discusfish,0.156224603407974,0.156224603407974,0.156224603407974
basic,item12,catfish,discusfish,iguana,0.155998602463715,0.155998602463715,0.155998602463715
basic,item12,catfish,discusfish,pig,0.154530970623051,0.154530970623051,0.154530970623051
basic,item12,catfish,discusfish,sheep,0.158378862068495,0.158378862068495,0.158378862068495
basic,item12,clownfish,discusfish,horse,0.563282478392934,0.563282478392934,0.563282478392934
basic,item12,clownfish,discusfish,pig,0.540308998228996,0.540308998228996,0.540308998228996
basic,item12,clownfish,discusfish,snake,0.555081159476677,0.555081159476677,0.555081159476677
basic,item12,clownfish,discusfish,squirrel,0.552481847701505,0.552481847701505,0.552481847701505
basic,item12,coffeetable,bed,sidetable,0.395949378245465,0.395949378245465,0.395949378245465
basic,item12,coffeetable,bookcase,sidetable,0.392601388237648,0.392601388237648,0.392601388237648
basic,item12,coffeetable,sidetable,wardrobe,0.374160413280003,0.374160413280003,0.374160413280003
basic,item12,convertible,ambulance,sedan,0.162680902081807,0.162680902081807,0.162680902081807
basic,item12,convertible,firetruck,sedan,0.196192435236364,0.196192435236364,0.196192435236364
basic,item12,convertible,motorcycle,sedan,0.24961249021544,0.24961249021544,0.24961249021544
basic,item12,convertible,sedan,train,0.251372095494391,0.251372095494391,0.251372095494391
basic,item12,daisy,grasses,lily,0.127269618597103,0.127269618597103,0.127269618597103
basic,item12,daisy,ivy,lily,0.157779417560533,0.157779417560533,0.157779417560533
basic,item12,daisy,lily,pottedplant,0.115225550518413,0.115225550518413,0.115225550518413
basic,item12,daisy,lily,rosemary,0.13231954649291,0.13231954649291,0.13231954649291
basic,item12,dalmatian,greyhound,horse,0.208565440016095,0.208565440016095,0.208565440016095
basic,item12,dalmatian,greyhound,squirrel,0.215519522459687,0.215519522459687,0.215519522459687
basic,item12,diningtable,bed,sidetable,0.667031327013127,0.667031327013127,0.667031327013127
basic,item12,diningtable,bookcase,sidetable,0.645047441357964,0.645047441357964,0.645047441357964
basic,item12,eagle,bison,sparrow,0.0542208778182084,0.0542208778182084,0.0542208778182084
basic,item12,eagle,cow,sparrow,0.0521218840537696,0.0521218840537696,0.0521218840537696
basic,item12,eagle,elephant,sparrow,0.0543652642285767,0.0543652642285767,0.0543652642285767
basic,item12,eagle,snake,sparrow,0.0527078629347741,0.0527078629347741,0.0527078629347741
basic,item12,germanshepherd,crocodile,greyhound,0.404154410215721,0.404154410215721,0.404154410215721
basic,item12,germanshepherd,greyhound,horse,0.423473817305027,0.423473817305027,0.423473817305027
basic,item12,germanshepherd,greyhound,kitten,0.399236464403853,0.399236464403853,0.399236464403853
basic,item12,germanshepherd,greyhound,lion,0.426409337165701,0.426409337165701,0.426409337165701
basic,item12,germanshepherd,greyhound,pig,0.427158696050262,0.427158696050262,0.427158696050262
basic,item12,germanshepherd,greyhound,sheep,0.402400056037394,0.402400056037394,0.402400056037394
basic,item12,goldfish,bison,discusfish,0.385836757224071,0.385836757224071,0.385836757224071
basic,item12,goldfish,cow,discusfish,0.376242874965602,0.376242874965602,0.376242874965602
basic,item12,goldfish,discusfish,horse,0.381362149763451,0.381362149763451,0.381362149763451
