Utterance,condition,target,alt1,alt2,Probability,withoutProbability,Diff
basic,item23,bedsidetable,ambulance,bed,0.232150116995457,0.596844512919105,-0.364694395923648
super,item23,bedsidetable,ambulance,bed,0.0519226840117627,0.0469819199961172,0.0049407640156455
sub,item23,bedsidetable,ambulance,bed,0.714703031751356,0.365409423806346,0.34929360794501
sub,item12,diningtable,bookcase,sidetable,0.290927096767162,0.678190207989057,-0.387263111221895
sub,item12,diningtable,bed,sidetable,0.293328556905707,0.678190207989057,-0.38486165108335
super,item12,diningtable,bed,sidetable,0.0461512698231988,0.0356350921783253,0.0105161776448735
super,item12,diningtable,bookcase,sidetable,0.0732283168817977,0.0356350921783253,0.0375932247034724
basic,item12,diningtable,bookcase,sidetable,0.645047441357964,0.285564160200704,0.35948328115726
basic,item12,diningtable,bed,sidetable,0.667031327013127,0.285564160200704,0.381467166812423
basic,item12,hummingbird,chick,snake,0.213101509885126,0.681194340637604,-0.468092830752478
basic,item12,hummingbird,chick,crocodile,0.215012419001649,0.681194340637604,-0.466181921635955
basic,item12,hummingbird,bed,chick,0.198368337486731,0.642337794084943,-0.443969456598212
super,item12,hummingbird,chick,snake,0.0147278171801409,0.0176248027125858,-0.0028969855324449
super,item12,hummingbird,chick,crocodile,0.0147511212198232,0.0176248027125858,-0.0028736814927626
super,item12,hummingbird,bed,chick,0.0751731167889838,0.0710410706839865,0.00413204610499729
sub,item12,hummingbird,bed,chick,0.734300921485152,0.282526337749687,0.451774583735465
sub,item12,hummingbird,chick,crocodile,0.775571865071235,0.3007204582813,0.474851406789935
sub,item12,hummingbird,chick,snake,0.777489660817051,0.3007204582813,0.476769202535751
