Utterance,condition,target,alt1,alt2,Probability,YMax,YMin
basic,item12,bedsidetable,sidetable,wardrobe,0.19569539263084,0.19569539263084,0.19569539263084
basic,item12,blackbear,bison,koalabear,0.245845171446082,0.245845171446082,0.245845171446082
basic,item12,blackbear,cow,koalabear,0.245845171446082,0.245845171446082,0.245845171446082
basic,item12,blackbear,koalabear,lobster,0.245845171446082,0.245845171446082,0.245845171446082
basic,item12,catfish,cow,discusfish,0.173277982227825,0.173277982227825,0.173277982227825
basic,item12,catfish,discusfish,iguana,0.173277982227825,0.173277982227825,0.173277982227825
basic,item12,catfish,discusfish,pig,0.173277982227825,0.173277982227825,0.173277982227825
basic,item12,catfish,discusfish,sheep,0.173277982227825,0.173277982227825,0.173277982227825
basic,item12,clownfish,discusfish,horse,0.235677970764772,0.235677970764772,0.235677970764772
basic,item12,clownfish,discusfish,pig,0.235677970764772,0.235677970764772,0.235677970764772
basic,item12,clownfish,discusfish,snake,0.235677970764772,0.235677970764772,0.235677970764772
basic,item12,clownfish,discusfish,squirrel,0.235677970764772,0.235677970764772,0.235677970764772
basic,item12,coffeetable,bed,sidetable,0.212307671062175,0.212307671062175,0.212307671062175
basic,item12,coffeetable,bookcase,sidetable,0.212307671062175,0.212307671062175,0.212307671062175
basic,item12,coffeetable,sidetable,wardrobe,0.212307671062175,0.212307671062175,0.212307671062175
basic,item12,convertible,ambulance,sedan,0.331429012355776,0.331429012355776,0.331429012355776
basic,item12,convertible,firetruck,sedan,0.331429012355776,0.331429012355776,0.331429012355776
basic,item12,convertible,motorcycle,sedan,0.331429012355776,0.331429012355776,0.331429012355776
basic,item12,convertible,sedan,train,0.331429012355776,0.331429012355776,0.331429012355776
basic,item12,daisy,grasses,lily,0.113885209489757,0.113885209489757,0.113885209489757
basic,item12,daisy,ivy,lily,0.113885209489757,0.113885209489757,0.113885209489757
basic,item12,daisy,lily,pottedplant,0.113885209489757,0.113885209489757,0.113885209489757
basic,item12,daisy,lily,rosemary,0.113885209489757,0.113885209489757,0.113885209489757
basic,item12,dalmatian,greyhound,horse,0.249557155304711,0.249557155304711,0.249557155304711
basic,item12,dalmatian,greyhound,squirrel,0.249557155304711,0.249557155304711,0.249557155304711
basic,item12,diningtable,bed,sidetable,0.282253367027691,0.282253367027691,0.282253367027691
basic,item12,diningtable,bookcase,sidetable,0.282253367027691,0.282253367027691,0.282253367027691
basic,item12,eagle,bison,sparrow,0.128572188213151,0.128572188213151,0.128572188213151
basic,item12,eagle,cow,sparrow,0.128572188213151,0.128572188213151,0.128572188213151
basic,item12,eagle,elephant,sparrow,0.128572188213151,0.128572188213151,0.128572188213151
basic,item12,eagle,snake,sparrow,0.128572188213151,0.128572188213151,0.128572188213151
basic,item12,germanshepherd,crocodile,greyhound,0.380966554542733,0.380966554542733,0.380966554542733
basic,item12,germanshepherd,greyhound,horse,0.380966554542733,0.380966554542733,0.380966554542733
basic,item12,germanshepherd,greyhound,kitten,0.380966554542733,0.380966554542733,0.380966554542733
basic,item12,germanshepherd,greyhound,lion,0.380966554542733,0.380966554542733,0.380966554542733
basic,item12,germanshepherd,greyhound,pig,0.380966554542733,0.380966554542733,0.380966554542733
basic,item12,germanshepherd,greyhound,sheep,0.380966554542733,0.380966554542733,0.380966554542733
basic,item12,goldfish,bison,discusfish,0.205237688775043,0.205237688775043,0.205237688775043
basic,item12,goldfish,cow,discusfish,0.205237688775043,0.205237688775043,0.205237688775043
basic,item12,goldfish,discusfish,horse,0.205237688775043,0.205237688775043,0.205237688775043
basic,item12,goldfish,discusfish,kitten,0.205237688775043,0.205237688775043,0.205237688775043
basic,item12,goldfish,discusfish,rhino,0.205237688775043,0.205237688775043,0.205237688775043
basic,item12,goldfish,discusfish,sheep,0.205237688775043,0.205237688775043,0.205237688775043
basic,item12,goldfish,discusfish,snake,0.205237688775043,0.205237688775043,0.205237688775043
basic,item12,goldfish,discusfish,squirrel,0.205237688775043,0.205237688775043,0.205237688775043
basic,item12,grizzlybear,cow,koalabear,0.227133319146547,0.227133319146547,0.227133319146547
basic,item12,grizzlybear,koalabear,snake,0.227133319146547,0.227133319146547,0.227133319146547
basic,item12,gummybears,candycorn,chips,0.19413021075308,0.19413021075308,0.19413021075308
basic,item12,gummybears,candycorn,cookies,0.19413021075308,0.19413021075308,0.19413021075308
basic,item12,gummybears,candycorn,popcorn,0.19413021075308,0.19413021075308,0.19413021075308
basic,item12,gummybears,candycorn,pretzels,0.19413021075308,0.19413021075308,0.19413021075308
basic,item12,hawaiishirt,campshirt,dress,0.318655438490265,0.318655438490265,0.318655438490265
basic,item12,hawaiishirt,campshirt,gloves,0.318655438490265,0.318655438490265,0.318655438490265
basic,item12,hawaiishirt,campshirt,socks,0.318655438490265,0.318655438490265,0.318655438490265
basic,item12,hummingbird,bed,chick,0.682977549022882,0.682977549022882,0.682977549022882
basic,item12,hummingbird,bison,sparrow,0.250712282516801,0.250712282516801,0.250712282516801
basic,item12,hummingbird,chick,crocodile,0.719665289506629,0.719665289506629,0.719665289506629
basic,item12,hummingbird,chick,snake,0.719665289506629,0.719665289506629,0.719665289506629
basic,item12,hummingbird,elephant,sparrow,0.250712282516801,0.250712282516801,0.250712282516801
basic,item12,hummingbird,rabbit,sparrow,0.250712282516801,0.250712282516801,0.250712282516801
basic,item12,husky,chick,greyhound,0.169713448037619,0.169713448037619,0.169713448037619
basic,item12,husky,cow,greyhound,0.169713448037619,0.169713448037619,0.169713448037619
basic,item12,husky,crocodile,greyhound,0.169713448037619,0.169713448037619,0.169713448037619
basic,item12,husky,greyhound,horse,0.169713448037619,0.169713448037619,0.169713448037619
basic,item12,husky,greyhound,lobster,0.169713448037619,0.169713448037619,0.169713448037619
basic,item12,husky,greyhound,snake,0.169713448037619,0.169713448037619,0.169713448037619
basic,item12,jellybeans,candycorn,chips,0.20936244745997,0.20936244745997,0.20936244745997
basic,item12,jellybeans,candycorn,cookies,0.20936244745997,0.20936244745997,0.20936244745997
basic,item12,jellybeans,candycorn,popcorn,0.20936244745997,0.20936244745997,0.20936244745997
basic,item12,minivan,ambulance,sedan,0.19103669829355,0.19103669829355,0.19103669829355
basic,item12,minivan,motorcycle,sedan,0.19103669829355,0.19103669829355,0.19103669829355
basic,item12,minivan,sedan,train,0.19103669829355,0.19103669829355,0.19103669829355
basic,item12,mnms,candycorn,chips,0.144110334472299,0.144110334472299,0.144110334472299
basic,item12,mnms,candycorn,pretzels,0.144110334472299,0.144110334472299,0.144110334472299
basic,item12,pandabear,bison,koalabear,0.171021589073868,0.171021589073868,0.171021589073868
basic,item12,pandabear,cow,koalabear,0.171021589073868,0.171021589073868,0.171021589073868
basic,item12,pandabear,elephant,koalabear,0.171021589073868,0.171021589073868,0.171021589073868
basic,item12,pandabear,kitten,koalabear,0.171021589073868,0.171021589073868,0.171021589073868
basic,item12,pandabear,koalabear,pig,0.171021589073868,0.171021589073868,0.171021589073868
basic,item12,pandabear,koalabear,rabbit,0.171021589073868,0.171021589073868,0.171021589073868
basic,item12,parrot,chick,sparrow,0.159281374219986,0.159281374219986,0.159281374219986
basic,item12,parrot,elephant,sparrow,0.159281374219986,0.159281374219986,0.159281374219986
basic,item12,parrot,lobster,sparrow,0.159281374219986,0.159281374219986,0.159281374219986
basic,item12,parrot,sparrow,squirrel,0.159281374219986,0.159281374219986,0.159281374219986
basic,item12,picnictable,bed,sidetable,0.227423496142796,0.227423496142796,0.227423496142796
basic,item12,picnictable,bookcase,sidetable,0.227423496142796,0.227423496142796,0.227423496142796
basic,item12,picnictable,sidetable,wardrobe,0.227423496142796,0.227423496142796,0.227423496142796
basic,item12,pigeon,chick,sparrow,0.15057518267109,0.15057518267109,0.15057518267109
basic,item12,pigeon,crocodile,sparrow,0.15057518267109,0.15057518267109,0.15057518267109
basic,item12,pigeon,kitten,sparrow,0.15057518267109,0.15057518267109,0.15057518267109
basic,item12,pigeon,rabbit,sparrow,0.15057518267109,0.15057518267109,0.15057518267109
basic,item12,pigeon,sheep,sparrow,0.15057518267109,0.15057518267109,0.15057518267109
basic,item12,polarbear,bison,koalabear,0.223128963191423,0.223128963191423,0.223128963191423
basic,item12,polarbear,chick,koalabear,0.223128963191423,0.223128963191423,0.223128963191423
basic,item12,polarbear,cow,koalabear,0.223128963191423,0.223128963191423,0.223128963191423
basic,item12,polarbear,elephant,koalabear,0.223128963191423,0.223128963191423,0.223128963191423
basic,item12,polarbear,koalabear,pig,0.223128963191423,0.223128963191423,0.223128963191423
basic,item12,poloshirt,campshirt,dress,0.163871180731838,0.163871180731838,0.163871180731838
basic,item12,poloshirt,campshirt,gloves,0.163871180731838,0.163871180731838,0.163871180731838
basic,item12,pug,bison,greyhound,0.126122602496135,0.126122602496135,0.126122602496135
basic,item12,pug,greyhound,lion,0.126122602496135,0.126122602496135,0.126122602496135
basic,item12,pug,greyhound,lobster,0.126122602496135,0.126122602496135,0.126122602496135
basic,item12,pug,greyhound,rabbit,0.126122602496135,0.126122602496135,0.126122602496135
basic,item12,pug,greyhound,sheep,0.126122602496135,0.126122602496135,0.126122602496135
basic,item12,pug,greyhound,squirrel,0.126122602496135,0.126122602496135,0.126122602496135
basic,item12,rose,grasses,lily,0.0836052330031356,0.0836052330031356,0.0836052330031356
