Item,Color,Typicality,YMin,YMax
apple,blue,0.0285185185185185,0.0137037037037037,0.0459259259259259
apple,green,0.8672,0.8056,0.91402
apple,red,0.919259259259259,0.859259259259259,0.966305555555556
apple,yellow,0.7624,0.68878,0.832
avocado,black,0.556666666666667,0.431824074074074,0.679648148148148
avocado,green,0.863076923076923,0.811519230769231,0.911548076923077
avocado,red,0.33037037037037,0.22662037037037,0.446675925925926
banana,blue,0.0219230769230769,0.00423076923076923,0.0480961538461538
banana,brown,0.2796,0.18236,0.38882
banana,yellow,0.961481481481481,0.905925925925926,0.991851851851852
carrot,orange,0.952173913043478,0.917826086956522,0.979565217391304
carrot,pink,0.0828571428571429,0.0396428571428571,0.139294642857143
carrot,purple,0.08,0.026287037037037,0.144111111111111
orange,green,0.443461538461538,0.310326923076923,0.574663461538462
orange,orange,0.947857142857143,0.902848214285714,0.981428571428571
orange,purple,0.150344827586207,0.0620603448275862,0.254155172413793
pear,green,0.869583333333333,0.804145833333333,0.925010416666667
pear,orange,0.193103448275862,0.123784482758621,0.271379310344828
pear,yellow,0.766923076923077,0.678451923076923,0.850403846153846
pepper,green,0.9128,0.8692,0.9532
pepper,orange,0.514074074074074,0.408509259259259,0.621129629629629
pepper,red,0.938846153846154,0.908067307692308,0.963846153846154
tomato,green,0.513571428571429,0.420669642857143,0.611821428571429
tomato,pink,0.0408,0.01439,0.076
tomato,red,0.92962962962963,0.872962962962963,0.966314814814815
