Utterance,Color
brown,pepper_green
yellow,banana_blue
brown,avocado_green
red,banana_brown
blue,banana_yellow
brown,carrot_pink
pink,avocado_black
black,carrot_pink
red,pepper_green
green,apple_blue
brown,apple_red
green,banana_brown
red,banana_yellow
blue,carrot_orange
green,carrot_orange
blue,pear_yellow
black,pepper_green
orange,pepper_green
black,tomato_green
red,tomato_pink
red,apple_blue
black,apple_red
green,apple_red
blue,avocado_black
red,avocado_black
orange,avocado_red
pink,banana_yellow
yellow,carrot_pink
red,pear_orange
black,pear_yellow
orange,pear_yellow
red,pear_yellow
yellow,pepper_orange
brown,pepper_red
green,pepper_red
orange,tomato_green
pink,apple_blue
pink,apple_green
blue,apple_red
black,banana_blue
orange,carrot_pink
blue,pepper_green
brown,pepper_orange
pink,pepper_orange
yellow,pepper_red
blue,tomato_green
blue,tomato_pink
blue,tomato_red
brown,tomato_red
green,tomato_red
brown,apple_green
orange,apple_red
blue,avocado_green
brown,avocado_red
pink,banana_blue
pink,pear_green
red,pepper_orange
green,tomato_pink
pink,tomato_red
brown,apple_blue
red,apple_green
yellow,apple_green
yellow,avocado_black
black,avocado_green
pink,avocado_green
pink,banana_brown
black,banana_yellow
black,carrot_orange
red,carrot_pink
blue,pear_green
orange,pear_green
black,pear_orange
pink,pear_orange
green,pepper_orange

red,carrot_brown
orange,carrot_brown
yellow,carrot_brown
green,carrot_brown
blue,carrot_brown
brown,carrot_brown
black,carrot_brown
pink,carrot_brown
red,pepper_black
orange,pepper_black
yellow,pepper_black
green,pepper_black
blue,pepper_black
brown,pepper_black
black,pepper_black
pink,pepper_black
