Item,Color,Typicality,YMin,YMax
apple,blue,0.0285185185185185,0.0144444444444444,0.0455648148148148
apple,green,0.8672,0.81159,0.91841
apple,red,0.919259259259259,0.858509259259259,0.965574074074074
apple,yellow,0.7624,0.68879,0.83283
avocado,black,0.556666666666667,0.428462962962963,0.678148148148148
avocado,green,0.863076923076923,0.812298076923077,0.909240384615385
avocado,red,0.33037037037037,0.223694444444444,0.447425925925926
banana,blue,0.0219230769230769,0.005,0.0453942307692308
banana,brown,0.2796,0.1768,0.38642
banana,yellow,0.961481481481481,0.907768518518519,0.991851851851852
carrot,orange,0.952173913043478,0.922152173913043,0.977391304347826
carrot,pink,0.0828571428571429,0.0349910714285714,0.145723214285714
carrot,purple,0.08,0.027037037037037,0.137796296296296
orange,green,0.443461538461538,0.313807692307692,0.578163461538461
orange,orange,0.947857142857143,0.902125,0.98
orange,purple,0.150344827586207,0.0679051724137931,0.250060344827586
pear,green,0.869583333333333,0.78996875,0.92959375
pear,orange,0.193103448275862,0.112068965517241,0.280689655172414
pear,yellow,0.766923076923077,0.676144230769231,0.856153846153846
pepper,green,0.9128,0.868,0.952
pepper,orange,0.514074074074074,0.40737962962963,0.611111111111111
pepper,red,0.938846153846154,0.910375,0.963846153846154
tomato,green,0.513571428571429,0.417142857142857,0.611080357142857
tomato,pink,0.0408,0.016,0.0748
tomato,red,0.92962962962963,0.877398148148148,0.968888888888889
