2298-c,24,size43,size,white,pink,weddingcake,size
2298-c,34,size41,size,blue,pink,golfball,size
2298-c,60,color44,size,red,purple,stapler,red
2298-c,62,color31,size,red,green,chair,red
2662-0,16,size43,size,green,red,chair,size
2662-0,19,size44,size,pink,white,weddingcake,size
2662-0,35,color33,size,red,purple,stapler,red
2662-0,37,size31,size,blue,pink,golfball,size
4633-0,16,size44,size,purple,red,stapler,size
4633-0,42,size42,size,green,red,chair,size_green
1997-d,15,size42,size,white,pink,weddingcake,size_white
1997-d,16,size43,size,pink,blue,golfball,size_pink
1997-d,21,color31,size,purple,red,stapler,purple
1997-d,63,color21,size,green,red,chair,green
8691-5,21,color22,size,red,green,chair,red
8691-5,26,size32,size,pink,blue,golfball,size
8691-5,39,size42,size,white,pink,weddingcake,size
8691-5,43,size31,size,red,purple,stapler,size_red
3791-8,13,size43,size,red,purple,stapler,red
3791-8,24,size21,size,pink,blue,golfball,size_pink
3791-8,39,color33,size,white,pink,weddingcake,white
3791-8,43,color41,size,green,red,chair,green
5664-b,14,size22,size,red,purple,stapler,size
5664-b,25,color42,size,pink,white,weddingcake,pink
5664-b,60,size42,size,pink,blue,golfball,size_pink
5664-b,68,color22,size,red,green,chair,red
0082-3,35,size43,size,pink,blue,golfball,size_pink
0082-3,38,color22,size,red,purple,stapler,red
0082-3,50,color43,size,green,red,chair,green
0082-3,56,size21,size,pink,white,weddingcake,size_pink
9165-a,3,color41,size,white,pink,weddingcake,white
9165-a,12,size21,size,purple,red,stapler,size_purple
9165-a,14,size33,size,green,red,chair,size
9165-a,15,color32,size,pink,blue,golfball,pink
1749-c,6,size42,size,white,pink,weddingcake,size
1749-c,39,size21,size,blue,pink,golfball,size
1749-c,50,size43,size,green,red,chair,size_green
1749-c,62,color31,size,purple,red,stapler,purple
4242-5,9,color21,size,pink,blue,golfball,pink
4242-5,19,size33,size,white,pink,weddingcake,size
4242-5,31,color21,size,purple,red,stapler,purple
4242-5,41,size21,size,green,red,chair,size_green
9973-0,7,color22,size,purple,red,stapler,purple
9973-0,17,color42,size,red,green,chair,red
