Utterance	condition	target	MAP	credHigh	credLow	EmpProportion	EmpYMin	EmpYMax	ModelType
basic	item12	bedsidetable	0.0973995315931842	0.0973995315931842	0.0973995315931842	0.166666666666667	0	0.5	nondet-nocost
basic	item12	blackbear	0.296682898217357	0.296682898217357	0.296682898217357	0.318181818181818	0.136363636363636	0.545454545454545	nondet-nocost
basic	item12	catfish	0.148522946373472	0.148522946373472	0.148522946373472	0.2	0	0.4	nondet-nocost
basic	item12	clownfish	0.324679470482527	0.324679470482527	0.324679470482527	0.5	0.166666666666667	0.833333333333333	nondet-nocost
basic	item12	coffeetable	0.252571912920557	0.252571912920557	0.252571912920557	0.5	0.2	0.8	nondet-nocost
basic	item12	convertible	0.103189849341357	0.103189849341357	0.103189849341357	0.428571428571429	0.142857142857143	0.857142857142857	nondet-nocost
basic	item12	daisy	0.181045597758729	0.181045597758729	0.181045597758729	0	0	0	nondet-nocost
basic	item12	dalmatian	0.125990969522242	0.125990969522242	0.125990969522242	0.125	0	0.375	nondet-nocost
basic	item12	diningtable	0.323479933318415	0.323479933318415	0.323479933318415	1	1	1	nondet-nocost
basic	item12	eagle	0.0836782339360694	0.0836782339360694	0.0836782339360694	0.0666666666666667	0	0.2	nondet-nocost
basic	item12	germanshepherd	0.141592537337189	0.141592537337189	0.141592537337189	0.368421052631579	0.157894736842105	0.578947368421053	nondet-nocost
basic	item12	goldfish	0.254971926038791	0.254971926038791	0.254971926038791	0.222222222222222	0.0555555555555556	0.444444444444444	nondet-nocost
basic	item12	grizzlybear	0.321906552370484	0.321906552370484	0.321906552370484	0.85	0.7	1	nondet-nocost
basic	item12	gummybears	0.111318351730096	0.111318351730096	0.111318351730096	0	0	0	nondet-nocost
basic	item12	hawaiishirt	0.142430278169382	0.142430278169382	0.142430278169382	0.533333333333333	0.266666666666667	0.8	nondet-nocost
basic	item12	hummingbird	0.159742122866198	0.159742122866198	0.159742122866198	0.142857142857143	0	0.357142857142857	nondet-nocost
basic	item12	husky	0.128675365757767	0.128675365757767	0.128675365757767	0.15	0	0.3	nondet-nocost
basic	item12	jellybeans	0.143353338139746	0.143353338139746	0.143353338139746	0.0833333333333333	0	0.25	nondet-nocost
basic	item12	minivan	0.0681262883526209	0.0681262883526209	0.0681262883526209	0.25	0	0.5	nondet-nocost
basic	item12	mnms	0.136269872014597	0.136269872014597	0.136269872014597	0	0	0	nondet-nocost
basic	item12	pandabear	0.165401890066594	0.165401890066594	0.165401890066594	0.0769230769230769	0	0.230769230769231	nondet-nocost
basic	item12	parrot	0.116783776392475	0.116783776392475	0.116783776392475	0.153846153846154	0	0.384615384615385	nondet-nocost
