condition,target,priorWeight,label,prob
item12,clownFish,0.1,type,0.2639
item12,clownFish,0.1,basicLevel,0.4643
item12,clownFish,0.1,superDomain,0.2719
item12,goldFish,0.1,type,0.3176
item12,goldFish,0.1,basicLevel,0.4304
item12,goldFish,0.1,superDomain,0.2520
item12,swordFish,0.1,type,0.3256
item12,swordFish,0.1,basicLevel,0.4254
item12,swordFish,0.1,superDomain,0.2491
item12,catfish,0.1,type,0.3847
item12,catfish,0.1,basicLevel,0.3880
item12,catfish,0.1,superDomain,0.2272
item22,clownFish,0.1,type,0.1802
item22,clownFish,0.1,basicLevel,0.6341
item22,clownFish,0.1,superDomain,0.1857
item22,goldFish,0.1,type,0.2221
item22,goldFish,0.1,basicLevel,0.6018
item22,goldFish,0.1,superDomain,0.1762
item22,swordFish,0.1,type,0.2284
item22,swordFish,0.1,basicLevel,0.5969
item22,swordFish,0.1,superDomain,0.1747
item22,catfish,0.1,type,0.2772
item22,catfish,0.1,basicLevel,0.5591
item22,catfish,0.1,superDomain,0.1637
item23,clownFish,0.1,type,0.1649
item23,clownFish,0.1,basicLevel,0.5803
item23,clownFish,0.1,superDomain,0.2548
item23,goldFish,0.1,type,0.2041
item23,goldFish,0.1,basicLevel,0.5531
item23,goldFish,0.1,superDomain,0.2429
item23,swordFish,0.1,type,0.2101
item23,swordFish,0.1,basicLevel,0.5489
item23,swordFish,0.1,superDomain,0.2410
item23,catfish,0.1,type,0.2562
item23,catfish,0.1,basicLevel,0.5168
item23,catfish,0.1,superDomain,0.2270
item33,clownFish,0.1,type,0.1314
item33,clownFish,0.1,basicLevel,0.4624
item33,clownFish,0.1,superDomain,0.4062
item33,goldFish,0.1,type,0.1642
item33,goldFish,0.1,basicLevel,0.4450
item33,goldFish,0.1,superDomain,0.3908
item33,swordFish,0.1,type,0.1693
item33,swordFish,0.1,basicLevel,0.4423
item33,swordFish,0.1,superDomain,0.3885
item33,catfish,0.1,type,0.2088
item33,catfish,0.1,basicLevel,0.4212
item33,catfish,0.1,superDomain,0.3700
