condition,target,domain,priorWeight,label,prob
item12,blackBear,bear,0.1,type,0.3401
item12,blackBear,bear,0.1,basicLevel,0.3987
item12,blackBear,bear,0.1,superDomain,0.2612
item12,polarBear,bear,0.1,type,0.3444
item12,polarBear,bear,0.1,basicLevel,0.3961
item12,polarBear,bear,0.1,superDomain,0.2595
item12,pandaBear,bear,0.1,type,0.2683
item12,pandaBear,bear,0.1,basicLevel,0.4421
item12,pandaBear,bear,0.1,superDomain,0.2896
item12,grizzlyBear,bear,0.1,type,0.2942
item12,grizzlyBear,bear,0.1,basicLevel,0.4265
item12,grizzlyBear,bear,0.1,superDomain,0.2793
item22,blackBear,bear,0.1,type,0.2431
item22,blackBear,bear,0.1,basicLevel,0.5701
item22,blackBear,bear,0.1,superDomain,0.1867
item22,polarBear,bear,0.1,type,0.2467
item22,polarBear,bear,0.1,basicLevel,0.5675
item22,polarBear,bear,0.1,superDomain,0.1858
item22,pandaBear,bear,0.1,type,0.1861
item22,pandaBear,bear,0.1,basicLevel,0.6131
item22,pandaBear,bear,0.1,superDomain,0.2008
item22,grizzlyBear,bear,0.1,type,0.2063
item22,grizzlyBear,bear,0.1,basicLevel,0.5979
item22,grizzlyBear,bear,0.1,superDomain,0.1958
item23,blackBear,bear,0.1,type,0.2224
item23,blackBear,bear,0.1,basicLevel,0.5215
item23,blackBear,bear,0.1,superDomain,0.2562
item23,polarBear,bear,0.1,type,0.2257
item23,polarBear,bear,0.1,basicLevel,0.5192
item23,polarBear,bear,0.1,superDomain,0.2551
item23,pandaBear,bear,0.1,type,0.1691
item23,pandaBear,bear,0.1,basicLevel,0.5572
item23,pandaBear,bear,0.1,superDomain,0.2737
item23,grizzlyBear,bear,0.1,type,0.1879
item23,grizzlyBear,bear,0.1,basicLevel,0.5446
item23,grizzlyBear,bear,0.1,superDomain,0.2675
item33,blackBear,bear,0.1,type,0.177
item33,blackBear,bear,0.1,basicLevel,0.4151
item33,blackBear,bear,0.1,superDomain,0.4078
item33,polarBear,bear,0.1,type,0.1799
item33,polarBear,bear,0.1,basicLevel,0.4137
item33,polarBear,bear,0.1,superDomain,0.4065
item33,pandaBear,bear,0.1,type,0.1328
item33,pandaBear,bear,0.1,basicLevel,0.4374
item33,pandaBear,bear,0.1,superDomain,0.4298
item33,grizzlyBear,bear,0.1,type,0.1482
item33,grizzlyBear,bear,0.1,basicLevel,0.4297
item33,grizzlyBear,bear,0.1,superDomain,0.4221
item12,eagle,bird,0.1,type,0.4897
item12,eagle,bird,0.1,basicLevel,0.3223
item12,eagle,bird,0.1,superDomain,0.1881
item12,parrot,bird,0.1,type,0.4307
item12,parrot,bird,0.1,basicLevel,0.3595
item12,parrot,bird,0.1,superDomain,0.2098
item12,pigeon,bird,0.1,type,0.4464
item12,pigeon,bird,0.1,basicLevel,0.3496
item12,pigeon,bird,0.1,superDomain,0.204
item12,hummingBird,bird,0.1,type,0.2904
item12,hummingBird,bird,0.1,basicLevel,0.4481
item12,hummingBird,bird,0.1,superDomain,0.2615
item22,eagle,bird,0.1,type,0.3703
item22,eagle,bird,0.1,basicLevel,0.4874
item22,eagle,bird,0.1,superDomain,0.1422
item22,parrot,bird,0.1,type,0.3168
item22,parrot,bird,0.1,basicLevel,0.5289
item22,parrot,bird,0.1,superDomain,0.1543
item22,pigeon,bird,0.1,type,0.3308
item22,pigeon,bird,0.1,basicLevel,0.5181
item22,pigeon,bird,0.1,superDomain,0.1512
item22,hummingBird,bird,0.1,type,0.2005
item22,hummingBird,bird,0.1,basicLevel,0.6189
item22,hummingBird,bird,0.1,superDomain,0.1806
item23,eagle,bird,0.1,type,0.3457
item23,eagle,bird,0.1,basicLevel,0.4551
item23,eagle,bird,0.1,superDomain,0.1992
item23,parrot,bird,0.1,type,0.2941
item23,parrot,bird,0.1,basicLevel,0.491
item23,parrot,bird,0.1,superDomain,0.2149
item23,pigeon,bird,0.1,type,0.3075
item23,pigeon,bird,0.1,basicLevel,0.4817
item23,pigeon,bird,0.1,superDomain,0.2108
item23,hummingBird,bird,0.1,type,0.1839
item23,hummingBird,bird,0.1,basicLevel,0.5676
item23,hummingBird,bird,0.1,superDomain,0.2484
item33,eagle,bird,0.1,type,0.2883
item33,eagle,bird,0.1,basicLevel,0.3795
item33,eagle,bird,0.1,superDomain,0.3322
item33,parrot,bird,0.1,type,0.2421
item33,parrot,bird,0.1,basicLevel,0.4041
item33,parrot,bird,0.1,superDomain,0.3538
