condition,constantLength,t_t_sub,t_d1_sub,t_d2_sub,t_t_basic,t_d1_basic,t_d2_basic,t_t_super,t_d1_super,t_d2_super,freq_sub,freq_sub_label,freq_basic,freq_basic_label,freq_super,freq_super_label,p_s_sub,p_s_basic,p_s_super
item23,7.029412,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,1.59E-010,LOW,0.000309774,HIGH,0.8308099213,0.1661060163,0.0030840625
item33,7.029412,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,1.59E-010,LOW,0.000309774,HIGH,0.801154556,0.1676073553,0.0312380886
item12,7.029412,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,0.0000221,MED,0.0000221,MED,0.9749044811,0.0248473356,0.0002481833
item22,7.029412,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,0.0000221,MED,0.0000221,MED,0.8393346342,0.1605379377,0.0001274281
item23,7.029412,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,0.0000221,MED,0.0000221,MED,0.8326780823,0.1664795226,0.000842395
item33,7.029412,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,0.0000221,MED,0.0000221,MED,0.8197839129,0.1715047522,0.0087113349
item12,7.029412,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,0.000309774,HIGH,0.000309774,HIGH,,,
item22,7.029412,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,0.000309774,HIGH,0.000309774,HIGH,,,
item23,7.029412,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,0.000309774,HIGH,0.000309774,HIGH,,,
item33,7.029412,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,0.000309774,HIGH,0.000309774,HIGH,,,
item12,7.029412,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,0.0000221,MED,1.59E-010,LOW,0.931063717,0.0686992603,0.0002370227
item22,7.029412,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,0.0000221,MED,1.59E-010,LOW,0.6435499113,0.3563523847,0.000097704
item23,7.029412,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,0.0000221,MED,1.59E-010,LOW,0.6329814675,0.3663781644,0.0006403681
item33,7.029412,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,0.0000221,MED,1.59E-010,LOW,0.6187007573,0.3747246937,0.006574549
item12,7.029412,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,0.000309774,HIGH,1.59E-010,LOW,0.9142658789,0.0855013747,0.0002327464
item22,7.029412,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,0.000309774,HIGH,1.59E-010,LOW,0.5875540048,0.4123567926,8.9202642993547E-005
item23,7.029412,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,0.000309774,HIGH,1.59E-010,LOW,0.576493871,0.4229229077,0.0005832213
item33,7.029412,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,0.000309774,HIGH,1.59E-010,LOW,0.56234433,0.4316799858,0.0059756842
item12,7.029412,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,0.0000221,MED,0.000309774,HIGH,0.974259059,0.0248308858,0.0009100552
item22,7.029412,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,0.0000221,MED,0.000309774,HIGH,0.8390492372,0.1604833504,0.0004674124
item23,7.029412,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,0.0000221,MED,0.000309774,HIGH,0.8308099213,0.1661060163,0.0030840625
item33,7.029412,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,0.0000221,MED,0.000309774,HIGH,0.801154556,0.1676073553,0.0312380886
item12,7.029412,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,0.000309774,HIGH,0.000309774,HIGH,0.0000221,MED,0.9142658789,0.0855013747,0.0002327464
item22,7.029412,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,0.000309774,HIGH,0.000309774,HIGH,0.0000221,MED,0.5875540048,0.4123567926,8.9202642993547E-005
item23,7.029412,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,0.000309774,HIGH,0.000309774,HIGH,0.0000221,MED,0.576493871,0.4229229077,0.0005832213
item33,7.029412,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,0.000309774,HIGH,0.000309774,HIGH,0.0000221,MED,0.56234433,0.4316799858,0.0059756842
