t_sub_t,t_sub_d1,t_sub_d2,relation_t_to_d,p_l_sub_t,p_l_sub_d1,p_l_sub_d2,p_s_sub,p_s_basic,p_s_super
1,0.01,0.01,100,0.98,0.01,0.01,1,0,0
1,0.2,0.2,5,0.71,0.14,0.14,0.9,0.1,0
1,0.4,0.4,2.5,0.55,0.22,0.22,0.39,0.6,0.01
1,0.6,0.6,1.66,0.45,0.27,0.27,0.07,0.92,0.01
1,0.8,0.8,1.25,0.38,0.31,0.31,0.01,0.98,0.01
1,1,1,1,0.33,0.33,0.33,0,0.99,0.01
0.8,0.01,0.01,80,0.98,0.01,0.01,0.99,0,0
0.8,0.2,0.2,4,0.67,0.17,0.17,0.82,0.18,0
0.8,0.4,0.4,2,0.5,0.25,0.25,0.17,0.82,0.01
0.8,0.6,0.6,1.33,0.4,0.3,0.3,0.02,0.97,0.01
0.8,0.8,0.8,1,0.33,0.33,0.33,0,0.99,0.01
0.8,1,1,0.8,0.29,0.36,0.36,0,0.99,0.01
0.6,0.01,0.01,60,0.97,0.02,0.02,0.99,0,0
0.6,0.2,0.2,3,0.6,0.2,0.2,0.59,0.4,0
0.6,0.4,0.4,1.5,0.43,0.29,0.29,0.04,0.95,0.01
0.6,0.6,0.6,1,0.33,0.33,0.33,0,0.99,0.01
0.6,0.8,0.8,0.75,0.27,0.36,0.36,0,0.99,0.01
0.6,1,1,0.6,0.23,0.38,0.38,0,0.99,0.01
0.4,0.01,0.01,40,0.95,0.02,0.02,0.99,0,0
0.4,0.2,0.2,2,0.5,0.25,0.25,0.17,0.82,0.01
0.4,0.4,0.4,1,0.33,0.33,0.33,0,0.99,0.01
0.4,0.6,0.6,0.66,0.25,0.37,0.37,0,0.99,0.01
0.4,0.8,0.8,0.5,0.2,0.4,0.4,0,0.99,0.01
0.4,1,1,0.4,0.17,0.42,0.42,0,0.99,0.01
0.2,0.01,0.01,20,0.91,0.05,0.05,0.99,0.01,0
0.2,0.2,0.2,1,0.33,0.33,0.33,0,0.99,0.01
0.2,0.4,0.4,0.5,0.2,0.4,0.4,0,0.99,0.01
0.2,0.6,0.6,0.33,0.14,0.43,0.43,0,0.99,0.01
0.2,0.8,0.8,0.25,0.11,0.44,0.44,0,0.99,0.01
0.2,1,1,0.2,0.09,0.45,0.45,0,0.99,0.01
0.01,0.01,0.01,1,0.33,0.33,0.33,0,0.99,0.01
0.01,0.2,0.2,0.05,0.02,0.49,0.49,0,0.99,0.01
0.01,0.4,0.4,0.025,0.01,0.49,0.49,0,0.99,0.01
0.01,0.6,0.6,0.017,0.01,0.5,0.5,0,0.99,0.01
0.01,0.8,0.8,0.013,0.01,0.5,0.5,0,0.99,0.01
0.01,1,1,0.01,0,0.5,0.5,0,0.99,0.01
