noun,SUM_match_frequency,relFreq,total_counts
bla1,39951249,0.000117655,340000000000
bla2,49602,0.000000146,340000000000
bla3,39951249,0.000117655,340000000000
bla4,49602,0.000000146,340000000000
blahblahblah1,39951249,0.000117655,340000000000
blahblahblah2,49602,0.000000146,340000000000
blahblahblah3,39951249,0.000117655,340000000000
blahblahblah4,49602,0.000000146,340000000000
zap1,39951249,0.000117655,340000000000
zap2,49602,0.000000146,340000000000
zap3,39951249,0.000117655,340000000000
zap4,49602,0.000000146,340000000000
zappadhizapp1,39951249,0.000117655,340000000000
zappadhizapp2,49602,0.000000146,340000000000
zappadhizapp3,39951249,0.000117655,340000000000
zappadhizapp4,49602,0.000000146,340000000000
wup1,39951249,0.000117655,340000000000
wup2,49602,0.000000146,340000000000
wup3,39951249,0.000117655,340000000000
wup4,49602,0.000000146,340000000000
wuppdeehwupp1,39951249,0.000117655,340000000000
wuppdeehwupp2,49602,0.000000146,340000000000
wuppdeehwupp3,39951249,0.000117655,340000000000
wuppdeehwupp4,49602,0.000000146,340000000000
