"","gameid","time","roundNum","trialType","context","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","colorMentioned","typeMentioned","clickedType","clickedColor","NormedTypicality","binaryTypicality","ColorMentioned","CleanedResponse","ItemMentioned","CatMentioned","UtteranceType","Color","ColorAndType","Type","ColorAndCat","Cat","Other","Item","Half","firstTrial1","firstTrial2","firstTrial3","firstTrial4"
"1","1267-7",1479309523704,1,"tomato","informative","tomato_red","target",2,4,"pear_yellow","distractor",3,3,"tomato_pink","distractor",4,2,8,3,5,"APPLE___tomato___red","yo___what's the target?___there are no apples___there are two tomatoes and a pear___gotcha","1479309499105___1479309506026___1479309506534___1479309512697___1479309516595___1479309516744___1479309520251___1479309523053","APPLE","False","False","tomato","red",0.92962962962963,"typical",FALSE,"apple",TRUE,FALSE,"type",0,0,1,0,0,0,"tomato",1,TRUE,FALSE,FALSE,FALSE
"2","1267-7",1479309535670,2,"banana","overinformative","banana_blue","target",4,3,"pear_green","distractor",3,2,"avocado_black","distractor",2,4,1,1,0,"blue bananna","","1479309533746","blue bananna","True","False","banana","blue",0.0219230769230769,"atypical",TRUE,"blue banana",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"banana",1,FALSE,FALSE,FALSE,FALSE
"3","1267-7",1479309542351,3,"carrot","overinformative","carrot_purple","target",4,2,"banana_blue","distractor",2,3,"tomato_pink","distractor",3,4,1,1,0,"purple carrot","","1479309540960","purple carrot","True","True","carrot","purple",0.08,"atypical",TRUE,"purple carrot",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"carrot",1,FALSE,FALSE,FALSE,FALSE
"4","1267-7",1479309553619,4,"avocado","informative","avocado_green","target",3,3,"avocado_black","distractor",2,2,"pear_orange","distractor",4,4,2,1,1,"green veg","avocado! heck yeah","1479309546800___1479309552689","green veg","True","False","avocado","green",0.863076923076923,"typical",TRUE,"green veg",FALSE,TRUE,"color_and_cat",0,0,0,1,0,0,"avocado",1,FALSE,FALSE,FALSE,FALSE
"5","1267-7",1479309560518,5,"banana","overinformative","banana_brown","target",4,4,"avocado_black","distractor",3,3,"tomato_red","distractor",2,2,1,1,0,"brown banana","","1479309559237","brown banana","True","True","banana","brown",0.2796,"atypical",TRUE,"brown bananaa",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"banana",1,FALSE,FALSE,FALSE,FALSE
"6","1267-7",1479309566232,6,"pear","overinformative","pear_orange","target",3,4,"apple_green","distractor",4,2,"tomato_pink","distractor",2,3,1,1,0,"orange pear","","1479309564751","orange pear","True","True","pear","orange",0.193103448275862,"atypical",TRUE,"orange pear",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"pear",1,FALSE,FALSE,FALSE,FALSE
"7","1267-7",1479309570934,7,"apple","overinformative","apple_blue","target",2,2,"tomato_green","distractor",4,4,"banana_brown","distractor",3,3,1,1,0,"blue apple","","1479309569909","blue apple","True","True","apple","blue",0.0285185185185185,"atypical",TRUE,"blue apple",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"apple",1,FALSE,FALSE,FALSE,FALSE
"8","1267-7",1479309580951,8,"avocado","overinformative-cc","avocado_red","target",4,4,"tomato_pink","distractor",2,2,"cup_red","distractor",3,3,1,1,0,"red avacado","","1479309579277","red avacado","True","False","avocado","red",0.33037037037037,"atypical",TRUE,"red avocado",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"avocado",1,FALSE,FALSE,FALSE,FALSE
"9","1267-7",1479309587519,9,"pear","overinformative-cc","pear_yellow","target",3,4,"apple_blue","distractor",2,2,"cup_yellow","distractor",4,3,1,1,0,"yellow pear","","1479309586101","yellow pear","True","True","pear","yellow",0.766923076923077,"typical",TRUE,"yellow pear",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"pear",1,FALSE,FALSE,FALSE,FALSE
"10","1267-7",1479309592388,10,"banana","overinformative","banana_yellow","target",4,3,"pear_green","distractor",3,2,"pear_orange","distractor",2,4,1,1,0,"yellow banana","","1479309591388","yellow banana","True","True","banana","yellow",0.961481481481481,"typical",TRUE,"yellow bananaa",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"banana",1,FALSE,FALSE,FALSE,FALSE
"11","1267-7",1479309597091,11,"tomato","overinformative","tomato_green","target",3,2,"carrot_orange","distractor",4,3,"banana_brown","distractor",2,4,1,1,0,"green apple","","1479309595950","green apple","True","False","tomato","green",0.513571428571429,"typical",TRUE,"green apple",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"tomato",1,TRUE,FALSE,FALSE,FALSE
"12","1267-7",1479309604309,12,"avocado","overinformative","avocado_green","target",3,4,"tomato_pink","distractor",2,3,"pear_yellow","distractor",4,2,1,1,0,"green avacado","","1479309603242","green avacado","True","False","avocado","green",0.863076923076923,"typical",TRUE,"green avocado",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"avocado",1,FALSE,FALSE,FALSE,FALSE
"13","1267-7",1479309610576,13,"tomato","overinformative-cc","tomato_red","target",4,2,"cup_red","distractor",3,3,"carrot_orange","distractor",2,4,1,1,0,"red tomato","","1479309608995","red tomato","True","True","tomato","red",0.92962962962963,"typical",TRUE,"red tomato",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"tomato",1,TRUE,FALSE,FALSE,FALSE
"14","1267-7",1479309619179,14,"tomato","informative","tomato_green","target",4,2,"banana_blue","distractor",3,3,"tomato_red","distractor",2,4,1,1,0,"green tomato","","1479309617405","green tomato","True","True","tomato","green",0.513571428571429,"typical",TRUE,"green tomato",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"tomato",1,TRUE,FALSE,FALSE,FALSE
"15","1267-7",1479309625098,15,"avocado","overinformative","avocado_red","target",2,2,"pear_orange","distractor",4,4,"banana_blue","distractor",3,3,1,1,0,"red avacado","","1479309624057","red avacado","True","False","avocado","red",0.33037037037037,"atypical",TRUE,"red avocado",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"avocado",1,FALSE,FALSE,FALSE,FALSE
"16","1267-7",1479309630658,16,"carrot","overinformative","carrot_pink","target",4,3,"pear_yellow","distractor",2,2,"tomato_red","distractor",3,4,1,1,0,"purple carrot","","1479309629663","purple carrot","False","True","carrot","pink",0.0828571428571429,"atypical",TRUE,"purple carrot",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"carrot",1,FALSE,FALSE,FALSE,FALSE
"17","1267-7",1479309636588,17,"avocado","overinformative-cc","avocado_black","target",4,2,"cup_black","distractor",2,3,"tomato_red","distractor",3,4,1,1,0,"black avacado","","1479309635593","black avacado","True","False","avocado","black",0.556666666666667,"typical",TRUE,"black avocado",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"avocado",1,FALSE,FALSE,FALSE,FALSE
"18","1267-7",1479309642297,18,"avocado","overinformative-cc","avocado_green","target",3,2,"pear_yellow","distractor",2,3,"cup_green","distractor",4,4,1,1,0,"green avacado","","1479309641302","green avacado","True","False","avocado","green",0.863076923076923,"typical",TRUE,"green avocado",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"avocado",1,FALSE,FALSE,FALSE,FALSE
"19","1267-7",1479309648121,19,"apple","informative","apple_blue","target",2,3,"carrot_purple","distractor",4,2,"apple_red","distractor",3,4,1,1,0,"blue apple","","1479309647065","blue apple","True","True","apple","blue",0.0285185185185185,"atypical",TRUE,"blue apple",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"apple",1,FALSE,FALSE,FALSE,FALSE
"20","1267-7",1479309653295,20,"apple","overinformative","apple_green","target",3,4,"tomato_pink","distractor",4,3,"banana_yellow","distractor",2,2,1,1,0,"green apple","","1479309651890","green apple","True","True","apple","green",0.8672,"typical",TRUE,"green apple",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"apple",1,FALSE,FALSE,FALSE,FALSE
"21","1267-7",1479309659183,21,"carrot","overinformative-cc","carrot_purple","target",3,3,"cup_purple","distractor",2,4,"apple_red","distractor",4,2,1,1,0,"purple carrot","","1479309658163","purple carrot","True","True","carrot","purple",0.08,"atypical",TRUE,"purple carrot",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"carrot",1,FALSE,FALSE,FALSE,FALSE
"22","1267-7",1479309663880,22,"banana","informative","banana_brown","target",2,3,"banana_blue","distractor",4,4,"carrot_purple","distractor",3,2,1,1,0,"brown banana","","1479309662889","brown banana","True","True","banana","brown",0.2796,"atypical",TRUE,"brown bananaa",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"banana",1,FALSE,FALSE,FALSE,FALSE
"23","1267-7",1479309670190,23,"carrot","informative","carrot_purple","target",4,2,"apple_green","distractor",2,4,"carrot_orange","distractor",3,3,1,1,0,"purple carrot","","1479309669014","purple carrot","True","True","carrot","purple",0.08,"atypical",TRUE,"purple carrot",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"carrot",1,FALSE,FALSE,FALSE,FALSE
"24","1267-7",1479309675031,24,"apple","overinformative-cc","apple_blue","target",4,2,"cup_blue","distractor",3,4,"tomato_red","distractor",2,3,1,1,0,"blue apple","","1479309673990","blue apple","True","True","apple","blue",0.0285185185185185,"atypical",TRUE,"blue apple",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"apple",1,FALSE,FALSE,FALSE,FALSE
"25","1267-7",1479309680151,25,"tomato","overinformative-cc","tomato_green","target",2,4,"cup_green","distractor",4,2,"avocado_black","distractor",3,3,1,1,0,"green apple","","1479309678569","green apple","True","False","tomato","green",0.513571428571429,"typical",TRUE,"green apple",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"tomato",1,TRUE,FALSE,FALSE,FALSE
"26","1267-7",1479309684759,26,"tomato","overinformative","tomato_red","target",2,2,"pear_green","distractor",4,4,"banana_yellow","distractor",3,3,1,1,0,"red tomato","","1479309683721","red tomato","True","True","tomato","red",0.92962962962963,"typical",TRUE,"red tomato",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"tomato",1,TRUE,FALSE,FALSE,FALSE
