BDAFullColor,BDASize,condition,OtherColor,Item
purple,size,color41,green,bracelet
red,size,color32,purple,yarn
yellow,size,color44,pink,balloon
pink,size,size31,white,weddingcake
white,size,color43,pink,phone
blue,size,size32,black,comb
purple,size,size21,red,flower
green,size,color41,black,avocado
purple,size,size42,green,bracelet
orange,size,color43,blue,cushion
black,size,color42,blue,book
yellow,size,color32,white,shoe
blue,size,size44,green,guitar
brown,size,size43,black,belt
yellow,size,size33,pink,balloon
blue,size,color21,red,toothbrush
green,size,size44,blue,binder
red,size,color32,purple,stapler
green,size,size42,blue,guitar
blue,size,color21,purple,ornament
blue,size,color43,red,tack
blue,size,color41,red,candle
blue,size,color32,purple,rug
blue,size,color21,orange,cap
yellow,size,size21,orange,napkin
white,size,color41,pink,phone
purple,size,size32,red,flower
purple,size,size33,green,rock
red,size,color44,purple,bike
green,size,color32,pink,framee
purple,size,size33,blue,butterfly
purple,size,size22,blue,rug
blue,size,size33,red,candle
pink,size,size44,purple,hairdryer
brown,size,size31,black,turtle
blue,size,size32,pink,golfball
yellow,size,size43,white,shoe
purple,size,size31,red,stapler
green,size,color32,purple,bracelet
orange,size,size41,yellow,napkin
orange,size,size44,blue,cap
white,size,color43,pink,weddingcake
blue,size,size33,pink,golfball
black,size,size21,brown,belt
blue,size,color31,black,comb
red,size,size43,green,chair
white,size,color32,yellow,shoe
brown,size,size31,green,jacket
red,size,color33,purple,flower
green,size,color42,blue,binder
purple,size,size32,blue,rug
red,size,color43,pink,bucket
orange,size,size42,blue,cushion
pink,size,color44,white,weddingcake
pink,size,color22,green,framee
pink,size,size44,green,framee
white,size,color31,pink,phone
purple,size,color42,orange,coathanger
purple,size,size42,red,yarn
green,size,color22,black,avocado
brown,size,size42,black,belt
pink,size,size33,white,phone
red,size,size44,purple,yarn
orange,size,color31,yellow,napkin
white,size,size42,pink,phone
red,size,size21,blue,toothbrush
brown,size,color31,black,turtle
black,size,size41,blue,book
green,size,size44,pink,framee
black,size,size43,blue,comb
purple,size,size41,blue,ornament
pink,size,color43,red,bucket
