gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj,correct, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs ,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,superclassMentioned,utteranceContracted,oneOrThingOrObjectMentioned,TheMentioned,clickedType,clickedSize,clickedColor,colorPrenominal,sizePrenominal,notes
3075-1,1.44769E+12,1,filler,hotdog,target,1,1,1,clarinet,distractor,2,2,trumpet,distractor,3,3,1,1,0,food,,1.44769E+12,food,FALSE,FALSE,FALSE,,TRUE,,,,hotdog,NA,NA,,,
3075-1,1.44769E+12,2,filler,cactus,target,1,3,3,strawberry,distractor,2,1,zucchini,distractor,1,2,1,1,0,prickly,,1.44769E+12,prickly,FALSE,FALSE,FALSE,TRUE,,,,,cactus,NA,NA,,,
3075-1,1.44769E+12,3,filler,football,target,1,3,2,trumpet,distractor,2,3,strawberry,distractor,1,1,1,1,0,inflated,,1.44769E+12,inflated,FALSE,FALSE,FALSE,TRUE,,,,,football,NA,NA,,,
3075-1,1.44769E+12,4,colorAndSize,big_black_book,target,1,2,2,small_blue_book,distractor,1,3,small_blue_book,distractor,3,1,1,1,0,black,,1.44769E+12,black,FALSE,TRUE,FALSE,,,,,,book,big,black,,,
3075-1,1.44769E+12,5,sizeOnly,small_black_turtle,target,1,2,1,big_black_turtle,distractor,3,2,big_brown_turtle,distractor,1,3,1,1,0,smallest,,1.44769E+12,smallest,TRUE,FALSE,FALSE,,,,,,turtle,small,black,,,
3075-1,1.44769E+12,6,filler,motorcycle,target,1,2,2,snowflake,distractor,1,3,snake,distractor,3,1,1,1,0,transportation,,1.44769E+12,transportation,FALSE,FALSE,FALSE,,TRUE,,,,motorcycle,NA,NA,,,
3075-1,1.44769E+12,7,filler,eggplant,target,1,3,1,elephant,distractor,2,3,grapefruit,distractor,1,2,1,1,0,black,,1.44769E+12,black,FALSE,TRUE,FALSE,,,,,,eggplant,NA,NA,,,
3075-1,1.44769E+12,8,filler,clarinet,target,1,2,2,gloves,distractor,1,3,car,distractor,3,1,2,2,0,instrument___music,,1447690326070___1447690341757,instrument,FALSE,FALSE,FALSE,,TRUE,,,,clarinet,NA,NA,,,
3075-1,1.44769E+12,9,colorAndSize,big_orange_napkin,target,1,2,3,small_yellow_napkin,distractor,3,2,small_yellow_napkin,distractor,1,1,1,1,0,orange,,1.44769E+12,orange,FALSE,TRUE,FALSE,,,,,,napkin,big,orange,,,
3075-1,1.44769E+12,10,filler,strawberry,target,1,2,2,elephant,distractor,3,3,television,distractor,1,1,1,1,0,fruit,,1.44769E+12,fruit,FALSE,FALSE,FALSE,,TRUE,,,,strawberry,NA,NA,,,
3075-1,1.44769E+12,11,colorAndSize,big_red_yarn,target,1,2,1,small_purple_yarn,distractor,3,3,small_purple_yarn,distractor,1,2,1,1,0,red,,1.44769E+12,red,FALSE,TRUE,FALSE,,,,,,yarn,big,red,,,
