gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj,correct, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs ,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,superclassMentioned,utteranceContracted,oneOrThingOrObjectMentioned,TheMentioned,clickedType,clickedSize,clickedColor,colorPrenominal,sizePrenominal,notes
6346-e,1.44796E+12,1,colorAndSize,small_green_jacket,target,1,1,3,big_brown_jacket,distractor,3,2,big_brown_jacket,distractor,2,1,1,1,0,the green one,,1.44796E+12,the green one,FALSE,TRUE,FALSE,,,,TRUE,TRUE,jacket,small,green,,,
6346-e,1.44796E+12,2,sizeOnly,big_blue_butterfly,target,1,3,3,small_blue_butterfly,distractor,2,2,small_purple_butterfly,distractor,1,1,1,1,0,blue butterfly,,,blue butterfly,FALSE,TRUE,TRUE,,,,,,butterfly,big,blue,,,
6346-e,1.44796E+12,3,colorAndSize,big_red_candle,target,1,3,3,small_blue_candle,distractor,1,2,small_blue_candle,distractor,2,1,1,1,0,pink candle,,1.44796E+12,pink candle,FALSE,TRUE,TRUE,,,,,,candle,big,red,,,
6346-e,1.44796E+12,4,colorAndSize,big_blue_tack,target,1,2,2,small_red_tack,distractor,3,3,small_red_tack,distractor,1,1,1,1,0,blue pin,,1.44796E+12,blue pin,FALSE,TRUE,TRUE,,,,,,tack,big,blue,,,
6346-e,1.44796E+12,5,filler,camera,target,1,1,3,tennisball,distractor,2,2,coconut,distractor,3,1,1,1,0,camera,,1.44796E+12,camera,FALSE,FALSE,TRUE,,,,,,camera,NA,NA,,,
6346-e,1.44796E+12,6,filler,teddybear,target,1,1,2,mailbox,distractor,3,1,clarinet,distractor,2,3,1,1,0,stuffed animal,,1.44796E+12,stuffed animal,FALSE,FALSE,FALSE,,TRUE,,,,teddybear,NA,NA,,,
6346-e,1.44796E+12,7,sizeOnly,big_yellow_balloon,target,1,3,2,small_pink_balloon,distractor,2,3,small_yellow_balloon,distractor,1,1,1,1,0,larger yellow balloon,,1.44796E+12,larger yellow balloon,TRUE,TRUE,TRUE,,,,,,balloon,big,yellow,,,
6346-e,1.44796E+12,8,filler,banana,target,1,1,1,rubberduck,distractor,3,2,tooth,distractor,2,3,1,1,0,banana,,1.44796E+12,banana,FALSE,FALSE,TRUE,,,,,,banana,NA,NA,,,
6346-e,1.44796E+12,9,colorOnly,small_black_comb,target,1,1,3,big_blue_comb,distractor,3,2,small_blue_comb,distractor,2,1,1,1,0,black comb,,1.44796E+12,black comb,FALSE,TRUE,TRUE,,,,,,comb,small,black,,,
6346-e,1.44796E+12,10,filler,kiwi,target,1,2,3,sheep,distractor,3,2,tomato,distractor,1,1,1,1,0,kiwi,,1.44796E+12,kiwi,FALSE,FALSE,TRUE,,,,,,kiwi,NA,NA,,,
6346-e,1.44796E+12,11,filler,dresser,target,1,1,3,flamingo,distractor,2,1,car,distractor,3,2,1,1,0,wooden drawers,,1.44796E+12,wooden drawers,FALSE,FALSE,FALSE,TRUE,,,,,dresser,NA,NA,,,
6346-e,1.44796E+12,12,filler,lemon,target,1,2,1,feather,distractor,1,3,sheep,distractor,3,2,1,1,0,lemon,,1.44796E+12,lemon,FALSE,FALSE,TRUE,,,,,,lemon,NA,NA,,,
6346-e,1.44796E+12,13,filler,rhinoceros,target,1,3,3,ketchup,distractor,1,2,snake,distractor,2,1,1,1,0,rhino,,1.44796E+12,rhino,FALSE,FALSE,TRUE,,,TRUE,,,rhinoceros,NA,NA,,,
6346-e,1.44796E+12,14,filler,violin,target,1,2,1,chick,distractor,1,2,watermelon,distractor,3,3,1,1,0,musical instrument,,1.44796E+12,musical instrument,FALSE,FALSE,FALSE,,TRUE,,,,violin,NA,NA,,,
6346-e,1.44796E+12,15,filler,toilet,target,1,1,3,snake,distractor,3,1,eggplant,distractor,2,2,1,1,0,toilet,,1.44796E+12,toilet,FALSE,FALSE,TRUE,,,,,,toilet,NA,NA,,,
6346-e,1.44796E+12,16,filler,football,target,1,2,1,santahat,distractor,1,2,binoculars,distractor,3,3,1,1,0,football,,1.44796E+12,football,FALSE,FALSE,TRUE,,,,,,football,NA,NA,,,
6346-e,1.44796E+12,17,filler,bear,target,1,2,1,football,distractor,1,3,lime,distractor,3,2,1,1,0,bear,,1.44796E+12,bear,FALSE,FALSE,TRUE,,,,,,bear,NA,NA,,,
6346-e,1.44796E+12,18,filler,rhinoceros,target,1,3,1,iguana,distractor,2,3,dresser,distractor,1,2,1,1,0,rhino,,1.44796E+12,rhino,FALSE,FALSE,TRUE,,,TRUE,,,rhinoceros,NA,NA,,,
6346-e,1.44796E+12,19,sizeOnly,small_yellow_shoe,target,1,2,2,big_white_shoe,distractor,3,3,big_yellow_shoe,distractor,1,1,1,1,0,smaller yellow shoe,,1.44796E+12,smaller yellow shoe,TRUE,TRUE,TRUE,,,,,,shoe,small,yellow,,,
6346-e,1.44796E+12,20,filler,banana,target,1,3,3,kiwi,distractor,1,1,horse,distractor,2,2,1,1,0,banana,,1.44796E+12,banana,FALSE,FALSE,TRUE,,,,,,banana,NA,NA,,,
6346-e,1.44796E+12,21,filler,carrot,target,1,2,1,tomato,distractor,1,2,lobster,distractor,3,3,1,1,0,carrot,,1.44796E+12,carrot,FALSE,FALSE,TRUE,,,,,,carrot,NA,NA,,,
6346-e,1.44796E+12,22,filler,tooth,target,1,1,3,kiwi,distractor,2,1,feather,distractor,3,2,1,1,0,tooth,,1.44796E+12,tooth,FALSE,FALSE,TRUE,,,,,,tooth,NA,NA,,,
6346-e,1.44796E+12,23,filler,snake,target,1,3,1,lobster,distractor,1,2,tooth,distractor,2,3,1,1,0,snake,,1.44796E+12,snake,FALSE,FALSE,TRUE,,,,,,snake,NA,NA,,,
6346-e,1.44796E+12,24,colorAndSize,small_blue_golfball,target,1,1,2,big_pink_golfball,distractor,2,1,big_pink_golfball,distractor,3,3,1,1,0,blue one,,1.44796E+12,blue one,FALSE,TRUE,FALSE,,,,TRUE,,golfball,small,blue,,,
6346-e,1.44796E+12,25,colorAndSize,small_purple_stapler,target,1,2,3,big_red_stapler,distractor,1,2,big_red_stapler,distractor,3,1,1,1,0,purple stapler,,1.44796E+12,purple stapler,FALSE,TRUE,TRUE,,,,,,stapler,small,purple,,,
6346-e,1.44796E+12,26,filler,zucchini,target,1,2,3,flamingo,distractor,3,1,feather,distractor,1,2,1,1,0,green,,1.44796E+12,green,FALSE,TRUE,FALSE,,,,,,zucchini,NA,NA,,,
6346-e,1.44796E+12,27,filler,eggplant,target,1,3,3,chick,distractor,1,2,elephant,distractor,2,1,1,1,0,eggplant,,1.44796E+12,eggplant,FALSE,FALSE,TRUE,,,,,,eggplant,NA,NA,,,
6346-e,1.44796E+12,28,filler,egg,target,1,3,3,snake,distractor,2,1,sheep,distractor,1,2,1,1,0,egg,,1.44796E+12,egg,FALSE,FALSE,TRUE,,,,,,egg,NA,NA,,,
6346-e,1.44796E+12,29,filler,eggplant,target,1,1,3,tire,distractor,3,1,egg,distractor,2,2,1,1,0,eggplant,,1.44796E+12,eggplant,FALSE,FALSE,TRUE,,,,,,eggplant,NA,NA,,,
6346-e,1.44796E+12,30,colorAndSize,big_blue_toothbrush,target,1,3,1,small_red_toothbrush,distractor,2,2,small_red_toothbrush,distractor,1,3,1,1,0,blue toothbrush,,1.44796E+12,blue toothbrush,FALSE,TRUE,TRUE,,,,,,toothbrush,big,blue,,,
6346-e,1.44796E+12,31,colorOnly,big_orange_napkin,target,1,1,2,small_yellow_napkin,distractor,3,3,big_yellow_napkin,distractor,2,1,1,1,0,orange,,1.44796E+12,orange,FALSE,TRUE,FALSE,,,,,,napkin,big,orange,,,
6346-e,1.44796E+12,32,filler,broccoli,target,1,3,3,tophat,distractor,1,2,car,distractor,2,1,1,1,0,broccoli,,1.44796E+12,broccoli,FALSE,FALSE,TRUE,,,,,,broccoli,NA,NA,,,
