gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj,correct, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs ,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,superClassMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
1382-f,1.44743E+12,11,filler,chick,target,1,2,2,firetruck,distractor,1,3,snake,distractor,3,1,1,1,0,chick,,1.44743E+12,chick,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,chick, , ,,,,
1382-f,1.44743E+12,12,sizeOnly,small_blue_toothbrush,target,1,2,2,big_red_toothbrush,distractor,3,1,big_blue_toothbrush,distractor,1,3,1,1,0,small blue,,1.44743E+12,small blue,TRUE,TRUE,FALSE,FALSE,,, FALSE, FALSE,toothbrush,small,blue,,,,
1382-f,1.44743E+12,13,filler,sheep,target,1,1,2,cactus,distractor,3,1,garbagecan,distractor,2,3,1,1,0,white,,1.44743E+12,white,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,sheep, , ,,,,
1382-f,1.44743E+12,14,colorAndSize,small_red_pepper,target,1,2,1,big_green_pepper,distractor,1,3,big_green_pepper,distractor,3,2,1,1,0,red,,1.44743E+12,red,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,pepper,small,red,,,,
1382-f,1.44743E+12,15,colorOnly,small_blue_candle,target,1,3,1,small_red_candle,distractor,2,2,big_red_candle,distractor,1,3,1,1,0,purple,,1.44743E+12,purple,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,candle,small,blue,,,,
1382-f,1.44743E+12,16,filler,cactus,target,1,2,2,garlic,distractor,1,3,basketball,distractor,3,1,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,cactus, , ,,,,
1382-f,1.44743E+12,17,colorOnly,small_yellow_napkin,target,1,1,3,small_orange_napkin,distractor,2,2,big_orange_napkin,distractor,3,1,1,1,0,yellow,,1.44743E+12,yellow,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,napkin,small,yellow,,,,
1382-f,1.44743E+12,18,filler,snake,target,1,2,3,zucchini,distractor,1,2,penguin,distractor,3,1,1,1,0,snake,,1.44743E+12,snake,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,snake, , ,,,,
1382-f,1.44743E+12,19,colorOnly,big_orange_cushion,target,1,2,1,small_blue_cushion,distractor,3,3,big_blue_cushion,distractor,1,2,1,1,0,orange,,1.44743E+12,orange,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,cushion,big,orange,,,,
1382-f,1.44743E+12,20,colorAndSize,big_pink_weddingcake,target,1,2,3,small_white_weddingcake,distractor,3,1,small_white_weddingcake,distractor,1,2,1,1,0,pink,,1.44743E+12,pink,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,weddingcake,big,pink,,,,
1382-f,1.44743E+12,21,colorOnly,small_green_jacket,target,1,3,2,big_brown_jacket,distractor,1,1,small_brown_jacket,distractor,2,3,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,jacket,small,green,,,,
1382-f,1.44743E+12,22,filler,bulldozer,target,1,2,2,clarinet,distractor,3,1,lion,distractor,1,3,1,1,0,yellow,,1.44743E+12,yellow,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,bulldozer, , ,,,,
1382-f,1.44743E+12,23,filler,cherries,target,1,3,2,binoculars,distractor,2,3,coconut,distractor,1,1,1,1,0,red,,1.44743E+12,red,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,cherries, , ,,,,
1382-f,1.44743E+12,24,colorOnly,big_black_avocado,target,1,2,1,small_green_avocado,distractor,1,2,big_green_avocado,distractor,3,3,1,1,0,black,,1.44743E+12,black,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,avocado,big,black,,,,
1382-f,1.44743E+12,25,filler,fox,target,1,1,3,cactus,distractor,2,2,fireextinguisher,distractor,3,1,1,1,0,fox,,1.44743E+12,fox,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,fox, , ,,,,
1382-f,1.44743E+12,26,filler,hotdog,target,1,1,2,basketball,distractor,3,1,kitten,distractor,2,3,1,1,0,hot dog,,1.44743E+12,hot dog,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,hotdog, , ,,,,
1382-f,1.44743E+12,27,filler,eggplant,target,1,2,1,snake,distractor,3,3,elephant,distractor,1,2,1,1,0,black,,1.44743E+12,black,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,eggplant, , ,,,,
1382-f,1.44743E+12,28,sizeOnly,small_red_stapler,target,1,2,2,big_red_stapler,distractor,3,3,big_purple_stapler,distractor,1,1,1,1,0,small red,,1.44743E+12,small red,TRUE,TRUE,FALSE,FALSE,,, FALSE, FALSE,stapler,small,red,,,,
1382-f,1.44743E+12,29,filler,orange,target,1,3,1,raspberry,distractor,2,2,pumpkin,distractor,1,3,1,1,0,orange fruit,,1.44743E+12,orange fruit,FALSE,TRUE,TRUE,FALSE,TRUE,, FALSE, FALSE,orange, , ,,,,
1382-f,1.44743E+12,30,filler,santahat,target,1,2,2,football,distractor,3,1,crocodile,distractor,1,3,1,1,0,red,,1.44743E+12,red,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,santahat, , ,,,,
1382-f,1.44743E+12,31,sizeOnly,small_green_framee,target,1,2,3,big_pink_framee,distractor,3,1,big_green_framee,distractor,1,2,1,1,0,small green,,1.44743E+12,small green,TRUE,TRUE,FALSE,FALSE,,, FALSE, FALSE,framee,small,green,,,,
1382-f,1.44743E+12,32,filler,violin,target,1,1,1,iguana,distractor,2,3,basketball,distractor,3,2,1,1,0,violin,,1.44743E+12,violin,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,violin, , ,,,,
1382-f,1.44743E+12,33,filler,kiwi,target,1,2,3,hotdog,distractor,1,1,iguana,distractor,3,2,1,1,0,kiwi,,1.44743E+12,kiwi,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,kiwi, , ,,,,
1382-f,1.44743E+12,34,filler,snowflake,target,1,2,3,lemon,distractor,1,1,strawberry,distractor,3,2,1,1,0,snow,,1.44743E+12,snow,FALSE,FALSE,TRUE,FALSE,,TRUE, FALSE, FALSE,snowflake, , ,,,,
1382-f,1.44743E+12,35,filler,television,target,1,3,1,mailbox,distractor,2,2,bear,distractor,1,3,1,1,0,tv,,1.44743E+12,tv,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,television, , ,,,,
1382-f,1.44743E+12,36,filler,horse,target,1,3,2,iguana,distractor,2,1,mailbox,distractor,1,3,1,1,0,horse,,1.44743E+12,horse,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,horse, , ,,,,
1382-f,1.44743E+12,37,colorAndSize,small_black_turtle,target,1,1,3,big_brown_turtle,distractor,2,1,big_brown_turtle,distractor,3,2,1,1,0,black,,1.44743E+12,black,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,turtle,small,black,,,,
1382-f,1.44743E+12,38,colorAndSize,small_green_guitar,target,1,1,1,big_blue_guitar,distractor,3,3,big_blue_guitar,distractor,2,2,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,guitar,small,green,,,,
1382-f,1.44743E+12,39,filler,cherries,target,1,3,2,television,distractor,2,3,artichoke,distractor,1,1,1,1,0,red,,1.44743E+12,red,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,cherries, , ,,,,
1382-f,1.44743E+12,40,sizeOnly,big_black_belt,target,1,2,1,small_brown_belt,distractor,3,3,small_black_belt,distractor,1,2,1,1,0,large black,,1.44743E+12,large black,TRUE,TRUE,FALSE,FALSE,,, FALSE, FALSE,belt,big,black,,,,
1382-f,1.44743E+12,41,filler,cactus,target,1,3,1,violin,distractor,2,3,tire,distractor,1,2,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,cactus, , ,,,,
1382-f,1.44743E+12,42,sizeOnly,small_blue_cap,target,1,2,2,big_orange_cap,distractor,3,1,big_blue_cap,distractor,1,3,1,1,0,small blue,,1.44743E+12,small blue,TRUE,TRUE,FALSE,FALSE,,, FALSE, FALSE,cap,small,blue,,,,
1382-f,1.44743E+12,43,filler,smokedetector,target,1,1,2,horse,distractor,2,3,ketchup,distractor,3,1,1,1,0,alarm,,1.44743E+12,alarm,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,smokedetector, , ,,,,
1382-f,1.44743E+12,44,filler,broccoli,target,1,3,1,dresser,distractor,2,3,basketball,distractor,1,2,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,broccoli, , ,,,,
1382-f,1.44743E+12,45,filler,kitten,target,1,3,2,basketball,distractor,2,3,baseball,distractor,1,1,1,1,0,cat,,1.44743E+12,cat,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,kitten, , ,,,,
1382-f,1.44743E+12,46,filler,lime,target,1,1,3,bulldozer,distractor,3,2,schoolbus,distractor,2,1,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,lime, , ,,,,
1382-f,1.44743E+12,47,sizeOnly,big_purple_hairdryer,target,1,2,2,small_purple_hairdryer,distractor,3,3,small_pink_hairdryer,distractor,1,1,1,1,0,large purple,,1.44743E+12,large purple,TRUE,TRUE,FALSE,FALSE,,, FALSE, FALSE,hairdryer,big,purple,,,,
1382-f,1.44743E+12,48,filler,santahat,target,1,1,3,fox,distractor,2,2,clarinet,distractor,3,1,1,1,0,red,,1.44743E+12,red,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,santahat, , ,,,,
1382-f,1.44743E+12,49,filler,bison,target,1,3,1,raspberry,distractor,1,2,flamingo,distractor,2,3,1,1,0,brown,,1.44743E+12,brown,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,bison, , ,,,,
1382-f,1.44743E+12,50,filler,zucchini,target,1,1,2,coconut,distractor,3,1,trumpet,distractor,2,3,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,zucchini, , ,,,,
1382-f,1.44743E+12,51,colorAndSize,small_red_chair,target,1,1,3,big_green_chair,distractor,3,1,big_green_chair,distractor,2,2,1,1,0,orange,,1.44743E+12,orange,FALSE,FALSE,FALSE,FALSE,,, FALSE, FALSE,chair,small,red,,,,
1382-f,1.44743E+12,52,sizeOnly,big_purple_bike,target,1,2,3,small_purple_bike,distractor,1,1,small_red_bike,distractor,3,2,1,1,0,large purple,,1.44743E+12,large purple,TRUE,TRUE,FALSE,FALSE,,, FALSE, FALSE,bike,big,purple,,,,
1382-f,1.44743E+12,53,filler,broccoli,target,1,3,1,binoculars,distractor,2,2,tire,distractor,1,3,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,broccoli, , ,,,,
1382-f,1.44743E+12,54,colorOnly,small_purple_coathanger,target,1,1,2,big_orange_coathanger,distractor,3,1,small_orange_coathanger,distractor,2,3,1,1,0,purple,,1.44743E+12,purple,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,coathanger,small,purple,,,,
1382-f,1.44743E+12,55,filler,tophat,target,1,3,3,watermelon,distractor,2,1,iguana,distractor,1,2,1,1,0,black,,1.44743E+12,black,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,tophat, , ,,,,
1382-f,1.44743E+12,56,filler,car,target,1,2,2,basketball,distractor,3,3,television,distractor,1,1,1,1,0,vroom,,1.44743E+12,vroom,FALSE,FALSE,FALSE,TRUE,,, FALSE, FALSE,car, , ,,,,
1382-f,1.44743E+12,57,filler,bear,target,1,2,1,tomato,distractor,3,2,violin,distractor,1,3,1,1,0,bear,,1.44743E+12,bear,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,bear, , ,,,,
1382-f,1.44743E+12,58,filler,broccoli,target,1,1,1,dresser,distractor,2,2,baseball,distractor,3,3,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,broccoli, , ,,,,
1382-f,1.44743E+12,59,filler,lion,target,1,1,1,kiwi,distractor,3,3,basketball,distractor,2,2,1,1,0,roar,,1.44743E+12,roar,FALSE,FALSE,FALSE,TRUE,,, FALSE, FALSE,lion, , ,,,,
1382-f,1.44743E+12,60,filler,tooth,target,1,1,1,trumpet,distractor,2,3,chick,distractor,3,2,1,1,0,tooth,,1.44743E+12,tooth,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,tooth, , ,,,,
1382-f,1.44743E+12,61,filler,watermelon,target,1,2,1,tennisball,distractor,1,2,raspberry,distractor,3,3,1,1,0,watermelon,,1.44743E+12,watermelon,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,watermelon, , ,,,,
1382-f,1.44743E+12,62,filler,trumpet,distractor,0,1,1,strawberry,target,3,2,broccoli,distractor,2,3,1,1,0,straw,,1.44743E+12,straw,FALSE,FALSE,TRUE,FALSE,,TRUE, FALSE, FALSE,trumpet, , ,,,,
1382-f,1.44743E+12,63,filler,rhinoceros,target,1,1,1,iguana,distractor,3,2,sheep,distractor,2,3,1,1,0,rhino,,1.44743E+12,rhino,FALSE,FALSE,TRUE,FALSE,,TRUE, FALSE, FALSE,rhinoceros, , ,,,,
1382-f,1.44743E+12,64,filler,tire,target,1,1,3,trumpet,distractor,2,2,tomato,distractor,3,1,1,1,0,tire,,1.44743E+12,tire,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,tire, , ,,,,
1382-f,1.44743E+12,65,filler,tire,target,1,1,3,snake,distractor,2,2,lobster,distractor,3,1,1,1,0,tire,,1.44743E+12,tire,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,tire, , ,,,,
1382-f,1.44743E+12,66,filler,smokedetector,target,1,2,1,piano,distractor,1,3,snowflake,distractor,3,2,1,1,0,alarm,,1.44743E+12,alarm,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,smokedetector, , ,,,,
1382-f,1.44743E+12,67,colorOnly,big_black_comb,distractor,0,1,1,small_blue_comb,target,2,2,small_black_comb,distractor,3,3,1,1,0,black,,1.44743E+12,black,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,comb,big,black,,,,
1382-f,1.44743E+12,68,sizeOnly,small_blue_book,target,1,3,1,big_black_book,distractor,1,2,big_blue_book,distractor,2,3,1,1,0,small blue,,1.44743E+12,small blue,TRUE,TRUE,FALSE,FALSE,,, FALSE, FALSE,book,small,blue,,,,
1382-f,1.44743E+12,69,filler,chick,target,1,1,1,polarbear,distractor,2,3,mailbox,distractor,3,2,1,1,0,chick,,1.44743E+12,chick,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,chick, , ,,,,
1382-f,1.44743E+12,70,filler,fox,target,1,1,3,television,distractor,3,1,camera,distractor,2,2,1,1,0,fox,,1.44743E+12,fox,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,fox, , ,,,,
1382-f,1.44743E+12,71,filler,tophat,target,1,2,3,garbagecan,distractor,3,1,snowflake,distractor,1,2,1,1,0,black,,1.44743E+12,black,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,tophat, , ,,,,
1382-f,1.44743E+12,72,filler,garbagecan,target,1,1,2,broccoli,distractor,3,1,teddybear,distractor,2,3,1,1,0,red,,1.44743E+12,red,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,garbagecan, , ,,,,
1382-f,1.44743E+12,73,filler,snake,target,1,1,1,lime,distractor,2,2,ketchup,distractor,3,3,1,1,0,snake,,1.44743E+12,snake,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,snake, , ,,,,
1382-f,1.44743E+12,74,filler,polarbear,target,1,3,1,basketball,distractor,1,2,snake,distractor,2,3,1,1,0,bear,,1.44743E+12,bear,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE, FALSE, FALSE,polarbear, , ,,,,
1382-f,1.44743E+12,75,colorOnly,big_blue_rug,target,1,1,1,big_purple_rug,distractor,2,2,small_purple_rug,distractor,3,3,1,1,0,blue,,1.44743E+12,blue,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,rug,big,blue,,,,
1382-f,1.44743E+12,76,filler,broccoli,target,1,3,2,car,distractor,2,1,grapefruit,distractor,1,3,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,broccoli, , ,,,,
1382-f,1.44743E+12,77,colorAndSize,small_green_bracelet,target,1,2,3,big_purple_bracelet,distractor,3,1,big_purple_bracelet,distractor,1,2,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,bracelet,small,green,,,,
1382-f,1.44743E+12,78,filler,toilet,target,1,3,1,gloves,distractor,2,2,strawberry,distractor,1,3,1,1,0,flush,,1.44743E+12,flush,FALSE,FALSE,FALSE,TRUE,,, FALSE, FALSE,toilet, , ,,,,
1382-f,1.44743E+12,79,sizeOnly,big_pink_golfball,target,1,2,1,small_pink_golfball,distractor,1,2,small_blue_golfball,distractor,3,3,1,1,0,large pink,,1.44743E+12,large pink,TRUE,TRUE,FALSE,FALSE,,, FALSE, FALSE,golfball,big,pink,,,,
1382-f,1.44743E+12,80,colorAndSize,big_purple_rock,target,1,1,3,small_green_rock,distractor,3,1,small_green_rock,distractor,2,2,1,1,0,purple,,1.44743E+12,purple,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,rock,big,purple,,,,
1382-f,1.44743E+12,81,filler,snake,target,1,1,1,garlic,distractor,3,2,flamingo,distractor,2,3,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,snake, , ,,,,
1382-f,1.44743E+12,82,filler,motorcycle,target,1,1,3,firetruck,distractor,2,2,lemon,distractor,3,1,1,1,0,speed bike,,1.44743E+12,speed bike,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,motorcycle, , ,,,,
1382-f,1.44743E+12,83,sizeOnly,big_pink_teacup,target,1,3,1,small_pink_teacup,distractor,1,3,small_white_teacup,distractor,2,2,1,1,0,large pink,,1.44743E+12,large pink,TRUE,TRUE,FALSE,FALSE,,, FALSE, FALSE,teacup,big,pink,,,,
1382-f,1.44743E+12,84,filler,artichoke,target,1,1,2,garlic,distractor,2,1,gloves,distractor,3,3,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,artichoke, , ,,,,
1382-f,1.44743E+12,85,filler,cactus,target,1,2,1,kitten,distractor,3,3,carrot,distractor,1,2,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,cactus, , ,,,,
1382-f,1.44743E+12,86,filler,egg,target,1,3,2,artichoke,distractor,1,1,cherries,distractor,2,3,1,1,0,egg,,1.44743E+12,egg,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,egg, , ,,,,
1382-f,1.44743E+12,87,filler,crocodile,target,1,3,2,piano,distractor,1,3,cherries,distractor,2,1,1,1,0,gator,,1.44743E+12,gator,FALSE,FALSE,TRUE,FALSE,,TRUE, FALSE, FALSE,crocodile, , ,,,,
1382-f,1.44743E+12,88,filler,broccoli,target,1,2,3,smokedetector,distractor,3,2,garbagecan,distractor,1,1,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,broccoli, , ,,,,
1382-f,1.44743E+12,89,filler,teddybear,target,1,1,1,bison,distractor,2,3,banana,distractor,3,2,1,1,0,bear,,1.44743E+12,bear,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE, FALSE, FALSE,teddybear, , ,,,,
1382-f,1.44743E+12,90,filler,grapefruit,target,1,3,3,kitten,distractor,2,2,banana,distractor,1,1,1,1,0,pink,,1.44743E+12,pink,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,grapefruit, , ,,,,
1382-f,1.44743E+12,91,colorAndSize,big_purple_butterfly,target,1,2,3,small_blue_butterfly,distractor,1,1,small_blue_butterfly,distractor,3,2,1,1,0,pink,,1.44743E+12,pink,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,butterfly,big,purple,,,,
1382-f,1.44743E+12,92,colorOnly,small_blue_ornament,target,1,1,2,big_purple_ornament,distractor,3,3,small_purple_ornament,distractor,2,1,1,1,0,blue,,1.44743E+12,blue,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,ornament,small,blue,,,,
1382-f,1.44743E+12,93,filler,schoolbus,target,1,1,3,bison,distractor,3,1,penguin,distractor,2,2,1,1,0,yello,,1.44743E+12,yello,FALSE,TRUE,FALSE,FALSE,,TRUE, FALSE, FALSE,schoolbus, , ,,,,
1382-f,1.44743E+12,94,filler,eggplant,target,1,2,1,ketchup,distractor,3,2,banana,distractor,1,3,1,1,0,black,,1.44743E+12,black,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,eggplant, , ,,,,
1382-f,1.44743E+12,95,filler,schoolbus,target,1,1,3,violin,distractor,2,1,carrot,distractor,3,2,1,1,0,yellow,,1.44743E+12,yellow,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,schoolbus, , ,,,,
1382-f,1.44743E+12,96,filler,tire,target,1,2,2,toilet,distractor,3,1,television,distractor,1,3,1,1,0,tire,,1.44743E+12,tire,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,tire, , ,,,,
1382-f,1.44743E+12,97,sizeOnly,big_white_shoe,target,1,3,1,small_white_shoe,distractor,1,2,small_yellow_shoe,distractor,2,3,1,1,0,large white,,1.44743E+12,large white,TRUE,TRUE,FALSE,FALSE,,, FALSE, FALSE,shoe,big,white,,,,
1382-f,1.44743E+12,98,colorAndSize,small_purple_yarn,target,1,1,2,big_red_yarn,distractor,3,1,big_red_yarn,distractor,2,3,1,1,0,purple,,1.44743E+12,purple,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,yarn,small,purple,,,,
1382-f,1.44743E+12,99,colorAndSize,small_red_flower,target,1,1,2,big_purple_flower,distractor,2,3,big_purple_flower,distractor,3,1,1,1,0,red,,1.44743E+12,red,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,flower,small,red,,,,
1382-f,1.44743E+12,100,filler,clarinet,target,1,3,3,fireextinguisher,distractor,2,1,raspberry,distractor,1,2,1,1,0,black instrument,,1.44743E+12,black instrument,FALSE,TRUE,FALSE,FALSE,TRUE,, FALSE, FALSE,clarinet, , ,,,,
1382-f,1.44743E+12,101,colorAndSize,big_blue_tack,target,1,1,2,small_red_tack,distractor,3,1,small_red_tack,distractor,2,3,1,1,0,blue,,1.44743E+12,blue,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,tack,big,blue,,,,
1382-f,1.44743E+12,102,filler,bear,target,1,2,1,smokedetector,distractor,1,2,lion,distractor,3,3,1,1,0,bear,,1.44743E+12,bear,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,bear, , ,,,,
1382-f,1.44743E+12,103,sizeOnly,big_yellow_balloon,target,1,2,1,small_pink_balloon,distractor,1,3,small_yellow_balloon,distractor,3,2,1,1,0,large yellow,,1.44743E+12,large yellow,TRUE,TRUE,FALSE,FALSE,,, FALSE, FALSE,balloon,big,yellow,,,,
1382-f,1.44743E+12,104,filler,lobster,target,1,3,3,grapefruit,distractor,1,1,lime,distractor,2,2,1,1,0,red,,1.44743E+12,red,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,lobster, , ,,,,
1382-f,1.44743E+12,105,filler,artichoke,target,1,3,3,santahat,distractor,1,2,hotdog,distractor,2,1,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,artichoke, , ,,,,
1382-f,1.44743E+12,106,filler,grapefruit,target,1,1,3,hotdog,distractor,3,2,garbagecan,distractor,2,1,1,1,0,pink,,1.44743E+12,pink,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,grapefruit, , ,,,,
1382-f,1.44743E+12,107,colorAndSize,small_orange_billiardball,target,1,1,1,big_purple_billiardball,distractor,2,2,big_purple_billiardball,distractor,3,3,1,1,0,orange,,1.44743E+12,orange,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,billiardball,small,orange,,,,
