gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj,correct, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs ,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,superClassMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
1382-f,1.44743E+12,1,filler,rubberduck,target,1,3,3,ketchup,distractor,2,1,toilet,distractor,1,2,1,1,0,duck,,1.44743E+12,duck,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE, FALSE, FALSE,rubberduck, , ,,,,
1382-f,1.44743E+12,2,colorOnly,big_blue_folder,target,1,1,1,big_green_folder,distractor,3,2,small_green_folder,distractor,2,3,1,1,0,blue,,1.44743E+12,blue,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,folder,big,blue,,,,
1382-f,1.44743E+12,3,colorOnly,big_pink_bucket,target,1,2,3,small_red_bucket,distractor,3,2,big_red_bucket,distractor,1,1,1,1,0,pink,,1.44743E+12,pink,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,bucket,big,pink,,,,
1382-f,1.44743E+12,4,filler,artichoke,target,1,3,2,lion,distractor,1,3,tire,distractor,2,1,1,1,0,green,,1.44743E+12,green,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,artichoke, , ,,,,
1382-f,1.44743E+12,5,filler,smokedetector,target,1,2,3,mailbox,distractor,1,1,kiwi,distractor,3,2,1,1,0,alarm,,1.44743E+12,alarm,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,smokedetector, , ,,,,
1382-f,1.44743E+12,6,colorOnly,big_pink_phone,target,1,1,3,small_white_phone,distractor,3,1,big_white_phone,distractor,2,2,1,1,0,pink,,1.44743E+12,pink,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,phone,big,pink,,,,
1382-f,1.44743E+12,7,filler,football,target,1,3,3,snake,distractor,1,2,hotdog,distractor,2,1,1,1,0,football,,1.44743E+12,football,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,football, , ,,,,
1382-f,1.44743E+12,8,filler,gloves,target,1,2,3,lion,distractor,3,1,firetruck,distractor,1,2,1,1,0,pink,,1.44743E+12,pink,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,gloves, , ,,,,
1382-f,1.44743E+12,9,filler,lobster,target,1,3,3,orange,distractor,2,1,violin,distractor,1,2,1,1,0,red,,1.44743E+12,red,FALSE,TRUE,FALSE,FALSE,,, FALSE, FALSE,lobster, , ,,,,
1382-f,1.44743E+12,10,filler,bear,target,1,3,1,fox,distractor,1,2,coconut,distractor,2,3,1,1,0,bear,,1.44743E+12,bear,FALSE,FALSE,TRUE,FALSE,,, FALSE, FALSE,bear, , ,,,,
