"uttType","condition","NormedTypicality","target","empiricProb","ci.low","ci.high"
"colorOnly","informative-cc",0.962,"red_tomato",0,0,0
"colorOnly","informative-cc",0.966,"green_avocado",0.0769230769230769,0.0769230769230769,0.115384615384615
"colorOnly","informative-cc",0.976,"orange_carrot",0,0,0
"colorOnly","informative-cc",0.979,"yellow_banana",0,0,0
"colorOnly","overinformative",0.412,"pink_tomato",0.388888888888889,0.222222222222222,0.222222222222222
"colorOnly","overinformative",0.419,"blue_banana",0.476190476190476,0.238095238095238,0.238095238095238
"colorOnly","overinformative",0.462,"blue_apple",0.333333333333333,0.185185185185185,0.185185185185185
"colorOnly","overinformative",0.503,"pink_carrot",0.375,0.208333333333333,0.208333333333333
"colorOnly","overinformative",0.565,"brown_carrot",0.0476190476190476,0.0476190476190476,0.0952380952380952
"colorOnly","overinformative",0.637,"black_pepper",0.291666666666667,0.166666666666667,0.166666666666667
"colorOnly","overinformative",0.657,"brown_banana",0.0869565217391304,0.0869565217391304,0.130434782608696
"colorOnly","overinformative",0.686,"orange_pear",0.235294117647059,0.176470588235294,0.235294117647059
"colorOnly","overinformative",0.696,"red_avocado",0.227272727272727,0.181818181818182,0.181818181818182
"colorOnly","overinformative",0.738,"green_tomato",0.296296296296296,0.148148148148148,0.148148148148148
"colorOnly","overinformative",0.812,"black_avocado",0.222222222222222,0.166666666666667,0.166666666666667
"colorOnly","overinformative",0.841,"orange_pepper",0.16,0.12,0.16
"colorOnly","overinformative",0.924,"yellow_pear",0.136363636363636,0.136363636363636,0.136363636363636
"colorOnly","overinformative",0.934,"red_pepper",0.277777777777778,0.166666666666667,0.222222222222222
"colorOnly","overinformative",0.953,"green_pear",0.217391304347826,0.130434782608696,0.173913043478261
"colorOnly","overinformative",0.953,"red_apple",0.08,0.08,0.12
"colorOnly","overinformative",0.961,"green_apple",0.16,0.12,0.16
"colorOnly","overinformative",0.962,"red_tomato",0.142857142857143,0.107142857142857,0.142857142857143
"colorOnly","overinformative",0.966,"green_avocado",0.181818181818182,0.136363636363636,0.181818181818182
"colorOnly","overinformative",0.976,"orange_carrot",0.0526315789473684,0.0526315789473684,0.105263157894737
"colorOnly","overinformative",0.979,"yellow_banana",0.1,0.1,0.133333333333333
"colorOnly","overinformative-cc",0.412,"pink_tomato",0,0,0
"colorOnly","overinformative-cc",0.419,"blue_banana",0,0,0
"colorOnly","overinformative-cc",0.462,"blue_apple",0,0,0
"colorOnly","overinformative-cc",0.503,"pink_carrot",0,0,0
"colorOnly","overinformative-cc",0.565,"brown_carrot",0,0,0
"colorOnly","overinformative-cc",0.637,"black_pepper",0.0588235294117647,0.0588235294117647,0.117647058823529
"colorOnly","overinformative-cc",0.657,"brown_banana",0,0,0
"colorOnly","overinformative-cc",0.686,"orange_pear",0,0,0
"colorOnly","overinformative-cc",0.696,"red_avocado",0,0,0
"colorOnly","overinformative-cc",0.738,"green_tomato",0,0,0
"colorOnly","overinformative-cc",0.812,"black_avocado",0,0,0
"colorOnly","overinformative-cc",0.841,"orange_pepper",0.05,0.05,0.1
"colorOnly","overinformative-cc",0.924,"yellow_pear",0,0,0
"colorOnly","overinformative-cc",0.934,"red_pepper",0,0,0
"colorOnly","overinformative-cc",0.953,"green_pear",0,0,0
"colorOnly","overinformative-cc",0.953,"red_apple",0,0,0
"colorOnly","overinformative-cc",0.961,"green_apple",0,0,0
"colorOnly","overinformative-cc",0.962,"red_tomato",0,0,0
"colorOnly","overinformative-cc",0.966,"green_avocado",0,0,0
"colorOnly","overinformative-cc",0.976,"orange_carrot",0,0,0
"colorOnly","overinformative-cc",0.979,"yellow_banana",0,0,0
"colorType","informative",0.412,"pink_tomato",0.409090909090909,0.227272727272727,0.181818181818182
"colorType","informative",0.419,"blue_banana",0.64,0.2,0.160999999999999
"colorType","informative",0.462,"blue_apple",0.772727272727273,0.181818181818182,0.136363636363636
"colorType","informative",0.503,"pink_carrot",0.620689655172414,0.206896551724138,0.172413793103448
"colorType","informative",0.565,"brown_carrot",0.954545454545455,0.0909090909090909,0.0454545454545454
"colorType","informative",0.637,"black_pepper",0.615384615384615,0.192307692307692,0.192307692307692
"colorType","informative",0.657,"brown_banana",0.727272727272727,0.181818181818182,0.181818181818182
"colorType","informative",0.686,"orange_pear",0.642857142857143,0.178571428571429,0.178571428571428
"colorType","informative",0.696,"red_avocado",0.571428571428571,0.238095238095238,0.238095238095238
"colorType","informative",0.738,"green_tomato",0.818181818181818,0.181818181818182,0.136363636363636
"colorType","informative",0.812,"black_avocado",0.612903225806452,0.162096774193548,0.161290322580645
"colorType","informative",0.841,"orange_pepper",0.689655172413793,0.172413793103448,0.172413793103448
"colorType","informative",0.924,"yellow_pear",0.826086956521739,0.173913043478261,0.130434782608696
"colorType","informative",0.934,"red_pepper",0.764705882352941,0.235294117647059,0.176470588235294
"colorType","informative",0.953,"green_pear",0.785714285714286,0.142857142857143,0.142857142857143
"colorType","informative",0.953,"red_apple",0.84,0.16,0.12
"colorType","informative",0.961,"green_apple",0.6,0.2,0.2
"colorType","informative",0.962,"red_tomato",0.666666666666667,0.166666666666667,0.166666666666667
"colorType","informative",0.966,"green_avocado",0.684210526315789,0.210526315789474,0.210526315789474
"colorType","informative",0.976,"orange_carrot",0.565217391304348,0.217391304347826,0.217391304347826
"colorType","informative",0.979,"yellow_banana",0.647058823529412,0.235294117647059,0.235294117647059
"colorType","informative-cc",0.412,"pink_tomato",0.96,0.08,0.04
"colorType","informative-cc",0.419,"blue_banana",0.896551724137931,0.103448275862069,0.103448275862069
"colorType","informative-cc",0.462,"blue_apple",0.9,0.15,0.1
"colorType","informative-cc",0.503,"pink_carrot",0.9375,0.125,0.0625
"colorType","informative-cc",0.565,"brown_carrot",0.88,0.121,0.12
"colorType","informative-cc",0.637,"black_pepper",0.961538461538462,0.076923076923077,0.0384615384615384
"colorType","informative-cc",0.657,"brown_banana",0.909090909090909,0.136363636363636,0.0909090909090909
"colorType","informative-cc",0.686,"orange_pear",0.875,0.125,0.09375
"colorType","informative-cc",0.696,"red_avocado",0.882352941176471,0.176470588235294,0.117647058823529
"colorType","informative-cc",0.738,"green_tomato",0.941176470588235,0.117647058823529,0.0588235294117647
"colorType","informative-cc",0.812,"black_avocado",0.695652173913043,0.217391304347826,0.173913043478261
"colorType","informative-cc",0.841,"orange_pepper",0.842105263157895,0.157894736842105,0.157894736842105
"colorType","informative-cc",0.924,"yellow_pear",0.88,0.121,0.12
"colorType","informative-cc",0.934,"red_pepper",0.931034482758621,0.103448275862069,0.0689655172413793
"colorType","informative-cc",0.953,"green_pear",0.875,0.125,0.125
"colorType","informative-cc",0.953,"red_apple",0.863636363636364,0.136363636363636,0.136363636363636
"colorType","informative-cc",0.961,"green_apple",0.9,0.15,0.1
"colorType","informative-cc",0.962,"red_tomato",0.875,0.1875,0.125
"colorType","informative-cc",0.966,"green_avocado",0.807692307692308,0.153846153846154,0.153846153846154
"colorType","informative-cc",0.976,"orange_carrot",0.833333333333333,0.166666666666667,0.125
"colorType","informative-cc",0.979,"yellow_banana",0.833333333333333,0.125,0.125
"colorType","overinformative",0.412,"pink_tomato",0.277777777777778,0.222222222222222,0.222222222222222
"colorType","overinformative",0.419,"blue_banana",0.333333333333333,0.19047619047619,0.191666666666666
"colorType","overinformative",0.462,"blue_apple",0.444444444444444,0.185185185185185,0.185185185185185
"colorType","overinformative",0.503,"pink_carrot",0.291666666666667,0.166666666666667,0.166666666666667
"colorType","overinformative",0.565,"brown_carrot",0.19047619047619,0.142857142857143,0.19047619047619
"colorType","overinformative",0.637,"black_pepper",0.416666666666667,0.166666666666667,0.208333333333333
"colorType","overinformative",0.657,"brown_banana",0.304347826086957,0.173913043478261,0.217391304347826
"colorType","overinformative",0.686,"orange_pear",0.294117647058824,0.176470588235294,0.235294117647059
"colorType","overinformative",0.696,"red_avocado",0.454545454545455,0.181818181818182,0.181818181818182
"colorType","overinformative",0.738,"green_tomato",0.333333333333333,0.149074074074074,0.185185185185185
"colorType","overinformative",0.812,"black_avocado",0.222222222222222,0.166666666666667,0.222222222222222
"colorType","overinformative",0.841,"orange_pepper",0.32,0.16,0.16
"colorType","overinformative",0.924,"yellow_pear",0.136363636363636,0.136363636363636,0.136363636363636
"colorType","overinformative",0.934,"red_pepper",0.5,0.222222222222222,0.222222222222222
"colorType","overinformative",0.953,"green_pear",0.0434782608695652,0.0434782608695652,0.0869565217391304
"colorType","overinformative",0.953,"red_apple",0.28,0.16,0.16
"colorType","overinformative",0.961,"green_apple",0.36,0.2,0.16
"colorType","overinformative",0.962,"red_tomato",0.178571428571429,0.142857142857143,0.142857142857143
"colorType","overinformative",0.966,"green_avocado",0.227272727272727,0.1375,0.181818181818182
"colorType","overinformative",0.976,"orange_carrot",0.157894736842105,0.157894736842105,0.157894736842105
"colorType","overinformative",0.979,"yellow_banana",0.0666666666666667,0.0666666666666667,0.1
"colorType","overinformative-cc",0.412,"pink_tomato",0.620689655172414,0.172413793103448,0.172413793103448
"colorType","overinformative-cc",0.419,"blue_banana",0.526315789473684,0.210526315789474,0.210526315789474
"colorType","overinformative-cc",0.462,"blue_apple",0.363636363636364,0.227272727272727,0.181818181818182
"colorType","overinformative-cc",0.503,"pink_carrot",0.478260869565217,0.217391304347826,0.217391304347826
"colorType","overinformative-cc",0.565,"brown_carrot",0.434782608695652,0.217391304347826,0.174999999999999
"colorType","overinformative-cc",0.637,"black_pepper",0.411764705882353,0.235294117647059,0.235294117647059
"colorType","overinformative-cc",0.657,"brown_banana",0.407407407407407,0.185185185185185,0.185185185185185
"colorType","overinformative-cc",0.686,"orange_pear",0.294117647058824,0.176470588235294,0.235294117647059
"colorType","overinformative-cc",0.696,"red_avocado",0.333333333333333,0.185185185185185,0.185185185185185
"colorType","overinformative-cc",0.738,"green_tomato",0.615384615384615,0.192307692307692,0.192307692307692
"colorType","overinformative-cc",0.812,"black_avocado",0.409090909090909,0.227272727272727,0.181818181818182
"colorType","overinformative-cc",0.841,"orange_pepper",0.65,0.2,0.2
"colorType","overinformative-cc",0.924,"yellow_pear",0.0833333333333333,0.0833333333333333,0.125
"colorType","overinformative-cc",0.934,"red_pepper",0.307692307692308,0.153846153846154,0.192307692307692
"colorType","overinformative-cc",0.953,"green_pear",0.105263157894737,0.105263157894737,0.157894736842105
"colorType","overinformative-cc",0.953,"red_apple",0.333333333333333,0.19047619047619,0.190476190476191
"colorType","overinformative-cc",0.961,"green_apple",0.208333333333333,0.125,0.166666666666667
