gameid; time; roundNum; trialType; condition; nameClickedObj; targetStatusClickedObj; spLocsClickedObj; lisLocsClickedObj; basiclevelClickedObj; superdomainClickedObj; alt1Name; alt1TargetStatus; alt1SpLocs; alt1LisLocs; alt1Basiclevel; alt1superdomain; alt2Name; alt2TargetStatus; alt2SpLocs; alt2LisLocs; alt2Basiclevel; alt2superdomain;numMessages;numSMessages;numLMessages;speakerMessages;listenerMessages;messageTimeStamps;refExp;sizeMentioned;colorMentioned;typeMentioned;otherFeatureMentioned;basiclevelMentioned;superClassMentioned;superclassattributeMentioned;utteranceContracted;oneMentioned;theMentioned;clickedType;clickedSize;clickedColor;colorPreNominal;sizePreNominal;;notes;;;alt1TypeLabelTest;alt1BLLabelTest;alt1DomainLabelTest;alt2TypeLabelTest;alt2BLLabelTest;alt2DomainLabelTest
4517-f;1.45E+12;69;subSuperTrial;distr12;sportsCar;target;4;2;car;vehicle;sedan;distrClass1;3;4;car;vehicle;ambulance;distrClass2;2;3;NA;vehicle;1;1;0;white car;;1.45E+12;white car;FALSE;TRUE;FALSE;;TRUE;;;;;;sportsCar;NA;NA;;;;;;;NA;NA;NA;ambulance, sportsCar;ambulance, car;ambulance, vehicle
3293-5;1.45E+12;18;subSuperTrial;distr12;coffeeTable;target;4;4;table;furniture;sideTable;distrClass1;2;2;table;furniture;bed;distrClass2;3;3;NA;furniture;3;2;1;short table___yes;coffee table?;1449256575620___1449256583966___1449256600567;short table;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;coffeeTable;NA;NA;;;;;;;NA;NA;NA;bed, coffeeTable;bed, table;bed, furniture
2919-a;1.45E+12;4;subSuperTrial;distr12;pandaBear;target;3;3;bear;animal;koalaBear;distrClass1;4;4;bear;animal;bison;distrClass2;2;2;NA;animal;1;1;0;panda;;1.45E+12;panda;FALSE;FALSE;TRUE;;;;;;;;pandaBear;NA;NA;;;;;;;NA;NA;NA;bison, pandaBear;bison, bear;bison, animal
5076-0;1.45E+12;31;subSuperTrial;distr12;hummingBird;target;3;3;bird;animal;sparrow;distrClass1;4;2;bird;animal;bison;distrClass2;2;4;NA;animal;1;1;0;Hummingbird;;1.45E+12;Hummingbird;FALSE;FALSE;TRUE;;;;;;;;hummingBird;NA;NA;;;;;;;NA;NA;NA;bison, hummingBird;bison, bird;bison, animal
5628-2;1.45E+12;11;subSuperTrial;distr12;polarBear;target;3;4;bear;animal;koalaBear;distrClass1;2;3;bear;animal;bison;distrClass2;4;2;NA;animal;1;1;0;polar bear;;1.45E+12;polar bear;FALSE;FALSE;TRUE;;;;;;;;polarBear;NA;NA;;;;;;;NA;NA;NA;bison, polarBear;bison, bear;bison, animal
4517-f;1.45E+12;41;subSuperTrial;distr12;convertible;target;2;4;car;vehicle;sedan;distrClass1;4;2;car;vehicle;ambulance;distrClass2;3;3;NA;vehicle;1;1;0;top down car;;1.45E+12;top down car;FALSE;FALSE;TRUE;;;;;;;;convertible;NA;NA;;;;;;;NA;NA;NA;ambulance, convertible;ambulance, car;ambulance, vehicle
2195-2;1.45E+12;23;subSuperTrial;distr12;suv;target;2;4;car;vehicle;sedan;distrClass1;3;3;car;vehicle;ambulance;distrClass2;4;2;NA;vehicle;1;1;0;WHITE SUV;;1.45E+12;WHITE SUV;FALSE;TRUE;TRUE;;;;;;;;suv;NA;NA;;;;;;;NA;NA;NA;ambulance, suv;ambulance, car;ambulance, vehicle
4393-a;1.45E+12;64;subSuperTrial;distr12;tShirt;target;4;2;shirt;clothing;campShirt;distrClass1;3;3;shirt;clothing;bathrobe;distrClass2;2;4;NA;clothing;1;1;0;t-shirt;;1.45E+12;t-shirt;FALSE;FALSE;TRUE;;;;;;;;tShirt;NA;NA;;;;;;;NA;NA;NA;bathrobe, tShirt;bathrobe, shirt;bathrobe, clothing
8684-3;1.45E+12;44;subSuperTrial;distr12;picnicTable;target;4;3;table;furniture;sideTable;distrClass1;2;4;table;furniture;bed;distrClass2;3;2;NA;furniture;1;1;0;can sit and eat at it;;1.45E+12;can sit and eat at it;FALSE;FALSE;FALSE;;;;TRUE;;;;picnicTable;NA;NA;;;;;;;NA;NA;NA;bed, picnicTable;bed, table;bed, furniture
4842-f;1.45E+12;3;subSuperTrial;distr12;coffeeTable;target;4;3;table;furniture;sideTable;distrClass1;3;4;table;furniture;bed;distrClass2;2;2;NA;furniture;3;1;2;something id put my feet on when play xbox;?___ok;1449259638495___1449259638800___1449259645692;something id put my feet on when play xbox;FALSE;FALSE;FALSE;TRUE;;;;;;;coffeeTable;NA;NA;;;;;;;NA;NA;NA;bed, coffeeTable;bed, table;bed, furniture
