gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,superClassMentioned,superSuperClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
4452-5,1.44925E+12,1,colorSizeTrial,sizeOnly4Distr3Same,big_blue_rug,target,3,2,NA,NA,small_blue_rug,distractor,2,5,NA,NA,small_purple_rug,distractor,1,1,NA,NA,small_blue_rug,distractor,4,4,NA,NA,small_blue_rug,distractor,5,3,NA,NA,1,1,0,big blue blanket,,1.44925E+12,big blue blanket,TRUE,TRUE,TRUE,,,,,,,,rug,big,blue,,,,
4452-5,1.44925E+12,2,colorSizeTrial,sizeOnly2Distr1Same,big_purple_billiardball,target,4,3,NA,NA,small_orange_billiardball,distractor,2,2,NA,NA,small_purple_billiardball,distractor,3,4,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,2,1,1,big purple ball with a 5,color deficient but i will go with big,1449254391024___1449254418846,big purple ball with a 5,TRUE,TRUE,TRUE,,,,,,,,billiardball,big,purple,,,,
4452-5,1.44925E+12,3,colorSizeTrial,sizeOnly4Distr1Same,big_yellow_shoe,target,3,2,NA,NA,small_white_shoe,distractor,1,5,NA,NA,small_yellow_shoe,distractor,2,3,NA,NA,small_white_shoe,distractor,5,4,NA,NA,small_white_shoe,distractor,4,1,NA,NA,1,1,0,biggest shoe - it's yellow,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
4452-5,1.44925E+12,4,subSuperTrial,distr33,catfish,target,3,2,fish,animal,blackStimulus,NA,1,1,NA,NA,rosemary,distrClass3,4,4,NA,plant,blackStimulus,NA,5,5,NA,NA,cookies,distrClass3,2,3,NA,snack,2,1,1,fish (catfish,,,,,,TRUE,,TRUE,,,,,,,,,,,,
4452-5,1.44925E+12,5,subSuperTrial,distr12,jellyBeans,target,3,3,candy,snack,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,candyCorn,distrClass1,2,4,candy,snack,popcorn,distrClass2,4,2,NA,snack,1,1,0,jellybeans,,1.44925E+12,jellybeans,FALSE,FALSE,TRUE,,,,,,,,jellyBeans,NA,NA,,,,
4452-5,1.44925E+12,6,subSuperTrial,distr22,tulip,target,4,2,flower,plant,blackStimulus,NA,1,1,NA,NA,ivy,distrClass2,2,4,NA,plant,blackStimulus,NA,5,5,NA,NA,rosemary,distrClass2,3,3,NA,plant,1,1,0,tulip,,1.44925E+12,tulip,FALSE,FALSE,TRUE,,,,,,,,tulip,NA,NA,,,,
4452-5,1.44925E+12,7,colorSizeTrial,sizeOnly4Distr3Same,big_green_framee,target,2,4,NA,NA,small_green_framee,distractor,1,5,NA,NA,small_pink_framee,distractor,3,2,NA,NA,small_green_framee,distractor,4,1,NA,NA,small_green_framee,distractor,5,3,NA,NA,1,1,0,biggest picture frame,,1.44925E+12,biggest picture frame,TRUE,FALSE,TRUE,,,,,,,,framee,big,green,,,,
4452-5,1.44925E+12,8,subSuperTrial,distr33,skittles,target,2,4,candy,snack,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,bathrobe,distrClass3,4,2,NA,clothing,gloves,distrClass3,3,3,NA,clothing,1,1,0,skittles,,1.44925E+12,skittles,FALSE,FALSE,TRUE,,,,,,,,skittles,NA,NA,,,,
4452-5,1.44925E+12,9,colorSizeTrial,sizeOnly3Distr3Same,big_green_binder,target,3,2,NA,NA,blackStimulus,NA,5,5,NA,NA,small_green_binder,distractor,2,1,NA,NA,small_green_binder,distractor,4,4,NA,NA,small_green_binder,distractor,1,3,NA,NA,1,1,0,biggest folder,,1.44925E+12,biggest folder,TRUE,FALSE,TRUE,,,,,,,,binder,big,green,,,,
4452-5,1.44925E+12,10,colorSizeTrial,sizeOnly3Distr2Same,small_blue_comb,target,3,4,NA,NA,big_blue_comb,distractor,1,3,NA,NA,big_black_comb,distractor,2,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_blue_comb,distractor,4,2,NA,NA,1,1,0,smallest comb,,1.44925E+12,smallest comb,TRUE,FALSE,TRUE,,,,,,,,comb,small,blue,,,,
