gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,typeAttributeMentioned,noAttrOrLevelMentioned,basiclevelAttributeMentioned,basiclevelMentioned,superClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
8258-f,1450000000000,44,subSuperTrial,distr22,pug,target,3,2,dog,animal,snake,distrClass2,4,3,NA,animal,lion,distrClass2,2,4,NA,animal,1,1,0,dog,,1450000000000,dog,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,pug,NA,NA,,,,
7830-a,1450000000000,26,subSuperTrial,distr22,suv,target,3,2,car,vehicle,firetruck,distrClass2,2,4,NA,vehicle,motorcycle,distrClass2,4,3,NA,vehicle,1,1,0,white,,1450000000000,white,FALSE,TRUE,FALSE,,,x,,,,,,,,suv,NA,NA,,,,
6456-4,1450000000000,36,subSuperTrial,distr22,swordFish,target,2,2,fish,animal,elephant,distrClass2,4,4,NA,animal,pig,distrClass2,3,3,NA,animal,1,1,0,fish,,1450000000000,fish,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,swordFish,NA,NA,,,,
7111-e,1450000000000,22,subSuperTrial,distr22,pug,target,2,4,dog,animal,sheep,distrClass2,3,3,NA,animal,pig,distrClass2,4,2,NA,animal,1,1,0,smoosh face ,,1450000000000,smoosh face ,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,pug,NA,NA,,,,
4842-f,1450000000000,56,subSuperTrial,distr22,daisy,target,3,3,flower,plant,grasses,distrClass2,2,2,NA,plant,pottedPlant,distrClass2,4,4,NA,plant,1,1,0,most beaitufl,,1450000000000,most beaitufl,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,daisy,NA,NA,,,,
5628-2,1450000000000,65,subSuperTrial,distr22,daisy,target,2,3,flower,plant,ivy,distrClass2,3,4,NA,plant,pottedPlant,distrClass2,4,2,NA,plant,1,1,0,flower,,1450000000000,flower,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,daisy,NA,NA,,,,
5076-0,1450000000000,39,subSuperTrial,distr22,catfish,target,4,2,fish,animal,bison,distrClass2,3,4,NA,animal,rabbit,distrClass2,2,3,NA,animal,1,1,0,Lives underwater,,1450000000000,Lives underwater,FALSE,FALSE,FALSE,,,FALSE,TRUE,,,,,,,catfish,NA,NA,,,,
3504-8,1450000000000,68,subSuperTrial,distr22,pug,target,3,4,dog,animal,pig,distrClass2,2,2,NA,animal,rabbit,distrClass2,4,3,NA,animal,1,1,0,dog,,1450000000000,dog,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,pug,NA,NA,,,,
6456-4,1450000000000,13,subSuperTrial,distr22,husky,target,3,3,dog,animal,squirrel,distrClass2,2,4,NA,animal,rabbit,distrClass2,4,2,NA,animal,1,1,0,dog,,1450000000000,dog,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,husky,NA,NA,,,,
5239-5,1450000000000,51,subSuperTrial,distr22,germanShepherd,target,4,3,dog,animal,chick,distrClass2,2,2,NA,animal,rhino,distrClass2,3,4,NA,animal,1,1,0,german shepard,,1450000000000,german shepard,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,germanShepherd,NA,NA,,,,
