gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,typeAttributeMentioned,noAttrOrLevelMentioned,basiclevelAttributeMentioned,basiclevelMentioned,superClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
4517-f,1450000000000,69,subSuperTrial,distr12,sportsCar,target,4,2,car,vehicle,sedan,distrClass1,3,4,car,vehicle,ambulance,distrClass2,2,3,NA,vehicle,1,1,0,white car,,1450000000000,white car,FALSE,TRUE,FALSE,,,FALSE,,TRUE,,,,,,sportsCar,NA,NA,,,,
3293-5,1450000000000,18,subSuperTrial,distr12,coffeeTable,target,4,4,table,furniture,sideTable,distrClass1,2,2,table,furniture,bed,distrClass2,3,3,NA,furniture,3,2,1,short table___yes,coffee table?,1449256575620___1449256583966___1449256600567,short table,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,,,coffeeTable,NA,NA,,,,
2919-a,1450000000000,4,subSuperTrial,distr12,pandaBear,target,3,3,bear,animal,koalaBear,distrClass1,4,4,bear,animal,bison,distrClass2,2,2,NA,animal,1,1,0,panda,,1450000000000,panda,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,pandaBear,NA,NA,,,,
5076-0,1450000000000,31,subSuperTrial,distr12,hummingBird,target,3,3,bird,animal,sparrow,distrClass1,4,2,bird,animal,bison,distrClass2,2,4,NA,animal,1,1,0,Hummingbird,,1450000000000,Hummingbird,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,hummingBird,NA,NA,,,,
5628-2,1450000000000,11,subSuperTrial,distr12,polarBear,target,3,4,bear,animal,koalaBear,distrClass1,2,3,bear,animal,bison,distrClass2,4,2,NA,animal,1,1,0,polar bear,,1450000000000,polar bear,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,polarBear,NA,NA,,,,
4517-f,1450000000000,41,subSuperTrial,distr12,convertible,target,2,4,car,vehicle,sedan,distrClass1,4,2,car,vehicle,ambulance,distrClass2,3,3,NA,vehicle,1,1,0,top down car,,1450000000000,top down car,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,convertible,NA,NA,,,,
2195-2,1450000000000,23,subSuperTrial,distr12,suv,target,2,4,car,vehicle,sedan,distrClass1,3,3,car,vehicle,ambulance,distrClass2,4,2,NA,vehicle,1,1,0,WHITE SUV,,1450000000000,WHITE SUV,FALSE,TRUE,TRUE,,,FALSE,,,,,,,,suv,NA,NA,,,,
4393-a,1450000000000,64,subSuperTrial,distr12,tShirt,target,4,2,shirt,clothing,campShirt,distrClass1,3,3,shirt,clothing,bathrobe,distrClass2,2,4,NA,clothing,1,1,0,t-shirt,,1450000000000,t-shirt,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,tShirt,NA,NA,,,,
8684-3,1450000000000,44,subSuperTrial,distr12,picnicTable,target,4,3,table,furniture,sideTable,distrClass1,2,4,table,furniture,bed,distrClass2,3,2,NA,furniture,1,1,0,can sit and eat at it,,1450000000000,can sit and eat at it,FALSE,FALSE,FALSE,,,FALSE,TRUE,,,,,,,picnicTable,NA,NA,,,,
4842-f,1450000000000,3,subSuperTrial,distr12,coffeeTable,target,4,3,table,furniture,sideTable,distrClass1,3,4,table,furniture,bed,distrClass2,2,2,NA,furniture,3,1,2,something id put my feet on when play xbox,?___ok,1449259638495___1449259638800___1449259645692,something id put my feet on when play xbox,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,coffeeTable,NA,NA,,,,
4517-f,1450000000000,7,subSuperTrial,distr12,goldFish,target,2,3,fish,animal,discusFish,distrClass1,3,4,fish,animal,bison,distrClass2,4,2,NA,animal,2,2,0,im confused this is so easy___goldfish,,1449255199408___1449255200217,im confused this is so easy,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,goldFish,NA,NA,,,,
2919-a,1450000000000,27,subSuperTrial,distr12,pug,target,3,3,dog,animal,greyhound,distrClass1,4,2,dog,animal,bison,distrClass2,2,4,NA,animal,1,1,0,pug,,1450000000000,pug,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,pug,NA,NA,,,,
5076-0,1450000000000,2,subSuperTrial,distr12,parrot,target,3,3,bird,animal,sparrow,distrClass1,4,2,bird,animal,bison,distrClass2,2,4,NA,animal,2,1,1,It is the most colorful,GOT IT,1449254431693___1449254434559,It is the most colorful,FALSE,FALSE,FALSE,TRUE,TRUE,x,,,,,,,TRUE,parrot,NA,NA,,,,
2195-2,1450000000000,10,subSuperTrial,distr12,minivan,target,4,2,car,vehicle,sedan,distrClass1,3,4,car,vehicle,ambulance,distrClass2,2,3,NA,vehicle,1,1,0,WHITE VAN,,1450000000000,WHITE VAN,FALSE,TRUE,TRUE,,,FALSE,,,,,,,,minivan,NA,NA,,,,
5934-3,1450000000000,56,subSuperTrial,distr12,convertible,target,4,3,car,vehicle,sedan,distrClass1,3,4,car,vehicle,ambulance,distrClass2,2,2,NA,vehicle,3,3,0,yeah,,,,,,,,,x,,,,,,,,,,,,,,
5934-3,1450000000000,66,subSuperTrial,distr12,swordFish,target,4,2,fish,animal,discusFish,distrClass1,2,4,fish,animal,bison,distrClass2,3,3,NA,animal,2,2,0,my aunt has an African grey,,,,,,,,,x,,,,,,,,,,,,,,
9807-5,1450000000000,29,subSuperTrial,distr12,skittles,target,4,2,candy,snack,candyCorn,distrClass1,2,3,candy,snack,cookies,distrClass2,3,4,NA,snack,1,1,0,skittles,,1450000000000,skittles,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,skittles,NA,NA,,,,
1223-7,1450000000000,55,subSuperTrial,distr12,catfish,target,2,3,fish,animal,discusFish,distrClass1,3,4,fish,animal,cow,distrClass2,4,2,NA,animal,1,1,0,cat fish,,1450000000000,cat fish,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,catfish,NA,NA,,,,
4517-f,1450000000000,11,subSuperTrial,distr12,polarBear,target,3,4,bear,animal,koalaBear,distrClass1,2,2,bear,animal,cow,distrClass2,4,3,NA,animal,1,1,0,polar bear,,1450000000000,polar bear,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,polarBear,NA,NA,,,,
2195-2,1450000000000,72,subSuperTrial,distr12,pigeon,target,3,4,bird,animal,sparrow,distrClass1,2,2,bird,animal,crocodile,distrClass2,4,3,NA,animal,1,1,0,PIGEON,,1450000000000,PIGEON,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,pigeon,NA,NA,,,,
8258-f,1450000000000,24,subSuperTrial,distr12,pandaBear,target,3,4,bear,animal,koalaBear,distrClass1,4,3,bear,animal,elephant,distrClass2,2,2,NA,animal,1,1,0,panda,,1450000000000,panda,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,pandaBear,NA,NA,,,,
8258-f,1450000000000,49,subSuperTrial,distr12,eagle,target,3,2,bird,animal,sparrow,distrClass1,2,3,bird,animal,elephant,distrClass2,4,4,NA,animal,2,2,0,eagle___eagle,,1449254733149___1449254734173,eagle,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,eagle,NA,NA,,,,
5239-5,1450000000000,36,subSuperTrial,distr12,convertible,target,3,2,car,vehicle,sedan,distrClass1,2,4,car,vehicle,firetruck,distrClass2,4,3,NA,vehicle,1,1,0,silver one,,1450000000000,silver one,FALSE,TRUE,FALSE,,,x,,,,,,TRUE,,convertible,NA,NA,,,,
4452-5,1450000000000,50,subSuperTrial,distr12,rose,target,2,3,flower,plant,lily,distrClass1,3,4,flower,plant,grasses,distrClass2,4,2,NA,plant,1,1,0,rose,,1450000000000,rose,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,rose,NA,NA,,,,
5628-2,1450000000000,33,subSuperTrial,distr12,sunflower,target,3,2,flower,plant,lily,distrClass1,4,3,flower,plant,grasses,distrClass2,2,4,NA,plant,1,1,0,yellow,,1450000000000,yellow,FALSE,TRUE,FALSE,,,x,,,,,,,,sunflower,NA,NA,,,,
3293-5,1450000000000,3,subSuperTrial,distr12,germanShepherd,target,4,3,dog,animal,greyhound,distrClass1,3,2,dog,animal,lion,distrClass2,2,4,NA,animal,5,3,2,dog___black___pointy,there are 2___tell me about the ears,1449256239712___1449256256785___1449256259118___1449256278376___1449256287527,dog,FALSE,TRUE,FALSE,TRUE,,FALSE,,TRUE,,,,,,germanShepherd,NA,NA,,,,
5975-e,1450000000000,6,subSuperTrial,distr12,daisy,target,4,2,flower,plant,lily,distrClass1,3,4,flower,plant,rosemary,distrClass2,2,3,NA,plant,1,1,0,fower with yellow center,,1450000000000,fower with yellow center,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,TRUE,,,,,,daisy,NA,NA,,,,
7111-e,1450000000000,9,subSuperTrial,distr12,grizzlyBear,target,2,3,bear,animal,koalaBear,distrClass1,4,2,bear,animal,sheep,distrClass2,3,4,NA,animal,1,1,0,brown meanie,,1450000000000,brown meanie,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,,,grizzlyBear,NA,NA,,,,
2195-2,1450000000000,51,subSuperTrial,distr12,bedsideTable,target,2,2,table,furniture,sideTable,distrClass1,4,4,table,furniture,wardrobe,distrClass2,3,3,NA,furniture,1,1,0,DRAWERS,,1450000000000,DRAWERS,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,bedsideTable,NA,NA,,,,
0198-d,1450000000000,28,subSuperTrial,distr12,coffeeTable,target,4,4,table,furniture,sideTable,distrClass1,3,2,table,furniture,bookcase,distrClass2,2,3,NA,furniture,1,1,0,short table,,1450000000000,short table,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,TRUE,,,,,,coffeeTable,NA,NA,,,,
3504-8,1450000000000,51,subSuperTrial,distr12,picnicTable,target,2,2,table,furniture,sideTable,distrClass1,4,3,table,furniture,bookcase,distrClass2,3,4,NA,furniture,1,1,0,picnic table,,1450000000000,picnic table,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,picnicTable,NA,NA,,,,
7830-a,1450000000000,35,subSuperTrial,distr12,coffeeTable,target,4,3,table,furniture,sideTable,distrClass1,3,4,table,furniture,bookcase,distrClass2,2,2,NA,furniture,1,1,0,coffee,,1450000000000,coffee,FALSE,FALSE,TRUE,,,FALSE,,,,,TRUE,,,coffeeTable,NA,NA,,,,
2195-2,1450000000000,17,subSuperTrial,distr12,husky,target,2,2,dog,animal,greyhound,distrClass1,3,4,dog,animal,chick,distrClass2,4,3,NA,animal,1,1,0,WOLF,,1450000000000,WOLF,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,husky,NA,NA,,,,
3293-5,1450000000000,47,subSuperTrial,distr12,mnMs,target,4,2,candy,snack,candyCorn,distrClass1,3,4,candy,snack,chips,distrClass2,2,3,NA,snack,1,1,0,m & m,,1450000000000,m & m,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,mnMs,NA,NA,,,,
8935-b,1450000000000,11,subSuperTrial,distr12,gummyBears,target,4,3,candy,snack,candyCorn,distrClass1,3,2,candy,snack,chips,distrClass2,2,4,NA,snack,1,1,0,Rainbow,,1450000000000,Rainbow,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,gummyBears,NA,NA,,,,
0198-d,1450000000000,40,subSuperTrial,distr12,grizzlyBear,target,3,4,bear,animal,koalaBear,distrClass1,4,2,bear,animal,cow,distrClass2,2,3,NA,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,grizzlyBear,NA,NA,,,,
5975-e,1450000000000,36,subSuperTrial,distr12,hawaiiShirt,target,2,4,shirt,clothing,campShirt,distrClass1,4,2,shirt,clothing,dress,distrClass2,3,3,NA,clothing,1,1,0,hawiian,,1450000000000,hawiian,FALSE,FALSE,TRUE,,,FALSE,,,,,TRUE,,,hawaiiShirt,NA,NA,,,,
6456-4,1450000000000,32,subSuperTrial,distr12,sportsCar,target,2,2,car,vehicle,sedan,distrClass1,3,4,car,vehicle,firetruck,distrClass2,4,3,NA,vehicle,1,1,0,silver car,,1450000000000,silver car,FALSE,TRUE,FALSE,,,FALSE,,TRUE,,,,,,sportsCar,NA,NA,,,,
4452-5,1450000000000,26,subSuperTrial,distr12,sportsCar,target,4,2,car,vehicle,sedan,distrClass1,3,4,car,vehicle,firetruck,distrClass2,2,3,NA,vehicle,1,1,0,silver sportscar,,1450000000000,silver sportscar,FALSE,TRUE,TRUE,,,FALSE,,,,,,,,sportsCar,NA,NA,,,,
9807-5,1450000000000,14,subSuperTrial,distr12,poloShirt,target,2,3,shirt,clothing,campShirt,distrClass1,3,2,shirt,clothing,gloves,distrClass2,4,4,NA,clothing,1,1,0,polo shirt,,1450000000000,polo shirt,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,poloShirt,NA,NA,,,,
2919-a,1450000000000,53,subSuperTrial,distr12,daisy,target,2,3,flower,plant,lily,distrClass1,4,4,flower,plant,grasses,distrClass2,3,2,NA,plant,1,1,0,yellow middle,,1450000000000,yellow middle,FALSE,TRUE,FALSE,,,x,,,,,,,,daisy,NA,NA,,,,
8684-3,1450000000000,21,subSuperTrial,distr12,clownFish,target,2,3,fish,animal,discusFish,distrClass1,3,4,fish,animal,horse,distrClass2,4,2,NA,animal,1,1,0,has a white stripe behind face,,1450000000000,has a white stripe behind face,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,clownFish,NA,NA,,,,
3695-5,1450000000000,45,subSuperTrial,distr12,goldFish,target,2,2,fish,animal,discusFish,distrClass1,4,4,fish,animal,horse,distrClass2,3,3,NA,animal,1,1,0,goldfish,,1450000000000,goldfish,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,goldFish,NA,NA,,,,
0198-d,1450000000000,53,subSuperTrial,distr12,catfish,target,4,3,fish,animal,discusFish,distrClass1,3,4,fish,animal,iguana,distrClass2,2,2,NA,animal,1,1,0,catfish,,1450000000000,catfish,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,catfish,NA,NA,,,,
8684-3,1450000000000,42,subSuperTrial,distr12,pigeon,target,3,3,bird,animal,sparrow,distrClass1,4,2,bird,animal,iguana,distrClass2,2,4,NA,animal,1,1,0,flies and white/grey,,1450000000000,flies and white/grey,FALSE,TRUE,FALSE,,,FALSE,TRUE,,,,,,,pigeon,NA,NA,,,,
4842-f,1450000000000,15,subSuperTrial,distr12,goldFish,target,2,4,fish,animal,discusFish,distrClass1,3,3,fish,animal,kitten,distrClass2,4,2,NA,animal,1,1,0,sometimes get flushed,,1450000000000,sometimes get flushed,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,goldFish,NA,NA,,,,
5628-2,1450000000000,70,subSuperTrial,distr12,pandaBear,target,3,3,bear,animal,koalaBear,distrClass1,2,4,bear,animal,kitten,distrClass2,4,2,NA,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,pandaBear,NA,NA,,,,
3695-5,1450000000000,25,subSuperTrial,distr12,sportsCar,target,4,3,car,vehicle,sedan,distrClass1,3,2,car,vehicle,motorcycle,distrClass2,2,4,NA,vehicle,1,1,0,silver car,,1450000000000,silver car,FALSE,TRUE,FALSE,,,FALSE,,TRUE,,,,,,sportsCar,NA,NA,,,,
2919-a,1450000000000,31,subSuperTrial,distr12,clownFish,target,3,4,fish,animal,discusFish,distrClass1,2,2,fish,animal,pig,distrClass2,4,3,NA,animal,1,1,0,nemo - clown fish,,1450000000000,nemo - clown fish,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,clownFish,NA,NA,,,,
4452-5,1450000000000,59,subSuperTrial,distr12,germanShepherd,target,3,3,dog,animal,greyhound,distrClass1,2,4,dog,animal,pig,distrClass2,4,2,NA,animal,4,2,2,blackish dog___yeah that's it,the sheperd?___or whippet,1449254922593___1449254932610___1449254937373___1449254939322,blackish dog,FALSE,TRUE,FALSE,,,FALSE,,TRUE,,,,,,germanShepherd,NA,NA,,,,
5975-e,1450000000000,14,subSuperTrial,distr12,gummyBears,target,3,3,candy,snack,candyCorn,distrClass1,2,4,candy,snack,popcorn,distrClass2,4,2,NA,snack,1,1,0,gummies,,1450000000000,gummies,FALSE,FALSE,TRUE,,,FALSE,,,,,TRUE,,,gummyBears,NA,NA,,,,
8430-f,1450000000000,7,subSuperTrial,distr12,jellyBeans,target,4,2,candy,snack,candyCorn,distrClass1,3,3,candy,snack,popcorn,distrClass2,2,4,NA,snack,1,1,0,jelly beans,,1450000000000,jelly beans,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,jellyBeans,NA,NA,,,,
4517-f,1450000000000,4,subSuperTrial,distr12,rose,target,4,4,flower,plant,lily,distrClass1,2,2,flower,plant,pottedPlant,distrClass2,3,3,NA,plant,1,1,0,red rose,,1450000000000,red rose,FALSE,TRUE,TRUE,,,FALSE,,,,,,,,rose,NA,NA,,,,
5512-7,1450000000000,28,subSuperTrial,distr12,tulip,target,4,2,flower,plant,lily,distrClass1,3,4,flower,plant,pottedPlant,distrClass2,2,3,NA,plant,1,1,0,tulip,,1450000000000,tulip,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,tulip,NA,NA,,,,
6456-4,1450000000000,8,subSuperTrial,distr12,mnMs,target,3,2,candy,snack,candyCorn,distrClass1,2,4,candy,snack,pretzels,distrClass2,4,3,NA,snack,1,1,0,m m,,1450000000000,m m,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,mnMs,NA,NA,,,,
8430-f,1450000000000,1,subSuperTrial,distr12,pandaBear,target,4,4,bear,animal,koalaBear,distrClass1,2,2,bear,animal,rabbit,distrClass2,3,3,NA,animal,1,1,0,panda,,1450000000000,panda,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,pandaBear,NA,NA,,,,
3695-5,1450000000000,20,subSuperTrial,distr12,hummingBird,target,3,4,bird,animal,sparrow,distrClass1,2,2,bird,animal,rabbit,distrClass2,4,3,NA,animal,1,1,0,flying bird,,1450000000000,flying bird,FALSE,FALSE,FALSE,TRUE,,FALSE,TRUE,TRUE,,,,,,hummingBird,NA,NA,,,,“flying bird” in distr12: the bird (BL) which is flying (superclass attribute) RIGHT NOW
5076-0,1450000000000,30,subSuperTrial,distr12,goldFish,target,4,3,fish,animal,discusFish,distrClass1,3,4,fish,animal,sheep,distrClass2,2,2,NA,animal,1,1,0,Goldfish,,1450000000000,Goldfish,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,goldFish,NA,NA,,,,
7830-a,1450000000000,1,subSuperTrial,distr12,catfish,target,2,4,fish,animal,discusFish,distrClass1,3,2,fish,animal,sheep,distrClass2,4,3,NA,animal,1,1,0,cat,,1450000000000,cat,FALSE,FALSE,TRUE,,,FALSE,,,,,TRUE,,,catfish,NA,NA,,,,
5076-0,1450000000000,45,subSuperTrial,distr12,clownFish,target,4,2,fish,animal,discusFish,distrClass1,2,3,fish,animal,snake,distrClass2,3,4,NA,animal,1,1,0,Clown fish,,1450000000000,Clown fish,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,clownFish,NA,NA,,,,
4452-5,1450000000000,15,subSuperTrial,distr12,husky,target,3,3,dog,animal,greyhound,distrClass1,2,4,dog,animal,snake,distrClass2,4,2,NA,animal,1,1,0,husky,,1450000000000,husky,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,husky,NA,NA,,,,
9807-5,1450000000000,58,subSuperTrial,distr12,eagle,target,3,2,bird,animal,sparrow,distrClass1,2,3,bird,animal,snake,distrClass2,4,4,NA,animal,1,1,0,egle,,1450000000000,egle,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,eagle,NA,NA,,,,
4842-f,1450000000000,47,subSuperTrial,distr12,tShirt,target,4,2,shirt,clothing,campShirt,distrClass1,3,3,shirt,clothing,socks,distrClass2,2,4,NA,clothing,1,1,0,basic tee,,1450000000000,basic tee,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,tShirt,NA,NA,,,,
8684-3,1450000000000,23,subSuperTrial,distr12,bedsideTable,target,3,2,table,furniture,sideTable,distrClass1,4,3,table,furniture,wardrobe,distrClass2,2,4,NA,furniture,1,1,0,has 2 drawers,,1450000000000,has 2 drawers,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,bedsideTable,NA,NA,,,,
0198-d,1450000000000,27,subSuperTrial,distr12,parrot,target,4,4,bird,animal,sparrow,distrClass1,2,3,bird,animal,chick,distrClass2,3,2,NA,animal,1,1,0,parrot,,1450000000000,parrot,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,parrot,NA,NA,,,,
8430-f,1450000000000,19,subSuperTrial,distr12,skittles,target,2,2,candy,snack,candyCorn,distrClass1,4,3,candy,snack,chips,distrClass2,3,4,NA,snack,1,1,0,skittles,,1450000000000,skittles,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,skittles,NA,NA,,,,
7830-a,1450000000000,12,subSuperTrial,distr12,gummyBears,target,3,4,candy,snack,candyCorn,distrClass1,2,3,candy,snack,chips,distrClass2,4,2,NA,snack,1,1,0,gummy,,1450000000000,gummy,FALSE,FALSE,TRUE,,,FALSE,,,,,TRUE,,,gummyBears,NA,NA,,,,
2919-a,1450000000000,41,subSuperTrial,distr12,gummyBears,target,3,2,candy,snack,candyCorn,distrClass1,2,3,candy,snack,chips,distrClass2,4,4,NA,snack,1,1,0,gummy bears,,1450000000000,gummy bears,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,gummyBears,NA,NA,,,,
3158-b,1450000000000,14,subSuperTrial,distr12,blackBear,target,3,4,bear,animal,koalaBear,distrClass1,4,3,bear,animal,cow,distrClass2,2,2,NA,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,blackBear,NA,NA,,,,
5975-e,1450000000000,54,subSuperTrial,distr12,blackBear,target,4,3,bear,animal,koalaBear,distrClass1,3,2,bear,animal,cow,distrClass2,2,4,NA,animal,1,1,0,black solid,,1450000000000,black solid,FALSE,TRUE,FALSE,,,x,,,,,,,,blackBear,NA,NA,,,,
5076-0,1450000000000,17,subSuperTrial,distr12,grizzlyBear,target,4,3,bear,animal,koalaBear,distrClass1,2,2,bear,animal,crocodile,distrClass2,3,4,NA,animal,1,1,0,Large and furry,,,,TRUE,,,TRUE,,FALSE,TRUE,,,,,,,,,,,,,
4842-f,1450000000000,70,subSuperTrial,distr12,poloShirt,target,4,4,shirt,clothing,campShirt,distrClass1,3,3,shirt,clothing,dress,distrClass2,2,2,NA,clothing,1,1,0,only has 3 buttones,,1450000000000,only has 3 buttones,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,poloShirt,NA,NA,,,,
3695-5,1450000000000,21,subSuperTrial,distr12,tShirt,target,3,2,shirt,clothing,campShirt,distrClass1,4,4,shirt,clothing,dress,distrClass2,2,3,NA,clothing,1,1,0,short sleeve no buttons,,1450000000000,short sleeve no buttons,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,TRUE,,,,,,tShirt,NA,NA,,,,
3504-8,1450000000000,72,subSuperTrial,distr12,hawaiiShirt,target,2,3,shirt,clothing,campShirt,distrClass1,3,4,shirt,clothing,dress,distrClass2,4,2,NA,clothing,1,1,0,shirt with pattern,,1450000000000,shirt with pattern,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,TRUE,,,,,,hawaiiShirt,NA,NA,,,,
8286-0,1450000000000,11,subSuperTrial,distr12,poloShirt,target,3,3,shirt,clothing,campShirt,distrClass1,2,4,shirt,clothing,dress,distrClass2,4,2,NA,clothing,1,1,0,polo,,1450000000000,polo,FALSE,FALSE,TRUE,,,FALSE,,,,,TRUE,,,poloShirt,NA,NA,,,,
8684-3,1450000000000,17,subSuperTrial,distr12,swordFish,target,3,3,fish,animal,discusFish,distrClass1,4,4,fish,animal,elephant,distrClass2,2,2,NA,animal,1,1,0,swims and has long nose,,1450000000000,swims and has long nose,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,,,,,,swordFish,NA,NA,,,,
3293-5,1450000000000,71,subSuperTrial,distr12,hummingBird,target,4,3,bird,animal,sparrow,distrClass1,3,2,bird,animal,elephant,distrClass2,2,4,NA,animal,1,1,0,humminbird,,1450000000000,humminbird,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,hummingBird,NA,NA,,,,
9551-7,1450000000000,54,subSuperTrial,distr12,parrot,target,3,2,bird,animal,sparrow,distrClass1,2,4,bird,animal,elephant,distrClass2,4,3,NA,animal,1,1,0,red bird,,1450000000000,red bird,FALSE,TRUE,FALSE,,,FALSE,,TRUE,,,,,,parrot,NA,NA,,,,
6456-4,1450000000000,26,subSuperTrial,distr12,convertible,target,3,3,car,vehicle,sedan,distrClass1,4,2,car,vehicle,firetruck,distrClass2,2,4,NA,vehicle,1,1,0,convertable,,1450000000000,convertable,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,convertible,NA,NA,,,,
3504-8,1450000000000,47,subSuperTrial,distr12,poloShirt,target,3,4,shirt,clothing,campShirt,distrClass1,2,2,shirt,clothing,gloves,distrClass2,4,3,NA,clothing,1,1,0,less buttons shirt,,1450000000000,less buttons shirt,FALSE,FALSE,FALSE,TRUE,,FALSE,,TRUE,,,,,,poloShirt,NA,NA,,,,
4452-5,1450000000000,47,subSuperTrial,distr12,poloShirt,target,2,2,shirt,clothing,campShirt,distrClass1,3,3,shirt,clothing,gloves,distrClass2,4,4,NA,clothing,1,1,0,shirt without buttons,,1450000000000,shirt without buttons,FALSE,FALSE,FALSE,TRUE,,FALSE,,TRUE,,,,,,poloShirt,NA,NA,,,,
4517-f,1450000000000,54,subSuperTrial,distr12,sunflower,target,3,4,flower,plant,lily,distrClass1,4,2,flower,plant,grasses,distrClass2,2,3,NA,plant,1,1,0,sunflower,,1450000000000,sunflower,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,sunflower,NA,NA,,,,
5239-5,1450000000000,4,subSuperTrial,distr12,tulip,target,3,3,flower,plant,lily,distrClass1,4,2,flower,plant,grasses,distrClass2,2,4,NA,plant,1,1,0,red flower,,1450000000000,red flower,FALSE,TRUE,FALSE,,,FALSE,,TRUE,,,,,,tulip,NA,NA,,,,
4393-a,1450000000000,30,subSuperTrial,distr12,germanShepherd,target,2,4,dog,animal,greyhound,distrClass1,4,2,dog,animal,horse,distrClass2,3,3,NA,animal,1,1,0,Dog with right leg further forward than left - black fur on dog,,1450000000000,Dog with right leg further forward than left - black fur on dog,FALSE,FALSE,FALSE,TRUE,,FALSE,TRUE,TRUE,,,,,,germanShepherd,NA,NA,,,,
3695-5,1450000000000,43,subSuperTrial,distr12,husky,target,2,4,dog,animal,greyhound,distrClass1,4,3,dog,animal,horse,distrClass2,3,2,NA,animal,1,1,0,husky,,1450000000000,husky,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,husky,NA,NA,,,,
8258-f,1450000000000,58,subSuperTrial,distr12,swordFish,target,2,3,fish,animal,discusFish,distrClass1,3,2,fish,animal,iguana,distrClass2,4,4,NA,animal,1,1,0,swordfish,,1450000000000,swordfish,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,swordFish,NA,NA,,,,
5512-7,1450000000000,51,subSuperTrial,distr12,sunflower,target,2,3,flower,plant,lily,distrClass1,4,2,flower,plant,ivy,distrClass2,3,4,NA,plant,1,1,0,yellow,,1450000000000,yellow,FALSE,TRUE,FALSE,,,x,,,,,,,,sunflower,NA,NA,,,,
