labels
ambulance, sportsCar
bed, coffeeTable
bison, pandaBear
bison, hummingBird
bison, polarBear
ambulance, convertible
ambulance, suv
bathrobe, tShirt
bed, picnicTable
bed, coffeeTable
bison, goldFish
bison, pug
bison, parrot
ambulance, minivan
ambulance, convertible
bison, swordFish
cookies, skittles
cow, catfish
cow, polarBear
crocodile, pigeon
elephant, pandaBear
elephant, eagle
firetruck, convertible
grasses, rose
grasses, sunflower
lion, germanShepherd
rosemary, daisy
sheep, grizzlyBear
wardrobe, bedsideTable
bookcase, coffeeTable
bookcase, picnicTable
bookcase, coffeeTable
chick, husky
chips, mnMs
chips, gummyBears
cow, grizzlyBear
dress, hawaiiShirt
firetruck, sportsCar
firetruck, sportsCar
gloves, poloShirt
grasses, daisy
horse, clownFish
horse, goldFish
iguana, catfish
iguana, pigeon
kitten, goldFish
kitten, pandaBear
motorcycle, sportsCar
pig, clownFish
pig, germanShepherd
popcorn, gummyBears
popcorn, jellyBeans
pottedPlant, rose
pottedPlant, tulip
pretzels, mnMs
rabbit, pandaBear
rabbit, hummingBird
sheep, goldFish
sheep, catfish
snake, clownFish
snake, husky
snake, eagle
socks, tShirt
wardrobe, bedsideTable
chick, parrot
chips, skittles
chips, gummyBears
chips, gummyBears
cow, blackBear
cow, blackBear
crocodile, grizzlyBear
dress, poloShirt
dress, tShirt
dress, hawaiiShirt
dress, poloShirt
elephant, swordFish
elephant, hummingBird
elephant, parrot
firetruck, convertible
gloves, poloShirt
gloves, poloShirt
grasses, sunflower
grasses, tulip
horse, germanShepherd
horse, husky
iguana, swordFish
ivy, sunflower
ivy, sunflower
ivy, tulip
ivy, daisy
ivy, rose
ivy, sunflower
ivy, rose
kitten, germanShepherd
lamp, bedsideTable
lobster, parrot
motorcycle, sportsCar
motorcycle, minivan
motorcycle, suv
pig, polarBear
popcorn, skittles
popcorn, jellyBeans
pottedPlant, daisy
pretzels, skittles
pretzels, skittles
rabbit, dalmatian
rabbit, pug
rhino, goldFish
rosemary, sunflower
rosemary, daisy
rosemary, rose
sheep, swordFish
sheep, pug
snake, polarBear
socks, tShirt
socks, dressShirt
squirrel, pug
squirrel, parrot
squirrel, parrot
squirrel, parrot
train, minivan
train, sportsCar
wardrobe, picnicTable
bathrobe, dressShirt
bathrobe, hawaiiShirt
popcorn, gummyBears
pretzels, gummyBears
cow, germanShepherd
crocodile, germanShepherd
crocodile, husky
lion, pug
lobster, husky
sheep, germanShepherd
snake, husky
squirrel, dalmatian
rosemary, rose
motorcycle, suv
gloves, hawaiiShirt
chips, jellyBeans
cookies, jellyBeans
pretzels, skittles
popcorn, jellyBeans
popcorn, skittles
cow, goldFish
horse, goldFish
kitten, goldFish
lion, catfish
snake, goldFish
horse, dalmatian
lion, germanShepherd
lion, pug
lobster, pug
sheep, germanShepherd
bison, blackBear
elephant, blackBear
lobster, blackBear
chick, polarBear
cow, blackBear
cow, pandaBear
elephant, polarBear
pig, polarBear
ivy, daisy
ivy, daisy
rosemary, tulip
ambulance, sportsCar
ambulance, minivan
motorcycle, convertible
firetruck, suv
motorcycle, sportsCar
train, convertible
bookcase, diningTable
bookcase, picnicTable
sheep, pigeon
kitten, pigeon
dress, poloShirt
gloves, poloShirt
dress, dressShirt
gloves, poloShirt
socks, hawaiiShirt
chips, skittles
chips, mnMs
cookies, mnMs
cookies, skittles
cookies, gummyBears
popcorn, gummyBears
chips, jellyBeans
pretzels, mnMs
pretzels, skittles
pretzels, gummyBears
horse, clownFish
rhino, swordFish
squirrel, clownFish
squirrel, goldFish
cow, goldFish
lobster, catfish
pig, catfish
pig, catfish
rhino, swordFish
cow, swordFish
horse, goldFish
squirrel, catfish
iguana, germanShepherd
lion, pug
cow, husky
bison, pandaBear
elephant, pandaBear
pig, pandaBear
squirrel, grizzlyBear
cow, grizzlyBear
lobster, grizzlyBear
snake, grizzlyBear
grasses, daisy
pottedPlant, rose
pottedPlant, daisy
grasses, daisy
grasses, rose
rosemary, tulip
pottedPlant, rose
rosemary, daisy
train, suv
motorcycle, sportsCar
train, suv
train, suv
bed, diningTable
bed, picnicTable
bed, picnicTable
bookcase, bedsideTable
