,gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,alt3Name,alt3TargetStatus,alt3SpLocs,alt3LisLocs,alt3Basiclevel,alt3superdomain,alt4Name,alt4TargetStatus,alt4SpLocs,alt4LisLocs,alt4Basiclevel,alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,basiclevelMentioned,superClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,X,notes
4,4452-5,1450000000000,4,subSuperTrial,distr33,catfish,target,3,2,fish,animal,blackStimulus,NA,1,1,NA,NA,rosemary,distrClass3,4,4,NA,plant,blackStimulus,NA,5,5,NA,NA,cookies,distrClass3,2,3,NA,snack,2,1,1,fish (catfish,,,,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,,,,,NA,NA,
5,4452-5,1450000000000,5,subSuperTrial,distr12,jellyBeans,target,3,3,candy,snack,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,candyCorn,distrClass1,2,4,candy,snack,popcorn,distrClass2,4,2,NA,snack,1,1,0,jellybeans,,1450000000000,jellybeans,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,jellyBeans,NA,NA,,NA,NA,
6,4452-5,1450000000000,6,subSuperTrial,distr22,tulip,target,4,2,flower,plant,blackStimulus,NA,1,1,NA,NA,ivy,distrClass2,2,4,NA,plant,blackStimulus,NA,5,5,NA,NA,rosemary,distrClass2,3,3,NA,plant,1,1,0,tulip,,1450000000000,tulip,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,tulip,NA,NA,,NA,NA,
8,4452-5,1450000000000,8,subSuperTrial,distr33,skittles,target,2,4,candy,snack,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,bathrobe,distrClass3,4,2,NA,clothing,gloves,distrClass3,3,3,NA,clothing,1,1,0,skittles,,1450000000000,skittles,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,skittles,NA,NA,,NA,NA,
15,4452-5,1450000000000,15,subSuperTrial,distr12,husky,target,3,3,dog,animal,blackStimulus,NA,1,1,NA,NA,greyhound,distrClass1,2,4,dog,animal,snake,distrClass2,4,2,NA,animal,blackStimulus,NA,5,5,NA,NA,1,1,0,husky,,1450000000000,husky,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,husky,NA,NA,,NA,NA,
19,4452-5,1450000000000,19,subSuperTrial,distr33,hummingBird,target,3,4,bird,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,train,distrClass3,4,3,NA,vehicle,firetruck,distrClass3,2,2,NA,vehicle,1,1,0,bird,,1450000000000,bird,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,hummingBird,NA,NA,,NA,NA,
24,4452-5,1450000000000,24,subSuperTrial,distr22,parrot,target,2,2,bird,animal,blackStimulus,NA,5,5,NA,NA,lion,distrClass2,3,4,NA,animal,crocodile,distrClass2,4,3,NA,animal,blackStimulus,NA,1,1,NA,NA,1,1,0,parrot,,1450000000000,parrot,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,parrot,NA,NA,,NA,NA,
25,4452-5,1450000000000,25,subSuperTrial,distr22,minivan,target,3,3,car,vehicle,blackStimulus,NA,1,1,NA,NA,firetruck,distrClass2,4,4,NA,vehicle,blackStimulus,NA,5,5,NA,NA,motorcycle,distrClass2,2,2,NA,vehicle,1,1,0,van,,1450000000000,van,FALSE,FALSE,TRUE,NA,NA,NA,NA,TRUE,NA,NA,minivan,NA,NA,,NA,NA,
26,4452-5,1450000000000,26,subSuperTrial,distr12,sportsCar,target,4,2,car,vehicle,blackStimulus,NA,5,5,NA,NA,sedan,distrClass1,3,4,car,vehicle,firetruck,distrClass2,2,3,NA,vehicle,blackStimulus,NA,1,1,NA,NA,1,1,0,silver sportscar,,1450000000000,silver sportscar,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,sportsCar,NA,NA,,NA,NA,
27,4452-5,1450000000000,27,subSuperTrial,distr22,pug,target,4,4,dog,animal,blackStimulus,NA,5,5,NA,NA,chick,distrClass2,2,2,NA,animal,iguana,distrClass2,3,3,NA,animal,blackStimulus,NA,1,1,NA,NA,1,1,0,pug,,1450000000000,pug,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,pug,NA,NA,,NA,NA,
