,gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,alt3Name,alt3TargetStatus,alt3SpLocs,alt3LisLocs,alt3Basiclevel,alt3superdomain,alt4Name,alt4TargetStatus,alt4SpLocs,alt4LisLocs,alt4Basiclevel,alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,basiclevelMentioned,superClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,X,notes
28,4452-5,1450000000000,28,subSuperTrial,distr33,grizzlyBear,target,3,2,bear,animal,blackStimulus,NA,5,5,NA,NA,bathrobe,distrClass3,2,4,NA,clothing,blackStimulus,NA,1,1,NA,NA,bookcase,distrClass3,4,3,NA,furniture,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,grizzlyBear,NA,NA,,NA,NA,
29,4452-5,1450000000000,29,subSuperTrial,distr12,dalmatian,target,2,2,dog,animal,squirrel,distrClass2,3,4,NA,animal,greyhound,distrClass1,4,3,dog,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,dalmation,,1450000000000,dalmation,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,dalmatian,NA,NA,,NA,NA,
34,4452-5,1450000000000,34,subSuperTrial,distr22,convertible,target,4,2,car,vehicle,blackStimulus,NA,5,5,NA,NA,firetruck,distrClass2,3,3,NA,vehicle,blackStimulus,NA,1,1,NA,NA,motorcycle,distrClass2,2,4,NA,vehicle,1,1,0,sports car,,1450000000000,sports car,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,convertible,NA,NA,,NA,NA,
35,4452-5,1450000000000,35,subSuperTrial,distr33,clownFish,target,2,2,fish,animal,blackStimulus,NA,1,1,NA,NA,socks,distrClass3,3,4,NA,clothing,blackStimulus,NA,5,5,NA,NA,gloves,distrClass3,4,3,NA,clothing,1,1,0,fish,,1450000000000,fish,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,clownFish,NA,NA,,NA,NA,
40,4452-5,1450000000000,40,subSuperTrial,distr12,diningTable,target,2,3,table,furniture,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,bed,distrClass2,4,4,NA,furniture,sideTable,distrClass1,3,2,table,furniture,2,2,0,table that's facing us___not angled,,1449254768249___1449254779905,table that's facing us,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,diningTable,NA,NA,,NA,NA,
44,4452-5,1450000000000,44,subSuperTrial,distr23,coffeeTable,target,3,4,table,furniture,blackStimulus,NA,1,1,NA,NA,crocodile,distrClass3,4,3,NA,animal,blackStimulus,NA,5,5,NA,NA,lamp,distrClass2,2,2,NA,furniture,1,1,0,table,,1450000000000,table,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,coffeeTable,NA,NA,,NA,NA,
45,4452-5,1450000000000,45,subSuperTrial,distr23,mnMs,target,2,3,candy,snack,blackStimulus,NA,5,5,NA,NA,iguana,distrClass3,4,4,NA,animal,blackStimulus,NA,1,1,NA,NA,popcorn,distrClass2,3,2,NA,snack,1,1,0,m and m,,1450000000000,m and m,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,mnMs,NA,NA,,NA,NA,
46,4452-5,1450000000000,46,subSuperTrial,distr22,goldFish,target,3,3,fish,animal,blackStimulus,NA,5,5,NA,NA,iguana,distrClass2,4,4,NA,animal,pig,distrClass2,2,2,NA,animal,blackStimulus,NA,1,1,NA,NA,1,1,0,fish,,1450000000000,fish,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,goldFish,NA,NA,,NA,NA,
47,4452-5,1450000000000,47,subSuperTrial,distr12,poloShirt,target,2,2,shirt,clothing,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,campShirt,distrClass1,3,3,shirt,clothing,gloves,distrClass2,4,4,NA,clothing,1,1,0,shirt without buttons,,1450000000000,shirt without buttons,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,poloShirt,NA,NA,,NA,NA,
49,4452-5,1450000000000,49,subSuperTrial,distr23,suv,target,4,3,car,vehicle,blackStimulus,NA,5,5,NA,NA,elephant,distrClass3,3,4,NA,animal,firetruck,distrClass2,2,2,NA,vehicle,blackStimulus,NA,1,1,NA,NA,1,1,0,car,,1450000000000,car,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,suv,NA,NA,,NA,NA,
50,4452-5,1450000000000,50,subSuperTrial,distr12,rose,target,2,3,flower,plant,lily,distrClass1,3,4,flower,plant,grasses,distrClass2,4,2,NA,plant,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,rose,,1450000000000,rose,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,rose,NA,NA,,NA,NA,
51,4452-5,1450000000000,51,subSuperTrial,distr33,picnicTable,target,4,2,table,furniture,chick,distrClass3,2,4,NA,animal,blackStimulus,NA,5,5,NA,NA,kitten,distrClass3,3,3,NA,animal,blackStimulus,NA,1,1,NA,NA,1,1,0,picnic table,,1450000000000,picnic table,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,picnicTable,NA,NA,,NA,NA,
52,4452-5,1450000000000,52,subSuperTrial,distr23,daisy,target,3,2,flower,plant,grasses,distrClass2,4,4,NA,plant,snake,distrClass3,2,3,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,flower,,1450000000000,flower,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,daisy,NA,NA,,NA,NA,
56,4452-5,1450000000000,56,subSuperTrial,distr23,polarBear,target,3,2,bear,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,ivy,distrClass3,4,3,NA,plant,cow,distrClass2,2,4,NA,animal,2,1,1,polar bear,lol,1449254889822___1449254890790,polar bear,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,polarBear,NA,NA,,NA,NA,
57,4452-5,1450000000000,57,subSuperTrial,distr23,tShirt,target,2,4,shirt,clothing,blackStimulus,NA,1,1,NA,NA,rabbit,distrClass3,3,3,NA,animal,blackStimulus,NA,5,5,NA,NA,gloves,distrClass2,4,2,NA,clothing,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,tShirt,NA,NA,,NA,NA,
59,4452-5,1450000000000,59,subSuperTrial,distr12,germanShepherd,target,3,3,dog,animal,blackStimulus,NA,5,5,NA,NA,greyhound,distrClass1,2,4,dog,animal,pig,distrClass2,4,2,NA,animal,blackStimulus,NA,1,1,NA,NA,4,2,2,blackish dog___yeah that's it,the sheperd?___or whippet,1449254922593___1449254932610___1449254937373___1449254939322,blackish dog,FALSE,TRUE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,germanShepherd,NA,NA,,NA,NA,
60,4452-5,1450000000000,60,subSuperTrial,distr12,sunflower,target,4,3,flower,plant,lily,distrClass1,3,4,flower,plant,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,rosemary,distrClass2,2,2,NA,plant,1,1,0,sunflower,,1450000000000,sunflower,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,sunflower,NA,NA,,NA,NA,
61,4452-5,1450000000000,61,subSuperTrial,distr22,gummyBears,target,2,4,candy,snack,blackStimulus,NA,5,5,NA,NA,chips,distrClass2,3,3,NA,snack,cookies,distrClass2,4,2,NA,snack,blackStimulus,NA,1,1,NA,NA,1,1,0,gummy bears,,1450000000000,gummy bears,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,gummyBears,NA,NA,,NA,NA,
62,4452-5,1450000000000,62,subSuperTrial,distr22,blackBear,target,4,2,bear,animal,elephant,distrClass2,2,3,NA,animal,blackStimulus,NA,5,5,NA,NA,sheep,distrClass2,3,4,NA,animal,blackStimulus,NA,1,1,NA,NA,1,1,0,black bear,,1450000000000,black bear,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,blackBear,NA,NA,,NA,NA,
63,4452-5,1450000000000,63,subSuperTrial,distr22,eagle,target,2,3,bird,animal,bison,distrClass2,4,2,NA,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,squirrel,distrClass2,3,4,NA,animal,1,1,0,eagle,,1450000000000,eagle,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,eagle,NA,NA,,NA,NA,
65,4452-5,1450000000000,65,subSuperTrial,distr33,bedsideTable,target,2,3,table,furniture,cookies,distrClass3,4,4,NA,snack,horse,distrClass3,3,2,NA,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,1,1,0,dresser,,1450000000000,dresser,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,bedsideTable,NA,NA,,NA,NA,
66,4452-5,1450000000000,66,subSuperTrial,distr23,hawaiiShirt,target,2,2,shirt,clothing,firetruck,distrClass3,4,3,NA,vehicle,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,socks,distrClass2,3,4,NA,clothing,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,hawaiiShirt,NA,NA,,NA,NA,
68,4452-5,1450000000000,68,subSuperTrial,distr33,pigeon,target,2,3,bird,animal,blackStimulus,NA,5,5,NA,NA,popcorn,distrClass3,3,4,NA,snack,blackStimulus,NA,1,1,NA,NA,popcorn,distrClass3,4,2,NA,snack,1,1,0,bird,,1450000000000,bird,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,pigeon,NA,NA,,NA,NA,
69,4452-5,1450000000000,69,subSuperTrial,distr23,dressShirt,target,3,2,shirt,clothing,blackStimulus,NA,1,1,NA,NA,gloves,distrClass2,2,4,NA,clothing,cookies,distrClass3,4,3,NA,snack,blackStimulus,NA,5,5,NA,NA,1,1,0,shirt,,1450000000000,shirt,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,dressShirt,NA,NA,,NA,NA,
70,4452-5,1450000000000,70,subSuperTrial,distr33,pandaBear,target,3,3,bear,animal,wardrobe,distrClass3,4,2,NA,furniture,blackStimulus,NA,1,1,NA,NA,train,distrClass3,2,4,NA,vehicle,blackStimulus,NA,5,5,NA,NA,1,1,0,panda,,1450000000000,panda,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,pandaBear,NA,NA,,NA,NA,
71,4452-5,1450000000000,71,subSuperTrial,distr23,swordFish,target,2,3,fish,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,pig,distrClass2,4,4,NA,animal,cookies,distrClass3,3,2,NA,snack,1,1,0,fish,,1450000000000,fish,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,swordFish,NA,NA,,NA,NA,
74,5076-0,1450000000000,2,subSuperTrial,distr12,parrot,target,3,3,bird,animal,blackStimulus,NA,1,1,NA,NA,sparrow,distrClass1,4,2,bird,animal,bison,distrClass2,2,4,NA,animal,blackStimulus,NA,5,5,NA,NA,2,1,1,It is the most colorful,GOT IT,1449254431693___1449254434559,It is the most colorful,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,parrot,NA,NA,,NA,NA,
75,5076-0,1450000000000,3,subSuperTrial,distr33,coffeeTable,target,4,2,table,furniture,gloves,distrClass3,2,3,NA,clothing,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,rabbit,distrClass3,3,4,NA,animal,1,1,0,It is a piece of furniture,,1450000000000,It is a piece of furniture,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,coffeeTable,NA,NA,,NA,NA,
76,5076-0,1450000000000,4,subSuperTrial,distr23,swordFish,target,4,2,fish,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,lion,distrClass2,2,3,NA,animal,dress,distrClass3,3,4,NA,clothing,1,1,0,It swims in the ocean,,1450000000000,It swims in the ocean,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,swordFish,NA,NA,,NA,NA,
77,5076-0,1450000000000,5,subSuperTrial,distr22,tShirt,target,4,2,shirt,clothing,gloves,distrClass2,3,4,NA,clothing,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,bathrobe,distrClass2,2,3,NA,clothing,1,1,0,It has short sleeves,,1450000000000,It has short sleeves,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,tShirt,NA,NA,,NA,NA,
79,5076-0,1450000000000,7,subSuperTrial,distr22,germanShepherd,target,4,4,dog,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,pig,distrClass2,2,3,NA,animal,iguana,distrClass2,3,2,NA,animal,1,1,0,It barks,,1450000000000,It barks,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,germanShepherd,NA,NA,,NA,NA,
80,5076-0,1450000000000,8,subSuperTrial,distr23,mnMs,target,4,4,candy,snack,snake,distrClass3,3,3,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,pretzels,distrClass2,2,2,NA,snack,1,1,0,Colorful and edible,,1450000000000,Colorful and edible,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,mnMs,NA,NA,,NA,NA,
81,5076-0,1450000000000,9,subSuperTrial,distr33,gummyBears,target,4,2,candy,snack,blackStimulus,NA,5,5,NA,NA,snake,distrClass3,3,4,NA,animal,blackStimulus,NA,1,1,NA,NA,rabbit,distrClass3,2,3,NA,animal,1,1,0,Colorful and edible again!,,1450000000000,Colorful and edible again!,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,gummyBears,NA,NA,,NA,NA,
84,5076-0,1450000000000,12,subSuperTrial,distr12,skittles,target,4,2,candy,snack,chips,distrClass2,3,3,NA,snack,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,candyCorn,distrClass1,2,4,candy,snack,1,1,0,"""Round with small S""""s on them""""""",,1450000000000,"""Round with small S""""s on them""""""",FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,skittles,NA,NA,,NA,NA,
85,5076-0,1450000000000,13,subSuperTrial,distr23,picnicTable,target,4,3,table,furniture,blackStimulus,NA,5,5,NA,NA,lamp,distrClass2,3,4,NA,furniture,blackStimulus,NA,1,1,NA,NA,gloves,distrClass3,2,2,NA,clothing,1,1,0,Somewhere you can sit,,1450000000000,Somewhere you can sit,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,picnicTable,NA,NA,,NA,NA,
87,5076-0,1450000000000,15,subSuperTrial,distr33,dalmatian,target,2,3,dog,animal,blackStimulus,NA,5,5,NA,NA,dress,distrClass3,3,4,NA,clothing,blackStimulus,NA,1,1,NA,NA,grasses,distrClass3,4,2,NA,plant,1,1,0,Spotted,,1450000000000,Spotted,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,dalmatian,NA,NA,,NA,NA,
88,5076-0,1450000000000,16,subSuperTrial,distr22,sportsCar,target,3,4,car,vehicle,blackStimulus,NA,1,1,NA,NA,motorcycle,distrClass2,4,2,NA,vehicle,firetruck,distrClass2,2,3,NA,vehicle,blackStimulus,NA,5,5,NA,NA,1,1,0,Silver object,,1450000000000,Silver object,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,TRUE,NA,sportsCar,NA,NA,,NA,NA,
89,5076-0,1450000000000,17,subSuperTrial,distr12,grizzlyBear,target,4,3,bear,animal,blackStimulus,NA,5,5,NA,NA,koalaBear,distrClass1,2,2,bear,animal,blackStimulus,NA,1,1,NA,NA,crocodile,distrClass2,3,4,NA,animal,1,1,0,Large and furry,,,,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,,,,NA,NA,
91,5076-0,1450000000000,19,subSuperTrial,distr22,dressShirt,target,3,4,shirt,clothing,bathrobe,distrClass2,4,2,NA,clothing,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,gloves,distrClass2,2,3,NA,clothing,1,1,0,Typical menswear,,1450000000000,Typical menswear,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,dressShirt,NA,NA,,NA,NA,
92,5076-0,1450000000000,20,subSuperTrial,distr33,pigeon,target,3,4,bird,animal,blackStimulus,NA,1,1,NA,NA,pottedPlant,distrClass3,2,2,NA,plant,blackStimulus,NA,5,5,NA,NA,ambulance,distrClass3,4,3,NA,vehicle,1,1,0,Flies,,1450000000000,Flies,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,pigeon,NA,NA,,NA,NA,
93,5076-0,1450000000000,21,subSuperTrial,distr33,husky,target,4,3,dog,animal,wardrobe,distrClass3,2,2,NA,furniture,socks,distrClass3,3,4,NA,clothing,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,1,1,0,Living animal,,1450000000000,Living animal,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,husky,NA,NA,,NA,NA,
95,5076-0,1450000000000,23,subSuperTrial,distr22,hawaiiShirt,target,4,4,shirt,clothing,blackStimulus,NA,5,5,NA,NA,bathrobe,distrClass2,2,2,NA,clothing,gloves,distrClass2,3,3,NA,clothing,blackStimulus,NA,1,1,NA,NA,1,1,0,Short sleeves,,1450000000000,Short sleeves,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,hawaiiShirt,NA,NA,,NA,NA,
98,5076-0,1450000000000,26,subSuperTrial,distr23,jellyBeans,target,4,4,candy,snack,lion,distrClass3,3,2,NA,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,popcorn,distrClass2,2,3,NA,snack,1,1,0,Very colorful,,1450000000000,Very colorful,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,jellyBeans,NA,NA,,NA,NA,
99,5076-0,1450000000000,27,subSuperTrial,distr33,poloShirt,target,4,4,shirt,clothing,blackStimulus,NA,1,1,NA,NA,motorcycle,distrClass3,3,3,NA,vehicle,blackStimulus,NA,5,5,NA,NA,sheep,distrClass3,2,2,NA,animal,1,1,0,Short seeves,,1450000000000,Short seeves,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,poloShirt,NA,NA,,NA,NA,
101,5076-0,1450000000000,29,subSuperTrial,distr23,convertible,target,4,4,car,vehicle,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,firetruck,distrClass2,3,3,NA,vehicle,cookies,distrClass3,2,2,NA,snack,1,1,0,Convertible,,1450000000000,Convertible,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,convertible,NA,NA,,NA,NA,
102,5076-0,1450000000000,30,subSuperTrial,distr12,goldFish,target,4,3,fish,animal,blackStimulus,NA,1,1,NA,NA,discusFish,distrClass1,3,4,fish,animal,sheep,distrClass2,2,2,NA,animal,blackStimulus,NA,5,5,NA,NA,1,1,0,Goldfish,,1450000000000,Goldfish,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,goldFish,NA,NA,,NA,NA,
103,5076-0,1450000000000,31,subSuperTrial,distr12,hummingBird,target,3,3,bird,animal,sparrow,distrClass1,4,2,bird,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,bison,distrClass2,2,4,NA,animal,1,1,0,Hummingbird,,1450000000000,Hummingbird,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,hummingBird,NA,NA,,NA,NA,
104,5076-0,1450000000000,32,subSuperTrial,distr23,sunflower,target,2,4,flower,plant,iguana,distrClass3,4,3,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,rosemary,distrClass2,3,2,NA,plant,1,1,0,Sunflower,,1450000000000,Sunflower,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,sunflower,NA,NA,,NA,NA,
105,5076-0,1450000000000,33,subSuperTrial,distr12,daisy,target,3,3,flower,plant,blackStimulus,NA,1,1,NA,NA,grasses,distrClass2,4,2,NA,plant,blackStimulus,NA,5,5,NA,NA,lily,distrClass1,2,4,flower,plant,1,1,0,Small white flower with yellow in the middle,,1450000000000,Small white flower with yellow in the middle,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,daisy,NA,NA,,NA,NA,
107,5076-0,1450000000000,35,subSuperTrial,distr12,blackBear,target,2,3,bear,animal,blackStimulus,NA,1,1,NA,NA,cow,distrClass2,3,2,NA,animal,koalaBear,distrClass1,4,4,bear,animal,blackStimulus,NA,5,5,NA,NA,1,1,0,Almost completely black,,1450000000000,Almost completely black,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,blackBear,NA,NA,,NA,NA,
111,5076-0,1450000000000,39,subSuperTrial,distr22,catfish,target,4,2,fish,animal,bison,distrClass2,3,4,NA,animal,rabbit,distrClass2,2,3,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,1,1,0,Lives underwater,,1450000000000,Lives underwater,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,catfish,NA,NA,,NA,NA,
112,5076-0,1450000000000,40,subSuperTrial,distr23,eagle,target,4,4,bird,animal,blackStimulus,NA,1,1,NA,NA,rosemary,distrClass3,2,3,NA,plant,snake,distrClass2,3,2,NA,animal,blackStimulus,NA,5,5,NA,NA,1,1,0,Flies,,1450000000000,Flies,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,eagle,NA,NA,,NA,NA,
116,5076-0,1450000000000,44,subSuperTrial,distr22,polarBear,target,3,3,bear,animal,elephant,distrClass2,2,2,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,rhino,distrClass2,4,4,NA,animal,1,1,0,Bear,,1450000000000,Bear,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,polarBear,NA,NA,,NA,NA,
