"","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","alt3Name","alt3TargetStatus","alt3SpLocs","alt3LisLocs","alt3Basiclevel","alt3superdomain","alt4Name","alt4TargetStatus","alt4SpLocs","alt4LisLocs","alt4Basiclevel","alt4superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","otherFeatureMentioned","basiclevelMentioned","superClassMentioned","superclassattributeMentioned","utteranceContracted","oneMentioned","theMentioned","clickedType","clickedSize","clickedColor","colorPreNominal","sizePreNominal","X","notes"
"93","5076-0",1.45e+12,21,"subSuperTrial","distr33","husky","target",4,3,"dog","animal","wardrobe","distrClass3",2,2,NA,"furniture","socks","distrClass3",3,4,NA,"clothing","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"Living animal","","1.45E+12","Living animal",FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,"husky",NA,NA,"",NA,NA,""
"361","8684-3",1.45e+12,1,"subSuperTrial","distr23","pandaBear","target",3,3,"bear","animal","blackStimulus",NA,5,5,NA,NA,"bookcase","distrClass3",4,2,NA,"furniture","elephant","distrClass2",2,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"the white and black animal","","1.45E+12","the white and black animal",FALSE,TRUE,FALSE,NA,NA,TRUE,NA,NA,NA,TRUE,"pandaBear",NA,NA,"",NA,NA,""
"366","8684-3",1.45e+12,6,"subSuperTrial","distr33","coffeeTable","target",3,4,"table","furniture","motorcycle","distrClass3",2,2,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"kitten","distrClass3",4,3,NA,"animal",1,1,0,"furniture","","1.45E+12","furniture",FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,"coffeeTable",NA,NA,"",NA,NA,""
"369","8684-3",1.45e+12,9,"subSuperTrial","distr33","suv","target",4,4,"car","vehicle","snake","distrClass3",3,3,NA,"animal","cookies","distrClass3",2,2,NA,"snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"the vehicle","","1.45E+12","the vehicle",FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,"suv",NA,NA,"",NA,NA,""
"376","8684-3",1.45e+12,16,"subSuperTrial","distr33","blackBear","target",3,4,"bear","animal","blackStimulus",NA,1,1,NA,NA,"ivy","distrClass3",2,2,NA,"plant","cookies","distrClass3",4,3,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"animal","","1.45E+12","animal",FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,"blackBear",NA,NA,"",NA,NA,""
"378","8684-3",1.45e+12,18,"subSuperTrial","distr33","husky","target",4,2,"dog","animal","blackStimulus",NA,1,1,NA,NA,"motorcycle","distrClass3",3,4,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"ambulance","distrClass3",2,3,NA,"vehicle",1,1,0,"animal","","1.45E+12","animal",FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,"husky",NA,NA,"",NA,NA,""
"650","1223-7",1.45e+12,2,"subSuperTrial","distr23","hummingBird","target",2,3,"bird","animal","blackStimulus",NA,5,5,NA,NA,"chick","distrClass2",4,2,NA,"animal","bed","distrClass3",3,4,NA,"furniture","blackStimulus",NA,1,1,NA,NA,1,1,0,"The flying animal","","1.45E+12","The flying animal",FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,NA,TRUE,"hummingBird",NA,NA,"",NA,NA,""
"909","5975-e",1.45e+12,45,"subSuperTrial","distr33","husky","target",4,4,"dog","animal","dress","distrClass3",2,2,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"rosemary","distrClass3",3,3,NA,"plant","blackStimulus",NA,5,5,NA,NA,1,1,0,"animal","","1.45E+12","animal",FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,"husky",NA,NA,"",NA,NA,""
"925","5975-e",1.45e+12,61,"subSuperTrial","distr33","germanShepherd","target",2,2,"dog","animal","gloves","distrClass3",4,3,NA,"clothing","blackStimulus",NA,5,5,NA,NA,"popcorn","distrClass3",3,4,NA,"snack","blackStimulus",NA,1,1,NA,NA,1,1,0,"animal","","1.45E+12","animal",FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,"germanShepherd",NA,NA,"",NA,NA,""
"930","5975-e",1.45e+12,66,"subSuperTrial","distr33","pug","target",2,4,"dog","animal","bookcase","distrClass3",4,2,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"pretzels","distrClass3",3,3,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"animal","","1.45E+12","animal",FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,"pug",NA,NA,"",NA,NA,""
"1806","4842-f",1.45e+12,29,"subSuperTrial","distr23","sunflower","target",3,2,"flower","plant","pottedPlant","distrClass2",2,4,NA,"plant","socks","distrClass3",4,3,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"sunniest plant","","1.45E+12","sunniest plant",FALSE,FALSE,FALSE,TRUE,NA,TRUE,NA,NA,NA,NA,"sunflower",NA,NA,"",NA,NA,""
"1830","4842-f",1.45e+12,53,"subSuperTrial","distr12","pug","target",3,3,"dog","animal","blackStimulus",NA,1,1,NA,NA,"lion","distrClass2",2,4,NA,"animal","greyhound","distrClass1",4,2,"dog","animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"lap animal","","1.45E+12","lap animal",FALSE,FALSE,FALSE,TRUE,NA,TRUE,NA,NA,NA,NA,"pug",NA,NA,"",NA,NA,""
"1832","4842-f",1.45e+12,55,"subSuperTrial","distr23","gummyBears","target",3,4,"candy","snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"chips","distrClass2",2,2,NA,"snack","rhino","distrClass3",4,3,NA,"animal",2,2,0,"kids choice___for snack","","1449260313777___1449260316448","kids choice",FALSE,FALSE,FALSE,TRUE,NA,TRUE,NA,NA,NA,NA,"gummyBears",NA,NA,"",NA,NA,""
