"","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","alt3Name","alt3TargetStatus","alt3SpLocs","alt3LisLocs","alt3Basiclevel","alt3superdomain","alt4Name","alt4TargetStatus","alt4SpLocs","alt4LisLocs","alt4Basiclevel","alt4superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","otherFeatureMentioned","basiclevelMentioned","superClassMentioned","superclassattributeMentioned","utteranceContracted","oneMentioned","theMentioned","clickedType","clickedSize","clickedColor","colorPreNominal","sizePreNominal","X","notes"
"28","4452-5",1.45e+12,28,"subSuperTrial","distr33","grizzlyBear","target",3,2,"bear","animal","blackStimulus",NA,5,5,NA,NA,"bathrobe","distrClass3",2,4,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"bookcase","distrClass3",4,3,NA,"furniture",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"154","4393-a",1.45e+12,10,"subSuperTrial","distr33","grizzlyBear","target",4,2,"bear","animal","blackStimulus",NA,1,1,NA,NA,"lamp","distrClass3",2,3,NA,"furniture","blackStimulus",NA,5,5,NA,NA,"pretzels","distrClass3",3,4,NA,"snack",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"220","8258-f",1.45e+12,4,"subSuperTrial","distr33","grizzlyBear","target",3,3,"bear","animal","pottedPlant","distrClass3",2,2,NA,"plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"ivy","distrClass3",4,4,NA,"plant",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"340","9807-5",1.45e+12,52,"subSuperTrial","distr23","grizzlyBear","target",3,3,"bear","animal","blackStimulus",NA,5,5,NA,NA,"sheep","distrClass2",2,4,NA,"animal","bed","distrClass3",4,2,NA,"furniture","blackStimulus",NA,1,1,NA,NA,1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"472","5628-2",1.45e+12,40,"subSuperTrial","distr12","grizzlyBear","target",3,4,"bear","animal","blackStimulus",NA,1,1,NA,NA,"cow","distrClass2",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"koalaBear","distrClass1",4,3,"bear","animal",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"509","8430-f",1.45e+12,5,"subSuperTrial","distr23","grizzlyBear","target",3,4,"bear","animal","gloves","distrClass3",4,3,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"snake","distrClass2",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"607","4517-f",1.45e+12,31,"subSuperTrial","distr22","grizzlyBear","target",4,2,"bear","animal","iguana","distrClass2",3,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"snake","distrClass2",2,3,NA,"animal",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"685","1223-7",1.45e+12,37,"subSuperTrial","distr22","grizzlyBear","target",3,3,"bear","animal","blackStimulus",NA,5,5,NA,NA,"kitten","distrClass2",2,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"elephant","distrClass2",4,4,NA,"animal",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"751","5512-7",1.45e+12,31,"subSuperTrial","distr33","grizzlyBear","target",2,4,"bear","animal","train","distrClass3",3,2,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"bookcase","distrClass3",4,3,NA,"furniture","blackStimulus",NA,1,1,NA,NA,1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"847","3293-5",1.45e+12,55,"subSuperTrial","distr33","grizzlyBear","target",2,2,"bear","animal","chips","distrClass3",4,3,NA,"snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"motorcycle","distrClass3",3,4,NA,"vehicle",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
