"","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","alt3Name","alt3TargetStatus","alt3SpLocs","alt3LisLocs","alt3Basiclevel","alt3superdomain","alt4Name","alt4TargetStatus","alt4SpLocs","alt4LisLocs","alt4Basiclevel","alt4superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","otherFeatureMentioned","basiclevelMentioned","superClassMentioned","superclassattributeMentioned","utteranceContracted","oneMentioned","theMentioned","clickedType","clickedSize","clickedColor","colorPreNominal","sizePreNominal","X","notes"
"57","4452-5",1.45e+12,57,"subSuperTrial","distr23","tShirt","target",2,4,"shirt","clothing","blackStimulus",NA,1,1,NA,NA,"rabbit","distrClass3",3,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"gloves","distrClass2",4,2,NA,"clothing",1,1,0,"shirt","","1.45E+12","shirt",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"tShirt",NA,NA,"",NA,NA,""
"59","4452-5",1.45e+12,59,"subSuperTrial","distr12","germanShepherd","target",3,3,"dog","animal","blackStimulus",NA,5,5,NA,NA,"greyhound","distrClass1",2,4,"dog","animal","pig","distrClass2",4,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,4,2,2,"blackish dog___yeah that's it","the sheperd?___or whippet","1449254922593___1449254932610___1449254937373___1449254939322","blackish dog",FALSE,TRUE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"germanShepherd",NA,NA,"",NA,NA,""
"66","4452-5",1.45e+12,66,"subSuperTrial","distr23","hawaiiShirt","target",2,2,"shirt","clothing","firetruck","distrClass3",4,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"socks","distrClass2",3,4,NA,"clothing",1,1,0,"shirt","","1.45E+12","shirt",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"hawaiiShirt",NA,NA,"",NA,NA,""
"68","4452-5",1.45e+12,68,"subSuperTrial","distr33","pigeon","target",2,3,"bird","animal","blackStimulus",NA,5,5,NA,NA,"popcorn","distrClass3",3,4,NA,"snack","blackStimulus",NA,1,1,NA,NA,"popcorn","distrClass3",4,2,NA,"snack",1,1,0,"bird","","1.45E+12","bird",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"pigeon",NA,NA,"",NA,NA,""
"69","4452-5",1.45e+12,69,"subSuperTrial","distr23","dressShirt","target",3,2,"shirt","clothing","blackStimulus",NA,1,1,NA,NA,"gloves","distrClass2",2,4,NA,"clothing","cookies","distrClass3",4,3,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"shirt","","1.45E+12","shirt",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"dressShirt",NA,NA,"",NA,NA,""
"71","4452-5",1.45e+12,71,"subSuperTrial","distr23","swordFish","target",2,3,"fish","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"pig","distrClass2",4,4,NA,"animal","cookies","distrClass3",3,2,NA,"snack",1,1,0,"fish","","1.45E+12","fish",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"swordFish",NA,NA,"",NA,NA,""
"105","5076-0",1.45e+12,33,"subSuperTrial","distr12","daisy","target",3,3,"flower","plant","blackStimulus",NA,1,1,NA,NA,"grasses","distrClass2",4,2,NA,"plant","blackStimulus",NA,5,5,NA,NA,"lily","distrClass1",2,4,"flower","plant",1,1,0,"Small white flower with yellow in the middle","","1.45E+12","Small white flower with yellow in the middle",TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,"daisy",NA,NA,"",NA,NA,""
"116","5076-0",1.45e+12,44,"subSuperTrial","distr22","polarBear","target",3,3,"bear","animal","elephant","distrClass2",2,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"rhino","distrClass2",4,4,NA,"animal",1,1,0,"Bear","","1.45E+12","Bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"polarBear",NA,NA,"",NA,NA,""
"121","5076-0",1.45e+12,49,"subSuperTrial","distr33","tulip","target",4,3,"flower","plant","blackStimulus",NA,1,1,NA,NA,"train","distrClass3",3,2,NA,"vehicle","rabbit","distrClass3",2,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"Flower","","1.45E+12","Flower",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"tulip",NA,NA,"",NA,NA,""
"141","5076-0",1.45e+12,69,"subSuperTrial","distr23","pug","target",2,4,"dog","animal","blackStimulus",NA,5,5,NA,NA,"iguana","distrClass2",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"pottedPlant","distrClass3",3,2,NA,"plant",1,1,0,"Dog","","1.45E+12","Dog",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"pug",NA,NA,"",NA,NA,""
"146","4393-a",1.45e+12,2,"subSuperTrial","distr22","clownFish","target",4,4,"fish","animal","blackStimulus",NA,1,1,NA,NA,"bison","distrClass2",2,3,NA,"animal","rabbit","distrClass2",3,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"Fish","","1.45E+12","Fish",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"clownFish",NA,NA,"",NA,NA,""
"148","4393-a",1.45e+12,4,"subSuperTrial","distr23","polarBear","target",2,3,"bear","animal","lamp","distrClass3",4,4,NA,"furniture","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"horse","distrClass2",3,2,NA,"animal",1,1,0,"Bear","","1.45E+12","Bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"polarBear",NA,NA,"",NA,NA,""
"150","4393-a",1.45e+12,6,"subSuperTrial","distr22","pigeon","target",3,4,"bird","animal","blackStimulus",NA,5,5,NA,NA,"elephant","distrClass2",2,2,NA,"animal","squirrel","distrClass2",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"bird","","1.45E+12","bird",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"pigeon",NA,NA,"",NA,NA,""
"153","4393-a",1.45e+12,9,"subSuperTrial","distr22","blackBear","target",3,2,"bear","animal","blackStimulus",NA,1,1,NA,NA,"cow","distrClass2",2,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"rabbit","distrClass2",4,4,NA,"animal",1,1,0,"Bear","","1.45E+12","Bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"blackBear",NA,NA,"",NA,NA,""
"154","4393-a",1.45e+12,10,"subSuperTrial","distr33","grizzlyBear","target",4,2,"bear","animal","blackStimulus",NA,1,1,NA,NA,"lamp","distrClass3",2,3,NA,"furniture","blackStimulus",NA,5,5,NA,NA,"pretzels","distrClass3",3,4,NA,"snack",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"159","4393-a",1.45e+12,15,"subSuperTrial","distr22","catfish","target",4,2,"fish","animal","blackStimulus",NA,5,5,NA,NA,"chick","distrClass2",3,3,NA,"animal","squirrel","distrClass2",2,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"Fish","","1.45E+12","Fish",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"catfish",NA,NA,"",NA,NA,""
"163","4393-a",1.45e+12,19,"subSuperTrial","distr12","goldFish","target",3,4,"fish","animal","discusFish","distrClass1",2,2,"fish","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"rhino","distrClass2",4,3,NA,"animal",1,1,0,"Smaller fish by height","","1.45E+12","Smaller fish by height",FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,"goldFish",NA,NA,"",NA,NA,""
"164","4393-a",1.45e+12,20,"subSuperTrial","distr23","poloShirt","target",3,3,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"cookies","distrClass3",4,2,NA,"snack","bathrobe","distrClass2",2,4,NA,"clothing","blackStimulus",NA,1,1,NA,NA,1,1,0,"Blue shirt","","1.45E+12","Blue shirt",FALSE,TRUE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"poloShirt",NA,NA,"",NA,NA,""
"165","4393-a",1.45e+12,21,"subSuperTrial","distr22","hummingBird","target",4,3,"bird","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"chick","distrClass2",2,4,NA,"animal","crocodile","distrClass2",3,2,NA,"animal",1,1,0,"Bird","","1.45E+12","Bird",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"hummingBird",NA,NA,"",NA,NA,""
"174","4393-a",1.45e+12,30,"subSuperTrial","distr12","germanShepherd","target",2,4,"dog","animal","greyhound","distrClass1",4,2,"dog","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"horse","distrClass2",3,3,NA,"animal",1,1,0,"Dog with right leg further forward than left - black fur on dog","","1.45E+12","Dog with right leg further forward than left - black fur on dog",FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,"germanShepherd",NA,NA,"",NA,NA,""
"175","4393-a",1.45e+12,31,"subSuperTrial","distr22","pandaBear","target",3,3,"bear","animal","iguana","distrClass2",2,4,NA,"animal","sheep","distrClass2",4,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"pandaBear",NA,NA,"",NA,NA,""
"179","4393-a",1.45e+12,35,"subSuperTrial","distr22","diningTable","target",4,3,"table","furniture","blackStimulus",NA,5,5,NA,NA,"bed","distrClass2",2,4,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"lamp","distrClass2",3,2,NA,"furniture",1,1,0,"Table","","1.45E+12","Table",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"diningTable",NA,NA,"",NA,NA,""
"181","4393-a",1.45e+12,37,"subSuperTrial","distr33","sunflower","target",2,4,"flower","plant","blackStimulus",NA,1,1,NA,NA,"lion","distrClass3",3,2,NA,"animal","firetruck","distrClass3",4,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,1,1,0,"Flower","","1.45E+12","Flower",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"sunflower",NA,NA,"",NA,NA,""
"185","4393-a",1.45e+12,41,"subSuperTrial","distr33","picnicTable","target",4,4,"table","furniture","motorcycle","distrClass3",3,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"rosemary","distrClass3",2,2,NA,"plant",1,1,0,"table","","1.45E+12","table",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"picnicTable",NA,NA,"",NA,NA,""
"186","4393-a",1.45e+12,42,"subSuperTrial","distr23","coffeeTable","target",2,4,"table","furniture","blackStimulus",NA,5,5,NA,NA,"bookcase","distrClass2",3,3,NA,"furniture","bison","distrClass3",4,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"table","","1.45E+12","table",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"coffeeTable",NA,NA,"",NA,NA,""
"192","4393-a",1.45e+12,48,"subSuperTrial","distr33","husky","target",3,2,"dog","animal","motorcycle","distrClass3",2,4,NA,"vehicle","wardrobe","distrClass3",4,3,NA,"furniture","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"dog","","1.45E+12","dog",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"husky",NA,NA,"",NA,NA,""
"193","4393-a",1.45e+12,49,"subSuperTrial","distr23","tulip","target",4,4,"flower","plant","blackStimulus",NA,1,1,NA,NA,"grasses","distrClass2",3,2,NA,"plant","firetruck","distrClass3",2,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,1,1,0,"flower","","1.45E+12","flower",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"tulip",NA,NA,"",NA,NA,""
"196","4393-a",1.45e+12,52,"subSuperTrial","distr23","parrot","target",2,3,"bird","animal","cow","distrClass2",3,4,NA,"animal","ambulance","distrClass3",4,2,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"bird","","1.45E+12","bird",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"parrot",NA,NA,"",NA,NA,""
"200","4393-a",1.45e+12,56,"subSuperTrial","distr12","sportsCar","target",4,4,"car","vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"motorcycle","distrClass2",3,2,NA,"vehicle","sedan","distrClass1",2,3,"car","vehicle",1,1,0,"Silver car facing to the right","","1.45E+12","Silver car facing to the right",FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,"sportsCar",NA,NA,"",NA,NA,""
"202","4393-a",1.45e+12,58,"subSuperTrial","distr33","dalmatian","target",4,4,"dog","animal","pretzels","distrClass3",3,3,NA,"snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"pretzels","distrClass3",2,2,NA,"snack",1,1,0,"dog","","1.45E+12","dog",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"dalmatian",NA,NA,"",NA,NA,""
"206","4393-a",1.45e+12,62,"subSuperTrial","distr33","convertible","target",2,2,"car","vehicle","blackStimulus",NA,5,5,NA,NA,"dress","distrClass3",4,3,NA,"clothing","popcorn","distrClass3",3,4,NA,"snack","blackStimulus",NA,1,1,NA,NA,1,1,0,"Car","","1.45E+12","Car",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"convertible",NA,NA,"",NA,NA,""
"211","4393-a",1.45e+12,67,"subSuperTrial","distr33","dressShirt","target",3,3,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"chips","distrClass3",4,2,NA,"snack","blackStimulus",NA,1,1,NA,NA,"elephant","distrClass3",2,4,NA,"animal",1,1,0,"shirt","","1.45E+12","shirt",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"dressShirt",NA,NA,"",NA,NA,""
"214","4393-a",1.45e+12,70,"subSuperTrial","distr33","hawaiiShirt","target",3,2,"shirt","clothing","firetruck","distrClass3",4,4,NA,"vehicle","kitten","distrClass3",2,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"shirt","","1.45E+12","shirt",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"hawaiiShirt",NA,NA,"",NA,NA,""
"215","4393-a",1.45e+12,71,"subSuperTrial","distr22","pug","target",3,3,"dog","animal","rhino","distrClass2",2,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"bison","distrClass2",4,2,NA,"animal",1,1,0,"dog","","1.45E+12","dog",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"pug",NA,NA,"",NA,NA,""
"220","8258-f",1.45e+12,4,"subSuperTrial","distr33","grizzlyBear","target",3,3,"bear","animal","pottedPlant","distrClass3",2,2,NA,"plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"ivy","distrClass3",4,4,NA,"plant",1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"grizzlyBear",NA,NA,"",NA,NA,""
"222","8258-f",1.45e+12,6,"subSuperTrial","distr33","polarBear","target",4,3,"bear","animal","blackStimulus",NA,1,1,NA,NA,"chips","distrClass3",2,4,NA,"snack","grasses","distrClass3",3,2,NA,"plant","blackStimulus",NA,5,5,NA,NA,1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"polarBear",NA,NA,"",NA,NA,""
"224","8258-f",1.45e+12,8,"subSuperTrial","distr33","sunflower","target",2,2,"flower","plant","blackStimulus",NA,1,1,NA,NA,"dress","distrClass3",4,3,NA,"clothing","blackStimulus",NA,5,5,NA,NA,"iguana","distrClass3",3,4,NA,"animal",1,1,0,"flower","","1.45E+12","flower",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"sunflower",NA,NA,"",NA,NA,""
"229","8258-f",1.45e+12,13,"subSuperTrial","distr22","coffeeTable","target",2,2,"table","furniture","blackStimulus",NA,1,1,NA,NA,"bookcase","distrClass2",4,3,NA,"furniture","bed","distrClass2",3,4,NA,"furniture","blackStimulus",NA,5,5,NA,NA,1,1,0,"table","","1.45E+12","table",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"coffeeTable",NA,NA,"",NA,NA,""
"230","8258-f",1.45e+12,14,"subSuperTrial","distr23","blackBear","target",4,4,"bear","animal","rabbit","distrClass2",3,2,NA,"animal","train","distrClass3",2,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"bear","","1.45E+12","bear",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"blackBear",NA,NA,"",NA,NA,""
"233","8258-f",1.45e+12,17,"subSuperTrial","distr23","husky","target",2,3,"dog","animal","motorcycle","distrClass3",3,2,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"sheep","distrClass2",4,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"dog","","1.45E+12","dog",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"husky",NA,NA,"",NA,NA,""
"235","8258-f",1.45e+12,19,"subSuperTrial","distr22","dressShirt","target",3,2,"shirt","clothing","blackStimulus",NA,1,1,NA,NA,"dress","distrClass2",4,4,NA,"clothing","gloves","distrClass2",2,3,NA,"clothing","blackStimulus",NA,5,5,NA,NA,1,1,0,"shirt","","1.45E+12","shirt",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"dressShirt",NA,NA,"",NA,NA,""
"241","8258-f",1.45e+12,25,"subSuperTrial","distr23","hawaiiShirt","target",2,2,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"bed","distrClass3",4,4,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"gloves","distrClass2",3,3,NA,"clothing",1,1,0,"shirt","","1.45E+12","shirt",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"hawaiiShirt",NA,NA,"",NA,NA,""
"242","8258-f",1.45e+12,26,"subSuperTrial","distr22","goldFish","target",3,2,"fish","animal","blackStimulus",NA,5,5,NA,NA,"lobster","distrClass2",4,4,NA,"animal","lion","distrClass2",2,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"fish","","1.45E+12","fish",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"goldFish",NA,NA,"",NA,NA,""
"246","8258-f",1.45e+12,30,"subSuperTrial","distr33","mnMs","target",4,2,"candy","snack","sheep","distrClass3",3,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"snake","distrClass3",2,3,NA,"animal",1,1,0,"candy","","1.45E+12","candy",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"mnMs",NA,NA,"",NA,NA,""
"251","8258-f",1.45e+12,35,"subSuperTrial","distr23","tShirt","target",2,4,"shirt","clothing","dress","distrClass2",4,2,NA,"clothing","lion","distrClass3",3,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"shirt","","1.45E+12","shirt",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"tShirt",NA,NA,"",NA,NA,""
"253","8258-f",1.45e+12,37,"subSuperTrial","distr23","pigeon","target",2,2,"bird","animal","pig","distrClass2",3,4,NA,"animal","rosemary","distrClass3",4,3,NA,"plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"bird","","1.45E+12","bird",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"pigeon",NA,NA,"",NA,NA,""
"254","8258-f",1.45e+12,38,"subSuperTrial","distr23","picnicTable","target",3,4,"table","furniture","blackStimulus",NA,5,5,NA,NA,"crocodile","distrClass3",4,2,NA,"animal","wardrobe","distrClass2",2,3,NA,"furniture","blackStimulus",NA,1,1,NA,NA,1,1,0,"table","","1.45E+12","table",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"picnicTable",NA,NA,"",NA,NA,""
"260","8258-f",1.45e+12,44,"subSuperTrial","distr22","pug","target",3,2,"dog","animal","snake","distrClass2",4,3,NA,"animal","lion","distrClass2",2,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"dog","","1.45E+12","dog",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"pug",NA,NA,"",NA,NA,""
"266","8258-f",1.45e+12,50,"subSuperTrial","distr23","sportsCar","target",2,4,"car","vehicle","train","distrClass2",3,2,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"elephant","distrClass3",4,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"car","","1.45E+12","car",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"sportsCar",NA,NA,"",NA,NA,""
"267","8258-f",1.45e+12,51,"subSuperTrial","distr33","dalmatian","target",2,2,"dog","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"bed","distrClass3",4,3,NA,"furniture","ambulance","distrClass3",3,4,NA,"vehicle",1,1,0,"dog","","1.45E+12","dog",FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,"dalmatian",NA,NA,"",NA,NA,""
