Utterance	condition	Probability	YMax	YMin	ModelType
basic	item12	0.188828015139214	0.208220395364147	0.17000745328413	det-cost
basic	item22	0.611196468915801	0.642686147042168	0.582434550590793	det-cost
basic	item23	0.584542225633308	0.612237262311504	0.557935853429982	det-cost
basic	item33	0.431305096462469	0.458801520209843	0.405802888979518	det-cost
sub	item12	0.768877634384413	0.791033047984258	0.74403421126448	det-cost
sub	item22	0.364720042530138	0.392813887896539	0.336350912833228	det-cost
sub	item23	0.348573438738608	0.374079024797192	0.318973847880663	det-cost
sub	item33	0.257674399436762	0.279128308406582	0.235720425549461	det-cost
super	item12	0.04166083474919	0.045575835665663	0.0378106798212519	det-cost
super	item22	0.0185530844824468	0.0197814380660948	0.0172973326103439	det-cost
super	item23	0.0593795344820259	0.0629975920715856	0.0560391438475017	det-cost
super	item33	0.318608044411936	0.333480657474799	0.304572439315235	det-cost
