Utterance	condition	target	MAP	credHigh	credLow	EmpProportion	EmpYMin	EmpYMax	ModelType
basic	item12	bedsidetable	0.193848063237764	0.193848063237764	0.193848063237764	0.166666666666667	0	0.5	det-cost
basic	item12	blackbear	0.233684986932005	0.233684986932005	0.233684986932005	0.318181818181818	0.136363636363636	0.5	det-cost
basic	item12	catfish	0.168011083839493	0.168011083839493	0.168011083839493	0.2	0	0.4	det-cost
basic	item12	clownfish	0.22787839103543	0.22787839103543	0.22787839103543	0.5	0.166666666666667	0.833333333333333	det-cost
basic	item12	coffeetable	0.207178922535769	0.207178922535769	0.207178922535769	0.5	0.2	0.8	det-cost
basic	item12	convertible	0.291343651500613	0.291343651500613	0.291343651500613	0.428571428571429	0.142857142857143	0.857142857142857	det-cost
basic	item12	daisy	0.113437726881816	0.113437726881816	0.113437726881816	0	0	0	det-cost
basic	item12	dalmatian	0.238671268771241	0.238671268771241	0.238671268771241	0.125	0	0.375	det-cost
basic	item12	diningtable	0.268538020756389	0.268538020756389	0.268538020756389	1	1	1	det-cost
basic	item12	eagle	0.13162952609938	0.13162952609938	0.13162952609938	0.0666666666666667	0	0.2	det-cost
basic	item12	germanshepherd	0.319629893599681	0.319629893599681	0.319629893599681	0.368421052631579	0.157894736842105	0.578947368421053	det-cost
basic	item12	goldfish	0.200541777024756	0.200541777024756	0.200541777024756	0.222222222222222	0.0555555555555556	0.444444444444444	det-cost
basic	item12	grizzlybear	0.217380021982066	0.217380021982066	0.217380021982066	0.85	0.7	1	det-cost
basic	item12	gummybears	0.193866247996097	0.193866247996097	0.193866247996097	0	0	0	det-cost
basic	item12	hawaiishirt	0.312979280557148	0.312979280557148	0.312979280557148	0.533333333333333	0.266666666666667	0.8	det-cost
basic	item12	hummingbird	0.237577177679825	0.237577177679825	0.237577177679825	0.142857142857143	0	0.357142857142857	det-cost
basic	item12	husky	0.146745497571742	0.146745497571742	0.146745497571742	0.15	0	0.3	det-cost
basic	item12	jellybeans	0.201135340055247	0.201135340055247	0.201135340055247	0.0833333333333333	0	0.25	det-cost
