"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"93"	"4633-0"	1455301369197	41	"subSuperTrial"	"basic23"	"minivan"	"target"	2	2	"car"	"vehicle"	"pig"	"distractor"	4	4	NA	"animal"	"train"	"distractor"	3	3	NA	"vehicle"	"minivan"	""	"1455301367237"	"minivan"	"minivan"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"193"	"3791-8"	1455301525530	50	"subSuperTrial"	"basic23"	"minivan"	"target"	3	3	"car"	"vehicle"	"socks"	"distractor"	4	4	NA	"clothing"	"ambulance"	"distractor"	2	2	NA	"vehicle"	"van"	""	"1455301524082"	"van"	"minivan"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"231"	"5664-b"	1455301358540	47	"subSuperTrial"	"basic33"	"minivan"	"target"	4	3	"car"	"vehicle"	"squirrel"	"distractor"	3	2	NA	"animal"	"pretzels"	"distractor"	2	4	NA	"snack"	"van"	""	"1455301357202"	"van"	"minivan"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"294"	"9165-a"	1455301243821	26	"subSuperTrial"	"basic23"	"minivan"	"target"	2	3	"car"	"vehicle"	"wardrobe"	"distractor"	3	4	NA	"furniture"	"ambulance"	"distractor"	4	2	NA	"vehicle"	"minivan"	""	"1455301242137"	"minivan"	"minivan"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"346"	"1749-c"	1455301398990	63	"subSuperTrial"	"basic33"	"minivan"	"target"	4	2	"car"	"vehicle"	"cow"	"distractor"	3	3	NA	"animal"	"grasses"	"distractor"	2	4	NA	"plant"	"van"	""	"1455301397657"	"van"	"minivan"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"403"	"9973-0"	1455301269736	40	"subSuperTrial"	"basic12"	"minivan"	"target"	3	2	"car"	"vehicle"	"motorcycle"	"distractor"	4	3	NA	"vehicle"	"sedan"	"distractor"	2	4	"car"	"vehicle"	"van"	""	"1455301265909"	"van"	"minivan"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"444"	"4855-c"	1455301440765	44	"subSuperTrial"	"basic33"	"minivan"	"target"	2	3	"car"	"vehicle"	"dress"	"distractor"	3	2	NA	"clothing"	"popcorn"	"distractor"	4	4	NA	"snack"	"minivan"	""	"1455301439128"	"minivan"	"minivan"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"470"	"4886-d"	1455301279479	25	"subSuperTrial"	"basic23"	"minivan"	"target"	3	3	"car"	"vehicle"	"bed"	"distractor"	4	2	NA	"furniture"	"firetruck"	"distractor"	2	4	NA	"vehicle"	"van"	""	"1455301277896"	"van"	"minivan"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"504"	"6879-8"	1455301242204	16	"subSuperTrial"	"basic22"	"minivan"	"target"	2	4	"car"	"vehicle"	"firetruck"	"distractor"	4	3	NA	"vehicle"	"train"	"distractor"	3	2	NA	"vehicle"	"car___van"	""	"1455301240504___1455301243036"	"car"	"minivan"	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"653"	"4810-9"	1455301624644	31	"subSuperTrial"	"basic23"	"minivan"	"target"	2	4	"car"	"vehicle"	"firetruck"	"distractor"	3	3	NA	"vehicle"	"bison"	"distractor"	4	2	NA	"animal"	"minivan"	""	"1455301623032"	"minivan"	"minivan"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"684"	"5895-f"	1455301951891	58	"subSuperTrial"	"basic33"	"minivan"	"target"	2	4	"car"	"vehicle"	"lion"	"distractor"	4	2	NA	"animal"	"rosemary"	"distractor"	3	3	NA	"plant"	"van"	""	"1455301948368"	"van"	"minivan"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"737"	"3197-1"	1455301574942	23	"subSuperTrial"	"basic12"	"minivan"	"target"	3	3	"car"	"vehicle"	"sedan"	"distractor"	2	2	"car"	"vehicle"	"motorcycle"	"distractor"	4	4	NA	"vehicle"	"white van/suv"	""	"1455301572399"	"white van/suv"	"minivan"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
