gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,onlySubAttr,onlyBasicAttr,onlySuperAttr,onlyOtherAttr,oneMentioned,theMentioned,fullSentence,noLevelMentioned,subAllAttr,basicAllAttr,superAllAttr,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,
2,2298-c,1455300966490,9,subSuperTrial,basic22,dressShirt,target,2,4,shirt,clothing,dress,distractor,3,3,NA,clothing,socks,distractor,4,2,NA,clothing,Light blue shirt,,1455300965511,Light blue shirt,dressShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
17,2298-c,1455301092177,36,subSuperTrial,basic23,poloShirt,target,4,2,shirt,clothing,rhino,distractor,3,4,NA,animal,bathrobe,distractor,2,3,NA,clothing,Blue shirt,,1455301091155,Blue shirt,poloShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
21,2298-c,1455301118010,42,subSuperTrial,basic33,hawaiiShirt,target,3,3,shirt,clothing,grasses,distractor,4,4,NA,plant,lion,distractor,2,2,NA,animal,Shirt,,1455301116967,Shirt,hawaiiShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
56,2662-0,1455301393352,43,subSuperTrial,basic33,tShirt,target,2,3,shirt,clothing,pottedPlant,distractor,4,4,NA,plant,sheep,distractor,3,2,NA,animal,shirt,,1455301392239,shirt,tShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
63,2662-0,1455301515933,57,subSuperTrial,basic23,hawaiiShirt,target,2,4,shirt,clothing,gloves,distractor,4,2,NA,clothing,bookcase,distractor,3,3,NA,furniture,shirt,,1455301514428,shirt,hawaiiShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
66,2662-0,1455301551925,61,subSuperTrial,basic33,poloShirt,target,3,4,shirt,clothing,wardrobe,distractor,2,2,NA,furniture,crocodile,distractor,4,3,NA,animal,shirt,,1455301550248,shirt,poloShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
85,4633-0,1455301260413,31,subSuperTrial,basic23,poloShirt,target,2,4,shirt,clothing,dress,distractor,3,2,NA,clothing,bookcase,distractor,4,3,NA,furniture,shirt,,1455301258414,shirt,poloShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
90,4633-0,1455301333629,37,subSuperTrial,basic23,dressShirt,target,4,4,shirt,clothing,gloves,distractor,2,3,NA,clothing,chips,distractor,3,2,NA,snack,shirt,,1455301331735,shirt,dressShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
95,4633-0,1455301438733,46,subSuperTrial,basic12,hawaiiShirt,target,4,3,shirt,clothing,gloves,distractor,2,2,NA,clothing,campShirt,distractor,3,4,shirt,clothing,print shirt,,1455301436952,print shirt,hawaiiShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
96,4633-0,1455301446978,47,subSuperTrial,basic22,tShirt,target,2,2,shirt,clothing,gloves,distractor,4,3,NA,clothing,bathrobe,distractor,3,4,NA,clothing,shirt,,1455301445323,shirt,tShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
