gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,onlySubAttr,onlyBasicAttr,onlySuperAttr,onlyOtherAttr,oneMentioned,theMentioned,fullSentence,noLevelMentioned,subAllAttr,basicAllAttr,superAllAttr,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,
10,2298-c,1455301022933,21,subSuperTrial,basic33,gummyBears,target,2,2,candy,snack,grasses,distractor,3,3,NA,plant,dress,distractor,4,4,NA,clothing,Candy,,1455301021652,Candy,gummyBears,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
12,2298-c,1455301048605,27,subSuperTrial,basic23,jellyBeans,target,2,3,candy,snack,chips,distractor,4,2,NA,snack,socks,distractor,3,4,NA,clothing,Candy,,1455301047623,Candy,jellyBeans,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
18,2298-c,1455301105711,39,subSuperTrial,basic23,mnMs,target,2,2,candy,snack,popcorn,distractor,4,4,NA,snack,gloves,distractor,3,3,NA,clothing,Candy,,1455301104708,Candy,mnMs,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
51,2662-0,1455301288345,32,subSuperTrial,basic23,mnMs,target,4,2,candy,snack,ambulance,distractor,2,4,NA,vehicle,popcorn,distractor,3,3,NA,snack,candy,,1455301285854,candy,mnMs,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
70,2662-0,1455301616272,69,subSuperTrial,basic23,skittles,target,3,2,candy,snack,chips,distractor,4,3,NA,snack,socks,distractor,2,4,NA,clothing,candy,,1455301615264,candy,skittles,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
72,2662-0,1455301643618,72,subSuperTrial,basic22,jellyBeans,target,2,2,candy,snack,chips,distractor,3,3,NA,snack,pretzels,distractor,4,4,NA,snack,candy,,1455301642320,candy,jellyBeans,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
100,1997-d,1455300994230,4,subSuperTrial,basic23,skittles,target,4,4,candy,snack,chips,distractor,3,2,NA,snack,lobster,distractor,2,3,NA,animal,candy,,1455300992098,candy,skittles,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
109,1997-d,1455301128485,22,subSuperTrial,basic23,gummyBears,target,4,4,candy,snack,chips,distractor,3,3,NA,snack,pig,distractor,2,2,NA,animal,candy,,1455301126957,candy,gummyBears,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
120,1997-d,1455301268331,43,subSuperTrial,basic22,jellyBeans,target,3,4,candy,snack,pretzels,distractor,2,3,NA,snack,chips,distractor,4,2,NA,snack,candy,,1455301267057,candy,jellyBeans,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
222,5664-b,1455301256691,32,subSuperTrial,basic33,gummyBears,target,4,2,candy,snack,motorcycle,distractor,3,3,NA,vehicle,squirrel,distractor,2,4,NA,animal,candy,,1455301255121,candy,gummyBears,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
270,0082-3,1455301868138,53,subSuperTrial,basic22,skittles,target,3,4,candy,snack,cookies,distractor,2,3,NA,snack,chips,distractor,4,2,NA,snack,candy,,1455301866022,candy,skittles,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
287,9165-a,1455301182045,17,subSuperTrial,basic33,skittles,target,3,2,candy,snack,motorcycle,distractor,2,4,NA,vehicle,bathrobe,distractor,4,3,NA,clothing,candy,,1455301180737,candy,skittles,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
