"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"64"	"2662-0"	1455301525908	58	"subSuperTrial"	"basic22"	"gummyBears"	"target"	4	4	"candy"	"snack"	"cookies"	"distractor"	3	3	NA	"snack"	"popcorn"	"distractor"	2	2	NA	"snack"	"gummy"	""	"1455301524102"	"gummy"	"gummyBears"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"138"	"8691-5"	1455301015717	8	"subSuperTrial"	"basic22"	"gummyBears"	"target"	3	2	"candy"	"snack"	"chips"	"distractor"	4	4	NA	"snack"	"pretzels"	"distractor"	2	3	NA	"snack"	"gummi bears"	""	"1455301014386"	"gummi bears"	"gummyBears"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"201"	"3791-8"	1455301612000	62	"subSuperTrial"	"basic12"	"gummyBears"	"target"	4	3	"candy"	"snack"	"candyCorn"	"distractor"	2	4	"candy"	"snack"	"pretzels"	"distractor"	3	2	NA	"snack"	"gummi"	""	"1455301610580"	"gummi"	"gummyBears"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"311"	"9165-a"	1455301514143	69	"subSuperTrial"	"basic33"	"gummyBears"	"target"	4	3	"candy"	"snack"	"rabbit"	"distractor"	3	2	NA	"animal"	"gloves"	"distractor"	2	4	NA	"clothing"	"gummi bears"	""	"1455301513076"	"gummi bears"	"gummyBears"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"350"	"1749-c"	1455301451635	71	"subSuperTrial"	"basic23"	"gummyBears"	"target"	2	4	"candy"	"snack"	"lobster"	"distractor"	4	2	NA	"animal"	"chips"	"distractor"	3	3	NA	"snack"	"gummy bears"	""	"1455301449729"	"gummy bears"	"gummyBears"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"414"	"9973-0"	1455301390427	58	"subSuperTrial"	"basic33"	"gummyBears"	"target"	2	3	"candy"	"snack"	"socks"	"distractor"	3	4	NA	"clothing"	"grasses"	"distractor"	4	2	NA	"plant"	"gummy"	""	"1455301389314"	"gummy"	"gummyBears"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"443"	"4855-c"	1455301427789	42	"subSuperTrial"	"basic33"	"gummyBears"	"target"	3	3	"candy"	"snack"	"bathrobe"	"distractor"	4	2	NA	"clothing"	"sheep"	"distractor"	2	4	NA	"animal"	"gummies"	""	"1455301426507"	"gummies"	"gummyBears"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"459"	"4886-d"	1455301129257	2	"subSuperTrial"	"basic12"	"gummyBears"	"target"	3	3	"candy"	"snack"	"candyCorn"	"distractor"	4	2	"candy"	"snack"	"popcorn"	"distractor"	2	4	NA	"snack"	"bmmy bears"	""	"1455301127213"	"bmmy bears"	"gummyBears"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"507"	"6879-8"	1455301289500	24	"subSuperTrial"	"basic22"	"gummyBears"	"target"	4	4	"candy"	"snack"	"cookies"	"distractor"	3	3	NA	"snack"	"chips"	"distractor"	2	2	NA	"snack"	"gummy bear"	""	"1455301288157"	"gummy bear"	"gummyBears"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"570"	"5222-f"	1455301300557	7	"subSuperTrial"	"basic23"	"gummyBears"	"target"	3	3	"candy"	"snack"	"bed"	"distractor"	2	2	NA	"furniture"	"popcorn"	"distractor"	4	4	NA	"snack"	"gummie bears"	""	"1455301298650"	"gummie bears"	"gummyBears"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
