condition,target,priorWeight,label,prob
item12,rose,0.05,type,0.5315
item12,rose,0.05,basicLevel,0.2745
item12,rose,0.05,superDomain,0.1940
item12,tulip,0.05,type,0.4928
item12,tulip,0.05,basicLevel,0.2972
item12,tulip,0.05,superDomain,0.2100
item12,daisy,0.05,type,0.5063
item12,daisy,0.05,basicLevel,0.2893
item12,daisy,0.05,superDomain,0.2044
item12,sunflower,0.05,type,0.4979
item12,sunflower,0.05,basicLevel,0.2942
item12,sunflower,0.05,superDomain,0.2079
item22,rose,0.05,type,0.4170
item22,rose,0.05,basicLevel,0.4308
item22,rose,0.05,superDomain,0.1522
item22,tulip,0.05,type,0.3799
item22,tulip,0.05,basicLevel,0.4582
item22,tulip,0.05,superDomain,0.1619
item22,daisy,0.05,type,0.3927
item22,daisy,0.05,basicLevel,0.4488
item22,daisy,0.05,superDomain,0.1585
item22,sunflower,0.05,type,0.3847
item22,sunflower,0.05,basicLevel,0.4547
item22,sunflower,0.05,superDomain,0.1606
item23,rose,0.05,type,0.3875
item23,rose,0.05,basicLevel,0.4003
item23,rose,0.05,superDomain,0.2122
item23,tulip,0.05,type,0.3514
item23,tulip,0.05,basicLevel,0.4239
item23,tulip,0.05,superDomain,0.2247
item23,daisy,0.05,type,0.3639
item23,daisy,0.05,basicLevel,0.4158
item23,daisy,0.05,superDomain,0.2204
item23,sunflower,0.05,type,0.3561
item23,sunflower,0.05,basicLevel,0.4209
item23,sunflower,0.05,superDomain,0.2230
item33,rose,0.05,type,0.3197
item33,rose,0.05,basicLevel,0.3303
item33,rose,0.05,superDomain,0.3501
item33,tulip,0.05,type,0.2869
item33,tulip,0.05,basicLevel,0.3462
item33,tulip,0.05,superDomain,0.3669
item33,daisy,0.05,type,0.2982
item33,daisy,0.05,basicLevel,0.3407
item33,daisy,0.05,superDomain,0.3611
item33,sunflower,0.05,type,0.2912
item33,sunflower,0.05,basicLevel,0.3441
item33,sunflower,0.05,superDomain,0.3647
