condition,target,priorWeight,label,prob
item12,convertible,0.05,type,0.4782
item12,convertible,0.05,basicLevel,0.3186
item12,convertible,0.05,superDomain,0.2031
item12,minivan,0.05,type,0.4742
item12,minivan,0.05,basicLevel,0.3211
item12,minivan,0.05,superDomain,0.2047
item12,sportsCar,0.05,type,0.4866
item12,sportsCar,0.05,basicLevel,0.3135
item12,sportsCar,0.05,superDomain,0.1999
item12,suv,0.05,type,0.4839
item12,suv,0.05,basicLevel,0.3152
item12,suv,0.05,superDomain,0.2009
item22,convertible,0.05,type,0.3627
item22,convertible,0.05,basicLevel,0.4833
item22,convertible,0.05,superDomain,0.1540
item22,minivan,0.05,type,0.3589
item22,minivan,0.05,basicLevel,0.4861
item22,minivan,0.05,superDomain,0.1549
item22,sportsCar,0.05,type,0.3704
item22,sportsCar,0.05,basicLevel,0.4774
item22,sportsCar,0.05,superDomain,0.1522
item22,suv,0.05,type,0.3679
item22,suv,0.05,basicLevel,0.4793
item22,suv,0.05,superDomain,0.1528
item23,convertible,0.05,type,0.3367
item23,convertible,0.05,basicLevel,0.4487
item23,convertible,0.05,superDomain,0.2145
item23,minivan,0.05,type,0.3331
item23,minivan,0.05,basicLevel,0.4512
item23,minivan,0.05,superDomain,0.2157
item23,sportsCar,0.05,type,0.3442
item23,sportsCar,0.05,basicLevel,0.4436
item23,sportsCar,0.05,superDomain,0.2121
item23,suv,0.05,type,0.3418
item23,suv,0.05,basicLevel,0.4453
item23,suv,0.05,superDomain,0.2129
item33,convertible,0.05,type,0.2773
item33,convertible,0.05,basicLevel,0.3695
item33,convertible,0.05,superDomain,0.3533
item33,minivan,0.05,type,0.2740
item33,minivan,0.05,basicLevel,0.3711
item33,minivan,0.05,superDomain,0.3549
item33,sportsCar,0.05,type,0.2840
item33,sportsCar,0.05,basicLevel,0.3660
item33,sportsCar,0.05,superDomain,0.3500
item33,suv,0.05,type,0.2818
item33,suv,0.05,basicLevel,0.3671
item33,suv,0.05,superDomain,0.3511
