condition,target,priorWeight,label,prob
item12,coffeeTable,0.05,type,0.4882
item12,coffeeTable,0.05,basicLevel,0.3243
item12,coffeeTable,0.05,superDomain,0.1875
item12,diningTable,0.05,type,0.4798
item12,diningTable,0.05,basicLevel,0.3296
item12,diningTable,0.05,superDomain,0.1906
item12,picnicTable,0.05,type,0.4793
item12,picnicTable,0.05,basicLevel,0.3299
item12,picnicTable,0.05,superDomain,0.1908
item12,bedsideTable,0.05,type,0.4767
item12,bedsideTable,0.05,basicLevel,0.3316
item12,bedsideTable,0.05,superDomain,0.1917
item22,coffeeTable,0.05,type,0.3687
item22,coffeeTable,0.05,basicLevel,0.4897
item22,coffeeTable,0.05,superDomain,0.1416
item22,diningTable,0.05,type,0.3609
item22,diningTable,0.05,basicLevel,0.4958
item22,diningTable,0.05,superDomain,0.1433
item22,picnicTable,0.05,type,0.3604
item22,picnicTable,0.05,basicLevel,0.4961
item22,picnicTable,0.05,superDomain,0.1434
item22,bedsideTable,0.05,type,0.3580
item22,bedsideTable,0.05,basicLevel,0.4980
item22,bedsideTable,0.05,superDomain,0.1440
item23,coffeeTable,0.05,type,0.3443
item23,coffeeTable,0.05,basicLevel,0.4573
item23,coffeeTable,0.05,superDomain,0.1983
item23,diningTable,0.05,type,0.3367
item23,diningTable,0.05,basicLevel,0.4626
item23,diningTable,0.05,superDomain,0.2006
item23,picnicTable,0.05,type,0.3363
item23,picnicTable,0.05,basicLevel,0.4629
item23,picnicTable,0.05,superDomain,0.2008
item23,bedsideTable,0.05,type,0.3340
item23,bedsideTable,0.05,basicLevel,0.4646
item23,bedsideTable,0.05,superDomain,0.2015
item33,coffeeTable,0.05,type,0.2873
item33,coffeeTable,0.05,basicLevel,0.3816
item33,coffeeTable,0.05,superDomain,0.3310
item33,diningTable,0.05,type,0.2805
item33,diningTable,0.05,basicLevel,0.3853
item33,diningTable,0.05,superDomain,0.3342
item33,picnicTable,0.05,type,0.2801
item33,picnicTable,0.05,basicLevel,0.3855
item33,picnicTable,0.05,superDomain,0.3344
item33,bedsideTable,0.05,type,0.2780
item33,bedsideTable,0.05,basicLevel,0.3867
item33,bedsideTable,0.05,superDomain,0.3354
