condition,target,priorWeight,label,prob
item12,gummyBears,0.01,type,0.5179
item12,gummyBears,0.01,basicLevel,0.2897
item12,gummyBears,0.01,superDomain,0.1924
item12,jellyBeans,0.01,type,0.5243
item12,jellyBeans,0.01,basicLevel,0.2858
item12,jellyBeans,0.01,superDomain,0.1899
item12,skittles,0.01,type,0.5278
item12,skittles,0.01,basicLevel,0.2837
item12,skittles,0.01,superDomain,0.1885
item12,mnMs,0.01,type,0.5219
item12,mnMs,0.01,basicLevel,0.2872
item12,mnMs,0.01,superDomain,0.1908
item22,gummyBears,0.01,type,0.4016
item22,gummyBears,0.01,basicLevel,0.4492
item22,gummyBears,0.01,superDomain,0.1492
item22,jellyBeans,0.01,type,0.4078
item22,jellyBeans,0.01,basicLevel,0.4446
item22,jellyBeans,0.01,superDomain,0.1477
item22,skittles,0.01,type,0.4112
item22,skittles,0.01,basicLevel,0.4420
item22,skittles,0.01,superDomain,0.1468
item22,mnMs,0.01,type,0.4055
item22,mnMs,0.01,basicLevel,0.4463
item22,mnMs,0.01,superDomain,0.1482
item23,gummyBears,0.01,type,0.3737
item23,gummyBears,0.01,basicLevel,0.4180
item23,gummyBears,0.01,superDomain,0.2083
item23,jellyBeans,0.01,type,0.3798
item23,jellyBeans,0.01,basicLevel,0.4140
item23,jellyBeans,0.01,superDomain,0.2063
item23,skittles,0.01,type,0.3830
item23,skittles,0.01,basicLevel,0.4118
item23,skittles,0.01,superDomain,0.2052
item23,mnMs,0.01,type,0.3775
item23,mnMs,0.01,basicLevel,0.4155
item23,mnMs,0.01,superDomain,0.2070
item33,gummyBears,0.01,type,0.3093
item33,gummyBears,0.01,basicLevel,0.3460
item33,gummyBears,0.01,superDomain,0.3447
item33,jellyBeans,0.01,type,0.3148
item33,jellyBeans,0.01,basicLevel,0.3432
item33,jellyBeans,0.01,superDomain,0.3420
item33,skittles,0.01,type,0.3178
item33,skittles,0.01,basicLevel,0.3417
item33,skittles,0.01,superDomain,0.3405
item33,mnMs,0.01,type,0.3128
item33,mnMs,0.01,basicLevel,0.3442
item33,mnMs,0.01,superDomain,0.3430
