gameid,time,roundNum,name,targetStatus,speakerLocs,listenerLocs
3432-b,1447282393365,1,sheep,distractor,1,3
3432-b,1447282394014,2,big_green_folder,target,1,3
3432-b,1447282396749,3,coconut,distractor,3,3
