gameid,time,roundNum,name
7887-b,1447185489612,1,television
7887-b,1447185490120,2,sheep
7887-b,1447185490558,3,turtle
7887-b,1447185491129,4,folder
7887-b,1447185491522,5,bison
7887-b,1447185491840,6,firetruck
7887-b,1447185492242,7,cap
7887-b,1447185492864,8,smokedetector
7887-b,1447185493350,9,television
7887-b,1447185493791,10,coathanger
7887-b,1447185494249,11,ornament
7887-b,1447185494608,12,football
7887-b,1447185495014,13,toilet
7887-b,1447185495419,14,garbagecan
7887-b,1447185495898,15,car
7887-b,1447185496443,16,tack
