Item,Color,utterance,Typicality,YMin,YMax
apple,blue,apple,0.462,0.391008474576271,0.539156779661017
apple,blue,avocado,0.039,0.0121428571428571,0.0725089285714286
apple,blue,banana,0.04,0.0156,0.06961
apple,blue,carrot,0.035,0.00692307692307692,0.08
apple,blue,fruit,0.506,0.377,0.638527777777778
apple,blue,pear,0.004,0,0.0114285714285714
apple,blue,pepper,0.045,0.01039,0.08601
apple,blue,tomato,0.034,0.00428571428571429,0.075
apple,blue,vegetable,0.081,0.00923076923076922,0.181557692307692
apple,green,apple,0.961,0.935063559322034,0.979834745762712
apple,green,avocado,0.022,0.00928571428571429,0.0364285714285714
apple,green,banana,0.072,0.0156,0.15882
apple,green,carrot,0.023,0.00235294117647059,0.0570735294117647
apple,green,fruit,0.929,0.879375,0.97
apple,green,pear,0.14,0.0655462962962963,0.225601851851852
apple,green,pepper,0.014,0.00333333333333333,0.0294583333333333
apple,green,tomato,0.044,0.0153846153846154,0.0815384615384615
apple,green,vegetable,0.128,0.0587395833333333,0.226770833333333
apple,red,apple,0.953,0.910661016949153,0.985593220338983
apple,red,avocado,0.052,0.0230673076923077,0.0888557692307692
apple,red,banana,0.07,0.0223076923076923,0.133471153846154
apple,red,carrot,0.011,0.00333333333333333,0.0206666666666667
apple,red,fruit,0.932,0.883703703703704,0.973342592592593
apple,red,pear,0.014,0.00305769230769231,0.0284615384615385
apple,red,pepper,0.026,0.00823529411764706,0.0488382352941176
apple,red,tomato,0.088,0.034,0.15242
apple,red,vegetable,0.182,0.0619833333333333,0.326766666666667
avocado,black,apple,0.055,0.0222037037037037,0.0889351851851851
avocado,black,avocado,0.812,0.761004237288136,0.862720338983051
avocado,black,banana,0.036,0.012962962962963,0.0629814814814815
avocado,black,carrot,0.016,0.00615384615384615,0.0292307692307692
avocado,black,fruit,0.539,0.41237,0.66682
avocado,black,pear,0.08,0.0285714285714286,0.156428571428571
avocado,black,pepper,0.08,0.0177777777777778,0.180569444444444
avocado,black,tomato,0.069,0.009359375,0.179375
avocado,black,vegetable,0.332,0.206519230769231,0.463096153846154
avocado,green,apple,0.022,0.0095,0.037
avocado,green,avocado,0.966,0.941169491525424,0.985762711864407
avocado,green,banana,0.046,0.0199907407407407,0.0767037037037037
avocado,green,carrot,0.06,0.0177777777777778,0.118907407407407
avocado,green,fruit,0.503,0.324984375,0.687546875
avocado,green,pear,0.045,0.0133333333333333,0.0929270833333333
avocado,green,pepper,0.069,0.0246339285714286,0.130392857142857
avocado,green,tomato,0.052,0.00873958333333334,0.10709375
avocado,green,vegetable,0.455,0.326401785714286,0.587196428571429
avocado,red,apple,0.08,0.0377272727272727,0.131363636363636
avocado,red,avocado,0.696,0.622186440677966,0.76678813559322
avocado,red,banana,0.07,0.0314285714285714,0.115366071428571
avocado,red,carrot,0.008,0.00166666666666667,0.0194444444444444
avocado,red,fruit,0.329,0.162089285714286,0.503607142857143
avocado,red,pear,0.103,0.0314903846153846,0.192730769230769
avocado,red,pepper,0.104,0.0363928571428571,0.179678571428571
avocado,red,tomato,0.051,0.00789473684210527,0.130526315789474
avocado,red,vegetable,0.236,0.110660714285714,0.385
banana,blue,apple,0.044,0.012212962962963,0.0866944444444444
banana,blue,avocado,0.016,0.00615384615384615,0.0269230769230769
banana,blue,banana,0.419,0.339283898305085,0.500872881355932
banana,blue,carrot,0.039,0.0136363636363636,0.0681931818181818
banana,blue,fruit,0.603,0.465769230769231,0.725048076923077
banana,blue,pear,0.012,0.00588235294117647,0.0206029411764706
banana,blue,pepper,0.073,0.0110394736842105,0.170013157894737
banana,blue,tomato,0.042,0.0125925925925926,0.0811111111111111
banana,blue,vegetable,0.054,0.00538461538461538,0.114634615384615
banana,brown,apple,0.04,0.0161538461538462,0.0669326923076923
banana,brown,avocado,0.048,0.00523809523809524,0.12952380952381
banana,brown,banana,0.657,0.586601694915254,0.726135593220339
banana,brown,carrot,0.013,0.00333333333333333,0.025
banana,brown,fruit,0.726,0.596069444444444,0.833347222222222
banana,brown,pear,0.041,0.00375,0.091875
banana,brown,pepper,0.06,0.0222980769230769,0.113086538461538
banana,brown,tomato,0.033,0.005,0.0679270833333333
banana,brown,vegetable,0.077,0.0234519230769231,0.140384615384615
banana,yellow,apple,0.043,0.0188461538461538,0.0715384615384615
banana,yellow,avocado,0.024,0.008125,0.045625
banana,yellow,banana,0.979,0.965415254237288,0.989491525423729
banana,yellow,carrot,0.011,0.0025,0.0208333333333333
banana,yellow,fruit,0.973,0.952307692307692,0.990769230769231
banana,yellow,pear,0.074,0.028695652173913,0.133054347826087
banana,yellow,pepper,0.07,0.0148,0.14242
banana,yellow,tomato,0.018,0.00785714285714286,0.03
banana,yellow,vegetable,0.055,0.00722222222222222,0.14225
carrot,brown,apple,0.059,0.01465,0.114666666666667
carrot,brown,avocado,0.053,0.00798333333333334,0.110016666666667
carrot,brown,banana,0.076,0.01465,0.158666666666667
carrot,brown,carrot,0.565,0.399316666666667,0.738683333333333
carrot,brown,fruit,0.092,0.02665,0.174666666666667
carrot,brown,pear,0.052,0.00466666666666667,0.11935
carrot,brown,pepper,0.086,0.0266666666666667,0.154666666666667
carrot,brown,tomato,0.041,0.01265,0.0800166666666667
carrot,brown,vegetable,0.623,0.431883333333333,0.791433333333333
carrot,orange,apple,0.013,0.00133333333333333,0.0346666666666667
carrot,orange,avocado,0.034,0.010625,0.06625
carrot,orange,banana,0.079,0.00142857142857143,0.219303571428571
carrot,orange,carrot,0.976,0.944563559322034,0.992033898305085
carrot,orange,fruit,0.019,0.006,0.03335
carrot,orange,pear,0.034,0.0108,0.06401
carrot,orange,pepper,0.043,0.0180769230769231,0.07425
carrot,orange,tomato,0.047,0.00333333333333333,0.129444444444444
carrot,orange,vegetable,0.895,0.79758,0.96442
carrot,pink,apple,0.052,0.02,0.0896153846153846
carrot,pink,avocado,0.061,0.019375,0.12253125
carrot,pink,banana,0.021,0.00466666666666667,0.046
carrot,pink,carrot,0.503,0.431012711864407,0.569165254237288
carrot,pink,fruit,0.051,0.00222222222222222,0.133347222222222
carrot,pink,pear,0.013,0.00266666666666667,0.0246833333333333
carrot,pink,pepper,0.049,0.02,0.0809021739130434
carrot,pink,tomato,0.037,0.0140740740740741,0.0622222222222222
carrot,pink,vegetable,0.401,0.288461538461538,0.528480769230769
pear,green,apple,0.196,0.08437,0.31404
pear,green,avocado,0.055,0.0182608695652174,0.0960869565217391
pear,green,banana,0.021,0.00736842105263158,0.0363157894736842
pear,green,carrot,0.085,0.00785714285714285,0.23
pear,green,fruit,0.937,0.896923076923077,0.967701923076923
pear,green,pear,0.953,0.918792372881356,0.977457627118644
pear,green,pepper,0.016,0.00461538461538461,0.0338461538461538
pear,green,tomato,0.018,0.00176470588235294,0.046485294117647
pear,green,vegetable,0.115,0.0153846153846154,0.268461538461538
pear,orange,apple,0.142,0.06359,0.23161
pear,orange,avocado,0.055,0.0162395833333333,0.105833333333333
pear,orange,banana,0.01,0.002,0.0213333333333333
pear,orange,carrot,0.052,0.0123076923076923,0.113076923076923
pear,orange,fruit,0.777,0.68825,0.859152173913043
pear,orange,pear,0.686,0.617457627118644,0.750343220338983
pear,orange,pepper,0.054,0.0120729166666667,0.102916666666667
pear,orange,tomato,0.022,0.00767307692307692,0.0415384615384615
pear,orange,vegetable,0.14,0.0714814814814815,0.228166666666667
pear,yellow,apple,0.14,0.06039,0.23841
pear,yellow,avocado,0.026,0.00615384615384615,0.0538461538461538
pear,yellow,banana,0.071,0.0303611111111111,0.114092592592593
pear,yellow,carrot,0.016,0.006875,0.0275
pear,yellow,fruit,0.905,0.831147058823529,0.962955882352941
pear,yellow,pear,0.924,0.885245762711864,0.96068220338983
pear,yellow,pepper,0.142,0.00998437499999999,0.32690625
pear,yellow,tomato,0.023,0.00533333333333333,0.0440166666666666
pear,yellow,vegetable,0.12,0.0508695652173913,0.222652173913043
pepper,black,apple,0.058,0.0206666666666667,0.0986666666666667
pepper,black,avocado,0.046,0.006,0.102016666666667
pepper,black,banana,0.069,0.026,0.120666666666667
pepper,black,carrot,0.065,0.0179833333333333,0.12935
pepper,black,fruit,0.182,0.064,0.330733333333333
pepper,black,pear,0.06,0.0206666666666667,0.106
pepper,black,pepper,0.637,0.494633333333333,0.779333333333333
pepper,black,tomato,0.089,0.00998333333333333,0.192
pepper,black,vegetable,0.531,0.363966666666667,0.724
pepper,green,apple,0.03,0.00882352941176471,0.0553088235294118
pepper,green,avocado,0.015,0.00363636363636364,0.0327272727272727
pepper,green,banana,0.026,0.00466666666666667,0.06
pepper,green,carrot,0.019,0.00176470588235294,0.0505882352941176
pepper,green,fruit,0.183,0.0592307692307692,0.351634615384615
pepper,green,pear,0.02,0.005625,0.036875
pepper,green,pepper,0.941,0.903042372881356,0.970847457627119
pepper,green,tomato,0.032,0.0118181818181818,0.0536363636363636
pepper,green,vegetable,0.824,0.73,0.92875
pepper,orange,apple,0.043,0.016287037037037,0.0796388888888889
pepper,orange,avocado,0.045,0.0154166666666667,0.08584375
pepper,orange,banana,0.011,0.00294117647058824,0.0235294117647059
pepper,orange,carrot,0.083,0.0318518518518519,0.156694444444444
pepper,orange,fruit,0.194,0.08959,0.3065
pepper,orange,pear,0.04,0.012125,0.0864285714285714
pepper,orange,pepper,0.841,0.787283898305085,0.888309322033898
pepper,orange,tomato,0.052,0.0253653846153846,0.0815576923076923
pepper,orange,vegetable,0.777,0.678148148148148,0.860740740740741
pepper,red,apple,0.027,0.01,0.0464464285714286
pepper,red,avocado,0.068,0.0023076923076923,0.188480769230769
pepper,red,banana,0.019,0.00368421052631579,0.0442236842105263
pepper,red,carrot,0.036,0.0155555555555556,0.0618611111111111
pepper,red,fruit,0.106,0.0322222222222222,0.201152777777778
pepper,red,pear,0.077,0.0184,0.17721
pepper,red,pepper,0.934,0.882491525423729,0.971542372881356
pepper,red,tomato,0.018,0.0025,0.0433333333333333
pepper,red,vegetable,0.777,0.650291666666667,0.894583333333333
tomato,green,apple,0.102,0.0419038461538462,0.176173076923077
tomato,green,avocado,0.017,0.00692307692307692,0.03
tomato,green,banana,0.096,0.03039,0.18562
tomato,green,carrot,0.013,0.00357142857142857,0.025
tomato,green,fruit,0.341,0.199986111111111,0.494486111111111
tomato,green,pear,0.045,0.01559,0.0824
tomato,green,pepper,0.083,0.016,0.18735
tomato,green,tomato,0.738,0.663889830508475,0.801872881355932
tomato,green,vegetable,0.598,0.402017857142857,0.772875
tomato,pink,apple,0.022,0.00823529411764706,0.0388382352941176
tomato,pink,avocado,0.065,0.0190909090909091,0.119568181818182
tomato,pink,banana,0.037,0.0138461538461538,0.0673365384615384
tomato,pink,carrot,0.056,0.0172613636363636,0.100011363636364
tomato,pink,fruit,0.233,0.109333333333333,0.382783333333333
tomato,pink,pear,0.011,0.00466666666666667,0.018
tomato,pink,pepper,0.063,0.0251851851851852,0.112962962962963
tomato,pink,tomato,0.412,0.331665254237288,0.49135593220339
tomato,pink,vegetable,0.336,0.201132352941176,0.488823529411765
tomato,red,apple,0.093,0.0114285714285714,0.217160714285714
tomato,red,avocado,0.023,0.00533333333333333,0.0426666666666667
tomato,red,banana,0.013,0.00641071428571429,0.0207142857142857
tomato,red,carrot,0.011,0.00266666666666667,0.0213333333333333
tomato,red,fruit,0.413,0.28737962962963,0.530740740740741
tomato,red,pear,0.047,0.0248148148148148,0.074462962962963
tomato,red,pepper,0.049,0.012484375,0.094390625
tomato,red,tomato,0.962,0.930508474576271,0.984245762711864
tomato,red,vegetable,0.745,0.62317,0.85485
