Utterance	condition	target	MAP	credHigh	credLow	EmpProportion	EmpYMin	EmpYMax	ModelType
basic	item12	bedsidetable	0.148032442892228	0.148032442892228	0.148032442892228	0.166666666666667	0	0.5	det-nocost
basic	item12	blackbear	0.146796627020699	0.146796627020699	0.146796627020699	0.318181818181818	0.136363636363636	0.5	det-nocost
basic	item12	catfish	0.146017500250767	0.146017500250767	0.146017500250767	0.2	0	0.4	det-nocost
basic	item12	clownfish	0.146017500250767	0.146017500250767	0.146017500250767	0.5	0.166666666666667	0.833333333333333	det-nocost
basic	item12	coffeetable	0.146796627020699	0.146796627020699	0.146796627020699	0.5	0.2	0.8	det-nocost
basic	item12	convertible	0.146017500250767	0.146017500250767	0.146017500250767	0.428571428571429	0.142857142857143	0.714285714285714	det-nocost
basic	item12	daisy	0.146017500250767	0.146017500250767	0.146017500250767	0	0	0	det-nocost
basic	item12	dalmatian	0.147337020090382	0.147337020090382	0.147337020090382	0.125	0	0.375	det-nocost
basic	item12	diningtable	0.147337020090382	0.147337020090382	0.147337020090382	1	1	1	det-nocost
basic	item12	eagle	0.146017500250767	0.146017500250767	0.146017500250767	0.0666666666666667	0	0.2	det-nocost
basic	item12	germanshepherd	0.145286214908271	0.145286214908271	0.145286214908271	0.368421052631579	0.157894736842105	0.578947368421053	det-nocost
basic	item12	goldfish	0.144950648136693	0.144950648136693	0.144950648136693	0.222222222222222	0.0555555555555556	0.444444444444444	det-nocost
basic	item12	grizzlybear	0.147337020090382	0.147337020090382	0.147337020090382	0.85	0.65	1	det-nocost
basic	item12	gummybears	0.146017500250767	0.146017500250767	0.146017500250767	0	0	0	det-nocost
basic	item12	hawaiishirt	0.146796627020699	0.146796627020699	0.146796627020699	0.533333333333333	0.266666666666667	0.8	det-nocost
basic	item12	hummingbird	0.14500071641513	0.14500071641513	0.14500071641513	0.142857142857143	0	0.357142857142857	det-nocost
basic	item12	husky	0.145286214908271	0.145286214908271	0.145286214908271	0.15	0	0.35	det-nocost
basic	item12	jellybeans	0.146796627020699	0.146796627020699	0.146796627020699	0.0833333333333333	0	0.25	det-nocost
basic	item12	minivan	0.146796627020699	0.146796627020699	0.146796627020699	0.25	0.0833333333333333	0.5	det-nocost
basic	item12	mnms	0.147337020090382	0.147337020090382	0.147337020090382	0	0	0	det-nocost
basic	item12	pandabear	0.145286214908271	0.145286214908271	0.145286214908271	0.0769230769230769	0	0.230769230769231	det-nocost
basic	item12	parrot	0.149789432341745	0.149789432341745	0.149789432341745	0.153846153846154	0	0.384615384615385	det-nocost
basic	item12	picnictable	0.146796627020699	0.146796627020699	0.146796627020699	0	0	0	det-nocost
basic	item12	pigeon	0.148306244040532	0.148306244040532	0.148306244040532	0.3	0	0.6	det-nocost
basic	item12	polarbear	0.145656328788965	0.145656328788965	0.145656328788965	0.105263157894737	0	0.263157894736842	det-nocost
basic	item12	poloshirt	0.147337020090382	0.147337020090382	0.147337020090382	0.466666666666667	0.266666666666667	0.733333333333333	det-nocost
