Utterance	condition	Probability	YMax	YMin	ModelType
basic	item12	0.146712405625972	0.147278126873911	0.146235823782026	det-nocost
basic	item22	0.484346837893713	0.485218358743505	0.483895091610692	det-nocost
basic	item23	0.459598670402522	0.461911524068358	0.458414427802387	det-nocost
basic	item33	0.337593164918441	0.34684662260976	0.332962827847297	det-nocost
sub	item12	0.80136878493081	0.804231248178025	0.799765869701375	det-nocost
sub	item22	0.484346837893713	0.485216479592471	0.483895869150421	det-nocost
sub	item23	0.459598670402522	0.461882522114981	0.458416617923202	det-nocost
sub	item33	0.337593164918441	0.346845317124519	0.332961947617512	det-nocost
super	item12	0.0537371749653304	0.054004896957955	0.0535352791893298	det-nocost
super	item22	0.0321658237640292	0.0322177286825295	0.0321151745654472	det-nocost
super	item23	0.0830817903484418	0.0831982116223184	0.0829715847621354	det-nocost
super	item33	0.332969475515773	0.332978425369676	0.332959326741636	det-nocost
