brown,small,color42
red,big,color31
red,small,size32
black,small,color21
blue,small,size22
blue,big,color32
purple,big,size42
green,big,size33
purple,small,size44
red,big,size22
green,big,color21
blue,small,color22
white,big,color42
white,small,size43
red,big,color41
purple,big,size21
blue,big,size41
blue,big,color43
white,small,size21
green,small,color33
yellow,small,size42
pink,small,size41
purple,big,color44
blue,small,size33
red,small,color44
blue,big,size31
red,small,color31
red,small,color33
purple,big,size32
yellow,big,size31
yellow,big,size43
pink,small,color43
brown,small,color21
pink,big,color43
blue,big,color44
red,small,size44
green,small,color41
brown,small,color22
pink,big,size32
blue,big,color21
green,big,size43
purple,small,size33
pink,small,size44
blue,big,color42
blue,small,color33
purple,big,color31
black,big,size42
white,small,size42
blue,big,size33
purple,small,size41
black,big,size22
purple,big,color32
black,big,color22
blue,small,color44
blue,big,color31
purple,small,size43
orange,big,size22
purple,small,size31
purple,small,color41
pink,small,color32
blue,small,color43
yellow,big,color44
red,small,size43
black,small,size32
red,big,size33
pink,big,color21
blue,small,size21
pink,big,color33
green,big,color42
brown,small,color32
orange,small,size41
yellow,big,size22
red,big,color22
purple,big,color33
orange,big,color21
purple,small,size22
purple,big,color22
green,small,color44
green,big,size42
black,small,size31
orange,big,color41
pink,big,size31
purple,big,size44
green,big,size31
white,big,color44
pink,small,size43
green,big,color43
purple,small,color31
blue,small,size42
black,small,color22
pink,small,size21
orange,big,color32
blue,small,size41
black,big,size43
red,small,size41
purple,small,size32
green,small,size32
blue,small,color42
purple,small,size21
orange,big,color43
white,small,color43
pink,big,size43
green,small,color31
pink,big,color42
pink,small,size22
black,big,size32
yellow,small,color22
pink,small,size32
purple,small,color33
black,big,size44
pink,small,color42
red,big,color21
blue,big,color41
red,small,size31
black,big,color32
blue,small,size43
red,big,color44
red,small,size33
red,small,size21
blue,big,size42
black,big,color43
blue,small,color31
orange,big,color31
pink,big,size42
blue,small,size31
pink,big,size21
white,small,size44
green,small,size41
red,big,color32
white,big,size32
purple,small,color22
purple,small,color44
white,big,color33
green,big,color41
yellow,small,color21
pink,big,color41
purple,small,color42
red,big,size41
yellow,small,size33
black,big,size31
green,small,color32
white,big,size44
blue,big,size22
blue,small,color21
blue,small,size44
yellow,small,color32
green,big,color33
brown,big,color43
green,small,size44
black,big,color41
orange,small,size31
red,small,color21
white,small,color32
orange,big,color44
purple,big,size43
purple,big,size22
brown,small,size21
yellow,small,color33
black,small,color44
orange,big,size31
green,small,color21
green,big,size21
pink,small,size42
white,small,color44
purple,big,size41
green,big,color32
purple,small,color43
black,small,color33
pink,big,color32
purple,small,color21
purple,big,color41
pink,small,color41
red,small,color22
pink,big,size22
green,small,color43
orange,small,size33
orange,big,color33
black,small,size44
blue,small,size32
black,small,color31
white,small,color41
purple,small,size42
red,big,color43
green,small,size33
yellow,big,color21
red,big,size42
red,big,color42
blue,big,color33
orange,small,size22
black,small,size41
brown,small,color44
white,big,size31
orange,big,size44
white,big,color22
purple,big,size33
green,big,color44
white,big,size42
orange,small,color43
white,big,color21
white,big,color31
purple,big,size31
orange,small,color22
blue,small,color32
brown,big,size32
orange,big,size43
blue,big,size21
green,small,size43
black,small,color41
yellow,big,size41
brown,big,size41
brown,small,size33
pink,small,color21
white,small,size33
black,big,color42
pink,big,color22
orange,small,size44
purple,big,color21
blue,big,color22
blue,big,size43
red,big,size43
green,small,size22
green,big,size32
black,small,color42
purple,big,color43
white,big,size33
brown,small,color33
blue,small,color41
orange,small,color32
red,big,size21
green,small,color22
blue,big,size32
green,small,size42
black,small,size43
brown,big,color22
black,big,size41
black,small,color43
red,small,size22
green,big,color31
orange,small,size32
white,big,size43
red,small,size42
red,big,size31
purple,small,color32
white,big,color41
orange,small,color41
white,small,color21
orange,small,color31
pink,small,color44
brown,big,size44
red,big,size32
pink,big,size44
green,small,size31
black,big,size33
blue,big,size44
white,small,color42
yellow,big,size32
orange,small,color42
yellow,big,color43
pink,big,size33
brown,big,color32
orange,big,color22
orange,small,size42
white,small,color33
green,big,size41
pink,big,color44
black,big,color31
green,small,color42
orange,big,size21
white,small,color22
brown,big,size42
brown,small,color43
orange,big,size42
yellow,small,size32
white,big,color32
brown,small,color41
yellow,big,color33
green,small,size21
white,small,color31
red,small,color41
orange,small,color44
pink,small,color22
brown,big,color41
yellow,small,color31
white,big,size21
pink,big,color31
brown,small,size32
white,small,size31
red,small,color43
green,big,size22
white,small,size41
pink,small,color33
orange,big,size32
black,big,color44
yellow,big,size42
purple,big,color42
brown,small,size22
green,big,color22
pink,big,size41
red,big,size44
black,small,size33
red,small,color42
brown,small,size43
red,big,color33
green,big,size44
white,small,size22
white,big,size41
black,big,size21
black,small,color32
yellow,big,color42
black,small,size22
orange,big,color42
pink,small,size33
yellow,small,size43
orange,small,color33
brown,big,color33
red,small,color32
yellow,big,color22
black,small,size42
orange,small,color21
orange,small,size43
yellow,small,size22
orange,big,size33
white,small,size32
pink,small,size31
yellow,small,size21
yellow,small,size31
brown,big,color42
black,big,color33
orange,small,size21
black,big,color21
brown,small,size31
yellow,big,size44
yellow,small,color41
yellow,big,size33
yellow,small,color43
brown,big,color44
yellow,small,size41
brown,small,size42
brown,big,color31
pink,small,color31
yellow,big,color32
orange,big,size41
white,big,size22
black,small,size21
yellow,small,size44
brown,big,size31
brown,small,color31
