2298-c,1,color42,size,brown,black,belt,brown
2298-c,3,color31,size,red,purple,flower,red
2298-c,4,size32,size,red,purple,yarn,size_red
2298-c,5,color21,size,black,brown,turtle,black
2298-c,6,size22,size,blue,purple,butterfly,size
2298-c,7,color32,size,blue,red,tack,blue
2298-c,8,size42,size,purple,orange,billiardball,size_purple
2298-c,10,size33,size,green,brown,jacket,size
2298-c,11,size44,size,purple,orange,coathanger,size
2298-c,12,size22,size,red,blue,candle,size
2298-c,13,color21,size,green,blue,binder,green
2298-c,22,color22,size,blue,purple,ornament,blue
2298-c,23,color42,size,white,pink,phone,white
2298-c,24,size43,size,white,pink,weddingcake,size
2298-c,26,color41,size,red,blue,toothbrush,red
2298-c,32,size21,size,purple,green,bracelet,size
2298-c,33,color41,size,red,green,pepper,red
2298-c,34,size41,size,blue,pink,golfball,size
2298-c,35,color43,size,blue,orange,cap,blue
2298-c,37,size21,size,white,pink,teacup,size
2298-c,38,color33,size,green,black,avocado,green
2298-c,45,size44,size,purple,pink,hairdryer,size
2298-c,46,size42,size,yellow,white,shoe,size_yellow
2298-c,48,size41,size,pink,red,bucket,size
2298-c,49,color44,size,purple,blue,rug,purple
2298-c,50,color22,size,blue,black,comb,blue
2298-c,59,size33,size,blue,green,guitar,size
2298-c,60,color44,size,red,purple,stapler,red
2298-c,61,size31,size,blue,orange,cushion,size
2298-c,62,color31,size,red,green,chair,red
2298-c,64,color32,size,blue,black,book,blue
2298-c,65,color33,size,red,purple,bike,red
2298-c,66,size32,size,purple,green,rock,size
2298-c,67,size31,size,yellow,orange,napkin,size
2298-c,69,size43,size,yellow,pink,balloon,size
2298-c,71,color43,size,pink,green,framee,pink
2662-0,1,color21,size,brown,green,jacket,brown
2662-0,4,color43,size,pink,yellow,balloon,pink
2662-0,5,size21,size,white,pink,phone,size
2662-0,6,color44,size,blue,green,guitar,blue
2662-0,7,size44,size,red,blue,toothbrush,size
2662-0,8,color41,size,green,purple,bracelet,green
2662-0,9,color22,size,brown,black,turtle,brown
2662-0,11,size32,size,pink,white,teacup,size
2662-0,14,color21,size,blue,black,book,blue
2662-0,16,size43,size,green,red,chair,size
2662-0,17,size33,size,purple,orange,coathanger,size
2662-0,19,size44,size,pink,white,weddingcake,size
2662-0,21,color42,size,blue,red,tack,blue
2662-0,24,color33,size,blue,green,binder,blue
2662-0,25,size21,size,purple,red,bike,size
2662-0,28,color31,size,purple,pink,hairdryer,purple
2662-0,29,size32,size,red,green,pepper,size
2662-0,35,color33,size,red,purple,stapler,red
2662-0,36,size42,size,black,brown,belt,size
2662-0,37,size31,size,blue,pink,golfball,size
2662-0,38,size42,size,white,yellow,shoe,size
2662-0,39,size41,size,pink,green,framee,size
2662-0,41,size33,size,blue,purple,ornament,size
2662-0,44,size41,size,purple,orange,billiardball,size
