object,color_fidelity,size_fidelity,color_cost,size_cost,speaker-opt,context,big_red,yellow,small_yellow,big_yellow,small,big,small_red,red
o1,0.7,0.7,0.1,0.1,5,size_0_2_1_1,0.48834540751657773,0.005740092846689804,0.00010208437047327399,0,0.0015010358742647968,0.3970112776720798,0.003481542301114522,0.10381855941880029
o1,0.7,0.7,0.1,0.1,10,size_0_2_1_1,0.5860572428733628,0.00008096990994556144,2.560969060487825e-8,0,0.000005536916390351333,0.3873392516957098,0.000029787165222474924,0.02648718582967837
o1,0.7,0.7,0.1,0.1,11,size_0_2_1_1,0.5997537614306311,0.000034071790829848886,4.8137519094378045e-9,0,0.000001781696394359368,0.3803116236219757,0.000011341513937065994,0.019887415132480154
o1,0.7,0.7,0.1,0.1,15,size_0_2_1_1,0.6464445547704009,0.0000010498003411591322,5.9051063385853046e-12,0,1.877254584027466e-8,0.34734295042905383,2.3424211824671083e-7,0.006211191979635025
o1,0.7,0.7,0.1,0.1,18,size_0_2_1_1,0.6764368522614584,7.636911775433639e-8,3.828802715786873e-14,0,6.106853901715023e-10,0.32099621301026476,1.262373025925506e-8,0.0025668451247051285
o1,0.7,0.7,0.1,0.2,10,size_0_2_1_1,0.5604708628746221,0.00021048984119597525,2.4491609933690214e-8,0,0.000005295182927438726,0.3704286010675836,0.000028486702276686848,0.06885623983978433
o1,0.7,0.7,0.1,0.2,11,size_0_2_1_1,0.5767273636059322,0.00009842750312109142,4.628937117727807e-9,0,0.0000017132915712174651,0.36571028669665545,0.000010906078215535369,0.05745129819556728
o1,0.7,0.7,0.1,0.2,15,size_0_2_1_1,0.6327585601979134,0.000004605270876901289,5.78008826440802e-12,0,1.837510887745103e-8,0.33998929001180067,2.292829360008162e-7,0.027247296855584042
o1,0.7,0.7,0.1,0.2,18,size_0_2_1_1,0.6677810419333261,4.560943227979193e-7,3.77980865228952e-14,0,6.028709476410341e-10,0.31688868645168555,1.2462194685916137e-8,0.015329802455562109
o1,0.7,0.7,0.2,0.1,5,size_0_2_1_1,0.38803045053907387,0.004560974218563829,0.00008111439906680744,0,0.0019664233065528206,0.5201023125187267,0.0027663707017178247,0.0824923543162984
o1,0.7,0.7,0.2,0.1,10,size_0_2_1_1,0.3518663991609511,0.00004861400656571608,1.537595469784475e-8,0,0.000009036499033861216,0.6321552515808707,0.000017884093568500374,0.01590279928305531
o1,0.7,0.7,0.2,0.1,11,size_0_2_1_1,0.34034158879255794,0.000019334680613553226,2.731654352618476e-9,0,0.000003037383803115902,0.6483441114789061,0.000006435956088789678,0.01128548897637603
o1,0.7,0.7,0.2,0.1,15,size_0_2_1_1,0.29259620091853267,4.751646359759934e-7,2.6727917621700726e-12,0,3.808046980322219e-8,0.7045918463972218,1.0602356132219301e-7,0.002811333412905527
o1,0.7,0.7,0.2,0.1,18,size_0_2_1_1,0.2580916020678958,2.913831185251558e-8,1.4608633808398766e-14,0,1.4095945475028121e-9,0.7409289937348037,4.816530553874661e-9,0.0009793688328489363
o1,0.7,0.7,0.2,0.2,10,size_0_2_1_1,0.3424793739207694,0.00012862118944014715,1.496575788682572e-8,0,0.000008795425021918032,0.6152907333533439,0.000017406985103112367,0.04207505416056359
o1,0.7,0.7,0.2,0.2,11,size_0_2_1_1,0.3328013930015223,0.00005679773878518954,2.6711351291957554e-9,0,0.000002970091208492758,0.6339801850546899,0.000006293368845237842,0.03315235807381385
o1,0.7,0.7,0.2,0.2,15,size_0_2_1_1,0.28975950084181107,0.0000021088944100809332,2.646879229563668e-12,0,3.771128226328393e-8,0.6977608768273524,1.0499567017530583e-7,0.012477370726826942
