gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain
4309-b,1448898629776,59,subSuperTrial,distr22,tulip,target,2,3,flower,plant,blackStimulus,NA,5,5,NA,NA,cherryTree,distrClass2,4,2,NA,plant,grasses,distrClass2,3,4,NA,plant,blackStimulus,NA,1,1,NA,NA
4309-b,1448898634856,60,colorSizeTrial,colorOnly4Distr3Same,small_red_pepper,target,1,5,NA,NA,small_green_pepper,distractor,2,2,NA,NA,big_green_pepper,distractor,3,3,NA,NA,small_green_pepper,distractor,5,1,NA,NA,small_green_pepper,distractor,4,4,NA,NA
4309-b,1448898640736,61,subSuperTrial,distr23,lamp,target,4,2,furniture,object,blackStimulus,NA,1,1,NA,NA,baseball,distrClass2,2,4,NA,object,blackStimulus,NA,5,5,NA,NA,iguana,distrClass3,3,3,NA,animal
4309-b,1448898645104,62,colorSizeTrial,sizeOnly4Distr4Same,small_black_turtle,target,5,3,NA,NA,big_black_turtle,distractor,3,2,NA,NA,big_black_turtle,distractor,2,4,NA,NA,big_black_turtle,distractor,1,5,NA,NA,big_black_turtle,distractor,4,1,NA,NA
4309-b,1448898650792,63,colorSizeTrial,sizeOnly4Distr3Same,big_white_weddingcake,target,5,4,NA,NA,small_white_weddingcake,distractor,1,2,NA,NA,small_white_weddingcake,distractor,4,1,NA,NA,small_white_weddingcake,distractor,3,3,NA,NA,small_pink_weddingcake,distractor,2,5,NA,NA
4309-b,1448898657663,64,colorSizeTrial,sizeOnly4Distr2Same,big_purple_rug,target,2,4,NA,NA,small_blue_rug,distractor,3,2,NA,NA,small_blue_rug,distractor,1,1,NA,NA,small_purple_rug,distractor,5,3,NA,NA,small_purple_rug,distractor,4,5,NA,NA
4309-b,1448898668598,65,subSuperTrial,distr12,germanShepherd,target,2,2,dog,animal,blackStimulus,NA,1,1,NA,NA,iguana,distrClass2,3,3,NA,animal,blackStimulus,NA,5,5,NA,NA,collie,distrClass1,4,4,dog,animal
4309-b,1448898675184,66,colorSizeTrial,colorOnly2Distr1Same,small_red_bucket,target,4,2,NA,NA,blackStimulus,NA,1,1,NA,NA,big_pink_bucket,distractor,2,3,NA,NA,small_pink_bucket,distractor,3,4,NA,NA,blackStimulus,NA,5,5,NA,NA
4309-b,1448898681270,67,colorSizeTrial,colorOnly2Distr1Same,small_green_avocado,target,3,4,NA,NA,small_black_avocado,distractor,2,2,NA,NA,blackStimulus,NA,1,1,NA,NA,big_black_avocado,distractor,4,3,NA,NA,blackStimulus,NA,5,5,NA,NA
4309-b,1448898692566,68,colorSizeTrial,colorOnly4Distr1Same,small_blue_comb,target,1,2,NA,NA,small_black_comb,distractor,3,4,NA,NA,big_black_comb,distractor,2,3,NA,NA,big_black_comb,distractor,4,5,NA,NA,big_black_comb,distractor,5,1,NA,NA
4309-b,1448898698861,69,subSuperTrial,distr12,lime,target,2,3,fruit,food,cherries,distrClass1,3,2,fruit,food,blackStimulus,NA,5,5,NA,NA,cookies,distrClass2,4,4,NA,food,blackStimulus,NA,1,1,NA,NA
4309-b,1448898703821,70,subSuperTrial,distr23,bed,target,3,2,furniture,object,tire,distrClass2,4,4,NA,object,blackStimulus,NA,5,5,NA,NA,fries,distrClass3,2,3,NA,food,blackStimulus,NA,1,1,NA,NA
4309-b,1448898709701,71,subSuperTrial,distr22,bookcase,target,3,3,furniture,object,blackStimulus,NA,1,1,NA,NA,walkietalkie,distrClass2,4,4,NA,object,baseballmitt,distrClass2,2,2,NA,object,blackStimulus,NA,5,5,NA,NA
4309-b,1448898717061,72,subSuperTrial,distr22,trailer,target,3,2,house,place,airport,distrClass2,4,3,NA,place,temple,distrClass2,2,4,NA,place,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
