condition,target,priorWeight,label,prob
item12,rose,0.05,type,0.5511
item12,rose,0.05,basicLevel,0.2576
item12,rose,0.05,superDomain,0.1913
item12,tulip,0.05,type,0.5000
item12,tulip,0.05,basicLevel,0.2869
item12,tulip,0.05,superDomain,0.2131
item12,daisy,0.05,type,0.5135
item12,daisy,0.05,basicLevel,0.2791
item12,daisy,0.05,superDomain,0.2073
item12,sunflower,0.05,type,0.4553
item12,sunflower,0.05,basicLevel,0.3126
item12,sunflower,0.05,superDomain,0.2322
item22,rose,0.05,type,0.4382
item22,rose,0.05,basicLevel,0.4097
item22,rose,0.05,superDomain,0.1522
item22,tulip,0.05,type,0.3885
item22,tulip,0.05,basicLevel,0.4459
item22,tulip,0.05,superDomain,0.1656
item22,daisy,0.05,type,0.4015
item22,daisy,0.05,basicLevel,0.4364
item22,daisy,0.05,superDomain,0.1621
item22,sunflower,0.05,type,0.3469
item22,sunflower,0.05,basicLevel,0.4763
item22,sunflower,0.05,superDomain,0.1769
item23,rose,0.05,type,0.4072
item23,rose,0.05,basicLevel,0.3807
item23,rose,0.05,superDomain,0.2121
item23,tulip,0.05,type,0.3588
item23,tulip,0.05,basicLevel,0.4118
item23,tulip,0.05,superDomain,0.2294
item23,daisy,0.05,type,0.3714
item23,daisy,0.05,basicLevel,0.4037
item23,daisy,0.05,superDomain,0.2249
item23,sunflower,0.05,type,0.3187
item23,sunflower,0.05,basicLevel,0.4376
item23,sunflower,0.05,superDomain,0.2438
item33,rose,0.05,type,0.3360
item33,rose,0.05,basicLevel,0.3141
item33,rose,0.05,superDomain,0.3500
item33,tulip,0.05,type,0.2919
item33,tulip,0.05,basicLevel,0.3349
item33,tulip,0.05,superDomain,0.3732
item33,daisy,0.05,type,0.3032
item33,daisy,0.05,basicLevel,0.3296
item33,daisy,0.05,superDomain,0.3672
item33,sunflower,0.05,type,0.2562
item33,sunflower,0.05,basicLevel,0.3518
item33,sunflower,0.05,superDomain,0.3920
