parameter,value,MCMCprob
alpha,9.15566333103925,0.0004999999999999998
lengthWeight,5.563295362517238,0.0004999999999999998
freqWeight,7.049159912858158,0.0004999999999999998
typWeight,0.6853747637942433,0.0004999999999999998
alpha,9.15566333103925,0.0001000000000000001
lengthWeight,5.563295362517238,0.0001000000000000001
freqWeight,5.173432691954076,0.0001000000000000001
typWeight,0.6853747637942433,0.0001000000000000001
alpha,9.15566333103925,0.0008999999999999997
lengthWeight,5.563295362517238,0.0008999999999999997
freqWeight,1.446271922904998,0.0008999999999999997
typWeight,0.6853747637942433,0.0008999999999999997
alpha,9.15566333103925,0.0001000000000000001
lengthWeight,5.563295362517238,0.0001000000000000001
freqWeight,1.3676043995656073,0.0001000000000000001
typWeight,0.6853747637942433,0.0001000000000000001
alpha,6.553906130138785,0.00019999999999999985
lengthWeight,5.563295362517238,0.00019999999999999985
freqWeight,1.3676043995656073,0.00019999999999999985
typWeight,0.6853747637942433,0.00019999999999999985
alpha,6.553906130138785,0.0008
lengthWeight,0.07940094219520688,0.0008
freqWeight,1.3676043995656073,0.0008
typWeight,0.6853747637942433,0.0008
alpha,3.7902667932212353,0.00019999999999999985
lengthWeight,0.07940094219520688,0.00019999999999999985
freqWeight,1.3676043995656073,0.00019999999999999985
typWeight,0.6853747637942433,0.00019999999999999985
alpha,3.7902667932212353,0.0008999999999999997
lengthWeight,1.570676148403436,0.0008999999999999997
freqWeight,1.3676043995656073,0.0008999999999999997
typWeight,0.6853747637942433,0.0008999999999999997
alpha,3.7902667932212353,0.0008999999999999997
lengthWeight,1.570676148403436,0.0008999999999999997
freqWeight,1.3676043995656073,0.0008999999999999997
typWeight,0.7406668660696596,0.0008999999999999997
alpha,3.7902667932212353,0.0009999999999999996
lengthWeight,1.570676148403436,0.0009999999999999996
freqWeight,1.3676043995656073,0.0009999999999999996
typWeight,0.8540243690367788,0.0009999999999999996
alpha,3.7902667932212353,0.0012999999999999993
lengthWeight,1.570676148403436,0.0012999999999999993
freqWeight,1.165847210213542,0.0012999999999999993
typWeight,0.8540243690367788,0.0012999999999999993
alpha,3.7902667932212353,0.0006999999999999997
lengthWeight,1.570676148403436,0.0006999999999999997
freqWeight,1.1839040671475232,0.0006999999999999997
typWeight,0.8540243690367788,0.0006999999999999997
alpha,3.7902667932212353,0.0006999999999999997
lengthWeight,1.570676148403436,0.0006999999999999997
freqWeight,1.1839040671475232,0.0006999999999999997
typWeight,0.8507232707925141,0.0006999999999999997
